[00:05] Hello大家好,我是小骏
[58:48] Elon哪天又大调整了
[58:50] 就是你说他最
[58:52] 重要的问题
[58:53] 我觉得还是战略摇摆吧
[58:56] 最初可能Elon相信
[58:58] 大力数集计
[58:59] 弄几十万卡的集群
[59:01] per train很大的模型
[59:03] 但是好像
[59:04] 好像不是这样
[59:05] 你得把数据做好
[59:06] 你得把data efficiency做好
[59:08] 你
[59:09] 盲目的skill这个
[59:11] 模型参数
[59:12] 好像并不是问题的根本
[59:14] 今天的包图内可能不是在模型大小而是数据
[59:17] 别人可能用一个
[59:19] 想你十几倍的模型
[59:20] 可能比你做的还好
[59:22] 这个就有点尴尬
[59:23] 甚至说中国的蒸馏的模型可能
[59:26] 都比XCI今天要好对吧
[59:28] 然后你比如说之前
[59:29] XCI还想拜访多玛泰
[59:31] 他音频做得也很好
[59:33] 但好像这个也
[59:35] 不是什么主线对吧
[59:36] 好像也没太大用
[59:37] 可能车上你跟Gorak对话还可以
[59:40] 那中间可能也想做Chad Bull的
[59:42] 做AIS搜索
[59:43] 今年可能想all in coding
[59:46] 其实
[59:48] 这个战略摇摆呢
[59:49] 就会让团队很乱
[59:50] 你这个事刚上手
[59:52] 还没做热
[59:53] Elon可能没有耐心
[59:54] 又拉下去做另外一个事
[59:56] 我觉得还是耐心可能不够
[59:58] 战略不够坚定
[59:59] 就摇摆的比较快
[60:01] 而且团队老是换人嘛
[60:03] 所以
[60:04] 我觉得这个崩溃的源头可能是
[60:06] Elon可能对
[60:08] Funding Team有点
[60:09] 不满意
[60:10] 就是
[60:11] 但其实Funding Team是最世界级的一个团队
[60:15] 其实这个是有点
[60:17] 有点
[60:18] 没有耐心了的感觉
[60:19] 然后
[60:21] 我觉得确实像你说的
[60:23] 跟Tesla FSD
[60:26] 这个区别
[60:27] 其实做好
[60:28] 模型的数据可能是一个要有耐心
[60:31] 比较长期的一个工程
[60:32] 或者偏research the test
[60:34] 到底什么数据是好数据
[60:36] 怎么做的更好
[60:37] 但Elon呢可能好像还是
[60:39] 希望短平快
[60:40] 整个feedback loop
[60:42] 最短
[60:42] 恨不得
[60:43] 两个星期就看到效果对吧
[60:45] 所以就会
[60:47] 这种文化就会导致团队
[60:49] 追求短期的效果而牺牲长期的质量
[60:52] 所以有些long term的问题
[60:54] 可能并没有准备好
[60:56] 然后你比如说
[60:57] 这个数据质量到底怎么样
[60:59] infra的框架到底怎么样
[61:01] 但我感觉也不代表XCI
[61:04] 彻底就没戏了
[61:05] 因为他手上还有很多的GPU
[61:07] 而且Elon作为一个
[61:09] 顶级企业家调整能力又特别强
[61:11] 包括他搞数据中心搞这个
[61:14] 新的
[61:15] Five这个芯片厂
[61:17] 我感觉更像是个人的宏大愿景
[61:20] 其实这个东西
[61:21] 可能需要的时间还挺长的
[61:23] 有没有
[61:24] 真的能
[61:25] 弄起来一个团队帮他deliver这个
[61:28] 我感觉AJ的竞赛是比其他很多领域都要
[61:32] 竞争激烈的
[61:33] 就很像是你
[61:34] 开着F1的速度
[61:36] 跑一个马拉松
[61:37] 而且在城市里跑对吧
[61:39] 所以你需要200% 300%的聚焦
[61:42] 如果CEO和leadership
[61:44] 不聚焦肯定是不行的
[61:45] 我觉得Elon是不够聚焦的
[61:48] 而且AI的投入还是一个马拉松
[61:50] 得持续投入
[61:52] 能不能给我们讲讲一季度还有一个非常火的新词
[61:55] 就是Honest engineering
[61:58] 对我觉得这个
[61:59] 提供几个思路吧
[62:00] 未来我们应该把
[62:02] AI的agent当人看
[62:04] 应该把他看成一等公民
[62:06] 跟我们是一体的
[62:08] 那人应该有的东西
[62:09] agent也应该有对吧
[62:11] 人类的知识工作者有工作的环境
[62:14] 工作的电脑
[62:15] 工作的各种信用卡对吧
[62:17] 那
[62:18] 未来可能在一个平行世界你也要给
[62:21] agent
[62:22] 去搭一套 agent
[62:23] 作为人类作为一个
[62:25] 一等公民
[62:26] 需要的环境对吧
[62:27] 我觉得这是一个思路
[62:29] 那第二个点呢就agent想做好
[62:31] 一方面是模型
[62:32] 还有一方面是Honest
[62:34] 那
[62:35] agent你就
[62:36] 把它比喻成就像是一个人
[62:38] 加入到一个公司一个团队
[62:40] 有些公司有
[62:41] 公司的这个
[62:43] 管理和环境
[62:44] 他能让一个正常的人
[62:46] 他的下限很高
[62:48] 有通过
[62:49] 管理和组织一些约束对吧
[62:52] 那其实agent也需要他的管理学和组织
[62:54] 那这就是Honest
[62:55] Honest的这个
[62:56] 这个意义
[62:57] 其实有了Honest以后呢
[62:59] 其实普通的模型
[63:01] 也可以做
[63:02] 高价值的任务了
[63:04] 加上过去
[63:05] Cloud的整个需求的溢出他接不住
[63:08] 所以
[63:09] 非Sultana model就是包括开源的很多模型
[63:13] 也能被用上了我觉得这是一个更大的意义
[63:16] 然后
[63:17] 我觉得第三个点就是说更多带来一个思维
[63:20] mindset的变化就是说
[63:22] 以前是
[63:23] 看2C和2B对吧
[63:25] 传统时代
[63:26] 但今天是
[63:28] 到底是
[63:29] 2人类还是2agent
[63:32] 如果是2agent那可能看中的不再是
[63:35] 可能是token的usage
[63:37] 或者
[63:39] token的价值margin这个可能更重要
[63:41] 因为以后用什么工具可能不是人决策了
[63:43] 可能是agent
[63:44] 去调用哪些工具去决策了
[63:46] 对我觉得这几个思路
[63:48] 刚才我们看了硅谷玉三家那你对国内的玉三家有没有一些
[63:53] 观察和评价
[63:54] 因为你看
[63:55] 硅谷的玉三家
[63:56] 也有一些风化
[63:58] 有的过去一年在bath2C
[64:00] 有的在bath
[64:01] anthropic这种高价值任务
[64:03] 那国内呢
[64:04] 他们是不是也有一些风化
[64:06] 我感觉国内好像都在追求anthropic的路线
[64:10] 这好像成为了一个共识
[64:11] 一年前好像还不是共识
[64:13] 这个共识是最近几个月吗
[64:16] 过去三到六个月吧
[64:17] 因为C端已经没机会了
[64:20] 好像
[64:21] 大家也意识到coding
[64:22] 和高价值任务这条线
[64:24] 上限好像比C端还要高
[64:25] 要更高
[64:27] 就是国内的kimi minimax和智普都在bath2anthropic这条路线
[64:33] 那豆包呢
[64:34] 豆包看起来是在
[64:36] C端做最好的
[64:37] 因为大家
[64:38] 其他几家都是觉得跟
[64:40] 豆包没得打
[64:41] 才转型的
[64:42] 我觉得coding和agent是
[64:44] 不能输的
[64:45] 豆包
[64:47] 肯定也是大概率
[64:49] 都能追上来而且可以有可能做得更好
[64:52] 我觉得最后可能还是拼
[64:54] 组织能力
[64:55] 资源吧
[64:56] 你觉得国内这些模型公司现在的胜负手是什么
[65:00] 我觉得还是综合的
[65:02] 其实不是一个能力
[65:04] 最后就取胜了
[65:05] 你说
[65:06] 我一个人才牛逼
[65:07] 我一个方法牛逼
[65:09] 我一个bat牛逼
[65:11] 我感觉是非常综合的
[65:13] AI今天
[65:15] 进入了一个叫工业化时代
[65:17] 我不知道未来会不会进入无聊的大场游戏
[65:21] 有可能会这样
[65:23] 大场游戏
[65:23] 无聊的大场游戏
[65:26] 为什么这么说
[65:27] 无聊大场游戏
[65:28] 就是有些窗口已经关掉了
[65:33] 那发展到2026年你觉得模型公司的竞争到底在争夺什么在追求什么
[65:38] 我觉得
[65:39] 套一个观点吧
[65:40] 其实模型可能就是新一代的操作系统
[65:43] 未来最领先的几个模型可能就是世界最重要的技术设施
[65:48] 你生活的问题是问他
[65:50] 你工作的自动化也是他
[65:52] 你
[65:53] 研究科研的
[65:55] 支持也是他
[65:57] 可能他的重要性比今天的Google
[65:59] 对世界技术设施的支持还要重要
[66:03] 未来模型可能就是支持应用的无线扩展
[66:07] 这就是agent对吧
[66:09] 那也支持
[66:10] 形成了一个新的生态
[66:12] 操作系统的定义呢他就是支持应用的无线扩展可能就是今天的agent
[66:17] 慢慢他也会形成一个新的生态
[66:19] 就像安卓iOS这个生态windows
[66:22] 那也可以兼容各种意念不仅在你的电脑
[66:25] 手机可能还在你的眼睛
[66:27] 各种地方
[66:28] 过去
[66:30] 称得上操作系统的可能就是
[66:32] windows
[66:34] iOS
[66:34] 安卓和微信吧
[66:37] 有可能不管你
[66:38] 追求工作助理
[66:40] coding
[66:41] 还是生活助理
[66:43] ChatHPT Gemini豆包
[66:45] 有可能最终最终大家都会走向世界的基础设施一个globalGDP的OS
[66:50] 操作系统这种方向吧
[66:53] 今天看你觉得AGI的路线图和
[66:55] 时间表在你心中有没有发生什么样的变化
[66:58] 以及他对
[66:59] 社会层面会产生怎样深远的影响
[67:02] 社会应该怎么消化这个技术的
[67:04] 巨大的变革
[67:05] 就是刚才聊到
[67:07] 我感觉路线图更清晰了
[67:09] 从chatbot到coding agent
[67:11] 到
[67:12] automated AI researcher
[67:14] 这三段路
[67:16] 然后以及时间表我感觉会
[67:20] 加速的更快
[67:21] 以前好像说
[67:23] 还需要两三年
[67:25] 也许今年年底或者明年初
[67:28] 可能就有一家公司宣布实现了
[67:32] AGI了
[67:33] 然后
[67:36] 社会影响我觉得很多人确实没做好准备因为整个割裂感太强了
[67:40] 就是
[67:41] 几百个researcher或者两三千个researcher在前沿看到东西更多的
[67:46] 但其实这些信息是没有传递到社会上的
[67:49] 所以社会的准备肯定是不够的
[67:53] 对
[67:54] 因为这里面
[67:55] 最本质的一个点是
[67:58] 人类的知识和智力
[68:00] 变得廉价了
[68:02] 以前我们通过学习读书
[68:05] 获取了知识
[68:06] 可以有个工作
[68:07] 但是今天这些智力和知识呢
[68:10] 好像模型里面都有了
[68:13] 被大幅的压缩了
[68:15] 变成了一个计算资源或者token
[68:18] 这种体现
[68:19] 那我就感觉有可能
[68:22] 百分之七八十的人在社会上的
[68:25] 价值和意义
[68:26] 有可能会发生
[68:28] 微妙的变化
[68:29] 因为以前人类觉得自己是最聪明的
[68:32] 你发现模型比人类要聪明了
[68:35] 好像我们不是最聪明的
[68:37] 一个物种
[68:39] 所以这个是
[68:42] 比较有趣的
[68:43] 以及
[68:45] 有可能AI会带来很大的一个通缩
[68:48] 你想我用了ChatGP和Cloud之后
[68:52] 我再去找顾问
[68:54] 和买其他软件的
[68:55] 需求就小了很多
[68:58] 它一个产品可以满足我很多的需求
[69:01] 有可能
[69:02] 长期看很多SaaS也是消失的
[69:05] 我不知道
[69:06] 印度的IT外包现在
[69:07] 活的怎么样
[69:08] 有可能
[69:11] 印度的IT外包
[69:14] 已经步入模型了吧
[69:15] 包括
[69:18] 今年我感觉美国的本科毕业生是就业率历史新低
[69:22] 因为
[69:24] AI今天已经
[69:25] 把工作两三年三四年的
[69:28] 猪捏的工作感味
[69:29] 工作环境都已经被自动化了吧
[69:31] 包括猪捏的
[69:33] 程序员
[69:36] 所以
[69:37] 今年肯定是
[69:40] 人类开始面临失业
[69:44] 比较痛苦的一年
[69:45] 有可能今年30%的工作感味就没了
[69:49] 那
[69:51] 这些人没有工作了之后
[69:53] 会干嘛呢
[69:54] 我觉得挺担心的
[69:55] 我看Meta裁员裁了
[69:56] 1.6万人
[69:58] 我不知道这1.6万人以后会干嘛
[70:00] 他未来可能再裁1.6万人
[70:02] 有可能微软也不需要15万人
[70:04] 有可能3万人有可能比今天15万人干的更好
[70:09] 就人才成长和培养的路径
[70:12] 好像被AI
[70:14] 拦腰截断了
[70:15] 就是
[70:16] 我10年前毕业可能还
[70:18] 能
[70:19] 有个成长工作的环境
[70:21] 但今天好像是另外一个环境了
[70:25] 对
[70:27] 你预期我们俩这个工作还能干多久啊
[70:30] 我觉得你的IP是比较值钱的
[70:32] 有可能我们下一期的播客
[70:35] 不用我们
[70:36] 自己录了吧
[70:38] 但我
[70:38] 调研了一下好像效果还不太好
[70:41] 有可能下个季度的播客
[70:44] 可能
[70:45] 可能他就根据我的
[70:47] 笔记就自动形成一个播客
[70:50] 其实我们今天的播客我感觉已经半自动化了
[70:53] 这个播客的大部分的提纲
[70:55] 其实是Cloud Code帮我写的
[70:57] 因为我过去
[70:59] 几个月也变成Cloud Code的众多用户
[71:01] 他根据我的
[71:03] 一些Notes
[71:04] 一些记录的一些东西又根据过去
[71:07] 大模型机爆的
[71:09] 框架
[71:11] 我感觉有可能我写东西已经没有Cloud Code写的好了
[71:15] 投资的工作会一直持续吗
[71:17] 存在吗
[71:18] 有可能我觉得
[71:19] 就后的
[71:20] 最好的模型公司
[71:22] 有可能就是最好的投资了
[71:25] 那你就分别持仓就好了
[71:27] 你也不需要干啥了
[71:28] 但是技术变化非常快嘛
[71:30] 我觉得没有人
[71:31] 是安全的
[71:33] 每个人都有危机感
[71:34] 你说现在当智力和知识都被压缩进了模型
[71:39] 变成了模型skill
[71:41] 那人未来去干什么
[71:42] 就去创造吧如果
[71:45] 很多人有
[71:46] 有创造力
[71:47] 还是能
[71:48] 搞出东西的
[71:49] 因为以前我想创造我没有那个
[71:52] 支持
[71:53] 嗯
[71:53] 有可能一个人两个人未来会做出
[71:57] 很惊天动地的大事
[71:58] 因为整个info
[72:00] 从你有想法到跑通代码
[72:02] 可能很快
[72:04] 有可能创造力
[72:06] 会
[72:07] 被极大的释放
[72:08] 第二审美那个taste可能还是很重要的
[72:12] 有审美和taste的
[72:14] 最后可能还是会deliver很多东西
[72:17] 因为人以前有很多的想法
[72:19] 是无法实现的
[72:21] 但今天整个技术设施极大的繁荣
[72:23] 有可能总能实现对吧
[72:25] 比如说以前你要做一个
[72:28] 有影响力的媒体可能要几百个人
[72:30] 现在好像一个人对吧
[72:32] 做个自媒体
[72:33] 也非常有影响力
[72:35] 这是这个整个技术设施极大繁荣的结果
[72:38] 如果agent开始大规模的取代白领
[72:40] 能不能对我们的听众朋友们给一些建议
[72:43] AI取代的是
[72:45] 不拥抱AI的人
[72:47] 积极拥抱AI的人
[72:49] 可能是受益者吧
[72:52] 那在2026年的一季度你对投资的
[72:54] 有哪些新的思考
[72:56] 我觉得投资上有可能最好的三五家模型公司
[72:59] 如果成为
[73:00] 全球
[73:01] GDP的操作系统
[73:03] 我觉得每家可能都是10万亿美金
[73:05] 未来加起来
[73:06] 三五十万亿美金
[73:09] 我对这个的
[73:11] 比例越来越深了
[73:13] 你最理想的AGI的portfolio有没有变化
[73:17] 我觉得没啥大的变化就是更极致一些
[73:19] 一句话总结就是说
[73:21] 你要投
[73:22] 能持续做好
[73:24] Solta Model的公司
[73:26] 我觉得这个指标可能是未来
[73:28] 投资最关键的指标
[73:29] 就是你要做一个好的AGI的portfolio
[73:33] 我认为可能就是
[73:36] 模型吧我个人的主线一直是模型
[73:38] 我觉得其他
[73:39] 支线任务是比较少的
[73:43] 我个人反正八九成的精力都在模型上
[73:46] 其实
[73:47] 就做一个模型基金也挺好的
[73:50] 就是
[73:50] 现在策略反而
[73:52] 越来越清楚
[73:53] 就是
[73:53] 你投资最大的一个BAT就是
[73:56] 全球最领先的三五家模型未来都是十万亿美金
[73:59] 那你
[74:02] 三年后五年后
[74:03] 甚至七八年以后
[74:05] 你
[74:06] 全球GDP的
[74:08] 百分之三十五十都已经被模型automated
[74:12] 那如果你相信这个那就
[74:14] 表达的更极致嘛
[74:15] 那就全仓做一个模型基金
[74:17] 也挺好的
[74:19] 所以今年可能
[74:21] 更
[74:22] 聚焦也更相信这个策略
[74:24] 对
[74:25] 应该更极致
[74:27] 更极致的表达
[74:28] 问一个终局问题啊
[74:30] 你会怎么看这些模型公司或者说模型竞争的终局啊
[74:34] 还可能会有
[74:36] 时间窗口让新的模型公司出现吗
[74:40] 对其实刚才提到了几个要素
[74:43] 第一
[74:43] 一个科技公司每年能不能投
[74:46] 三五百亿美金的投入
[74:48] 而且要持续投三五年
[74:50] 你看小扎
[74:52] 一年打几百亿美金
[74:53] 第二个点就是创始人和管理层有没有这个认知和魄力
[74:58] 你没有认知就没有魄力
[75:00] 你就不敢买卡
[75:01] 你怕买了卡砸手里
[75:04] 那即便没有认知那如果有魄力就像小扎那样
[75:08] 放手交给团队
[75:09] 也可能也可以
[75:11] 不知道最后结果会怎么样
[75:13] 第三呢
[75:15] 你也得招到
[75:17] 起码上百名
[75:19] 世界级的AI的科学家
[75:21] 对吧其实小扎砸那么多钱
[75:23] 好像也是有道理的
[75:24] 就买时间嘛
[75:26] 然后
[75:27] 但只有这三个还不够
[75:29] 就你只
[75:30] 做一个通用的模型好像还不行还得有一些战略的BAT
[75:34] 产品的
[75:36] go to market的方式对吧
[75:40] 而且你有了钱好像今天都不一定买到GPU
[75:43] 我感觉再出来新的模型公司
[75:47] 不是没机会但这个难度
[75:48] 比我们想象的大非常非常多
[75:51] 这就像我们想再造一个台积电
[75:53] 你说
[75:55] 他有一个窗口和资源限制的问题
[75:59] 硅谷最近也出现了很多new labs
[76:01] 新型实验室有你看好的没有
[76:05] 我不知道这个世界上还会不会再出现
[76:07] 更多的openAI和Anthropic的机会
[76:10] 因为GPU太有限了
[76:12] 资本其实也比较有限
[76:15] 其实openAI和Anthropic还是挺重视
[76:19] 下一代范式的内部投入也很多
[76:23] 我觉得优秀人才的流向
[76:25] 最能说明问题吧
[76:27] 就是
[76:28] 你就看最优秀的AI人才会不会流入哪个
[76:31] new labs
[76:34] 我觉得今天好像new labs的
[76:37] 技术路线还没有收敛
[76:39] 真正的skilling还没有开始
[76:43] data的skill还没开始
[76:45] 所以可以再观察一下
[76:47] 那整个一季度
[76:49] 硅谷还有哪些前沿趋势值得分享一下
[76:53] 可能最实际的AR
[76:55] 最说明问题吧
[76:56] 因为Anthropic和openAI可能公开的已经300多亿美金和250亿美金的
[77:02] AR了
[77:03] 当然
[77:03] 但他俩口径很不一样
[77:05] 我估计可能今年底可能都800到1000亿美金
[77:08] 明年1500 2000亿美金
[77:10] 其实他们已经是
[77:12] 新的Mac 7了
[77:14] 再往下就是Cursor可能25亿美金
[77:17] 技术红利都很强长得很快
[77:19] 再往下就
[77:21] Property可能超过了5亿美金
[77:23] 嗯
[77:24] 在之后声音的两家也挺快的
[77:26] 那个
[77:28] 11 Labs和SUNO可能都超过了3亿美金
[77:31] 其实Mannus和Loveable
[77:33] 应该也都超过了
[77:34] 4亿美金了
[77:35] 其实成长得很快
[77:37] Ginspark发展也特别快
[77:38] 我感觉头部的AI产品
[77:41] AR可能主要是这些吧
[77:43] 然后硅谷我感觉在医疗投的也比较多比如说
[77:47] OpenEvidence
[77:48] 或者Average
[77:49] 这两个还是
[77:51] 发展挺快的
[77:53] 嗯对
[77:54] 我们刚才聊了很多都是模型公司
[77:56] 那你怎么看其他的一些方向比如说机器人啊
[77:59] AI硬件啊
[78:00] Vertical Agents
[78:02] 这些等等的新的机会
[78:05] 对我理想的AGA Portfolio就是
[78:08] 最领先的
[78:09] 三次甲模型分别放20%
[78:12] 剩下的
[78:13] 20%比如说
[78:15] 10%在
[78:17] 机器人
[78:18] 10%在AI for Science
[78:20] 还有可能10%
[78:22] 再去Agent
[78:23] Infor这些
[78:25] 比如说Agent
[78:28] 那个平行世界需要的东西
[78:30] 我觉得机器人和Science可能是
[78:33] 大模型之后下一个大的平台吧
[78:36] 我对这两个是比较兴奋的
[78:37] 然后
[78:38] 我觉得有可能机器人在未来6到18个月是有质变的
[78:42] 可能架构突破了
[78:43] 技术路线也收敛了
[78:45] Data的Skilling和
[78:48] 真的Skilling开始了
[78:50] 反正现在机器人数据采集的需求挺大的
[78:53] 最近
[78:55] 像那种第一视角
[78:57] Ego-centric的
[78:58] 这种材料很多
[78:59] 包括摇操作的包括5米手套的
[79:02] 其实大家刚刚弄清楚这几类数据怎么用
[79:06] 有可能
[79:08] 后面
[79:09] Data的Skill更好架构也有一些突破
[79:12] 有可能机器人会发展的更快
[79:14] 我对这个还挺乐观的
[79:16] 就是
[79:17] 因为这里面中国团队会有
[79:19] 更有优势你发现
[79:21] 以前
[79:22] 硅谷公司
[79:23] 只觉得算法重要
[79:24] 但是
[79:25] 没有硬件完全不行
[79:26] 最后
[79:28] 过去一个季度我感觉是大家都开始重视硬件
[79:31] 都要在深圳
[79:32] 招人了
[79:34] 站在今天你怎么看待AI应用公司
[79:37] 你觉得AI应用的机会是变大了还是
[79:40] 变小了
[79:40] 现在还相信1PC
[79:42] 就是一人公司吗
[79:45] 如果模型平台就像我们说的变成全球的基础设施
[79:49] 它足够的Powerful
[79:51] 那每个个体都可以做很多事情
[79:53] 就像微信的自媒体
[79:55] 我们还有影响力
[79:57] 就像抖音的创作者
[79:59] 每个人创作一个内容都可以
[80:01] 传播很
[80:02] 很大
[80:04] 我觉得1PC还是有可能的吧
[80:07] 可能就是未来的一个常态
[80:09] 就模型就变成一个新的平台
[80:11] 足够的Powerful
[80:12] 每个人都可以做很多的事情
[80:15] 从一个idea
[80:17] 到
[80:17] 代码跑通到最后revenue
[80:20] 实现
[80:21] 可能是
[80:22] 非常非常
[80:23] 高效的
[80:25] 也有可能就是说
[80:27] 我最近听到一个比较好的指标
[80:29] 就说你
[80:30] 消耗了100美金的token
[80:32] 你能不能赚到
[80:33] 110块钱
[80:34] 你得把这个ROI跑正
[80:36] 其实很多人是没有跑正的
[80:38] 或者这个闭环是没有跑通的
[80:39] 我觉得这个可能是一个比较重要的指标
[80:41] 今年会是爆发点吗
[80:44] 我觉得期待吧
[80:45] 就是
[80:46] 我觉得过去的一个季度
[80:48] AI已经进入那个基点了
[80:51] 其实今天是在加速的
[80:53] 显著加速
[80:56] 是说你自己吧过去一个季度你自己生活有什么变化没有
[80:59] 状态
[81:01] 我觉得很担心跟不上AI的进步
[81:03] 因为
[81:04] 每天每个星期进步太快了
[81:07] 学习压力太大了
[81:09] 然后
[81:10] 过去一个季度我从ChatGPT变成了
[81:13] Cloud Code的中度用户
[81:16] 我感觉我的生产力确实提升了很多
[81:19] 但我依然还没有
[81:21] 像那种
[81:23] 塔尖的开发者一样能消耗那么多Token
[81:29] 你现在能消耗多少Token
[81:32] 我的Cloud Code
[81:34] 100美金的我是一直没用满的
[81:37] 大部分时间是用不满
[81:39] 因为做Resource整个跟Coding也不太一样持续消耗
[81:45] 对
[82:12] 好了今天的节目就是这样
[82:14] 这里是商业访谈录是一档由语言及世界工作室出品的深度访谈节目
[82:20] 你可以到公众号关注我们的工作室获取更多的信息
[82:24] 我们的公众号是
[82:26] 语言及世界
[82:27] Language is world
[82:29] 我们希望和你一起从这里探索新的世界
[82:40] 我觉得机器人和Science可能是
[82:43] 大模型之后下一个
[82:45] 大的平台吧
[82:46] 我对这两个是比较兴奋的
[82:47] 然后
[82:48] 我觉得有可能机器人在未来6到18个月是有质变的
[82:52] 可能架构突破了
[82:53] 技术路线也收敛了
[82:55] Data的Scaling
[82:57] 和
[82:58] 真的Scaling开始了
[83:01] 反正现在机器人数据采集的需求挺多的
[83:04] 最近
[83:05] 像那种第一视角
[83:07] Egocentric的这种采的很多
[83:10] 包括摇操作的包括5米手套的
[83:14] 其实大家刚刚弄清楚这几类数据怎么用
[83:16] 有可能
[83:18] 后面
[83:19] Data的Scale更好架构也有一些突破
[83:22] 有可能机器人会发展得更快
[83:24] 我对这个还挺乐观的
[83:26] 就是
[83:27] 因为这里面中国团队会有
[83:29] 更有优势你发现
[83:31] 以前
[83:32] 硅谷公司只觉得算法重要
[83:34] 但是
[83:35] 没有硬件完全不行
[83:36] 最后
[83:38] 过去一个季度我感觉是大家都开始重视硬件
[83:41] 都要在深圳
[83:42] 招人了
[83:44] 站在今天你怎么看待AI应用公司啊
[83:47] 你觉得AI应用的机会是变大了还是
[83:50] 变小了
[83:50] 现在还相信1PC
[83:53] 就是一人公司吗
[83:55] 如果
[83:56] 模型平台就像我们说的变成全球的技术设施
[83:59] 它足够的powerful
[84:01] 那每个个体都会做很多事情
[84:03] 就像微信的自媒体
[84:05] 我们还有影响力
[84:07] 就像抖音的创作者
[84:09] 每个人创作一个内容都可以
[84:12] 传播很大
[84:14] 我觉得1PC还是
[84:16] 有可能的吧
[84:17] 可能就是未来的一个常态
[84:19] 就模型就变成一个新的平台
[84:21] 足够的powerful
[84:23] 每个人都可以做很多的事情
[84:25] 从
[84:25] 一个idea
[84:27] 到
[84:28] 代码跑通到最后revenue
[84:30] 实现
[84:31] 可能是
[84:32] 非常非常
[84:35] 高效的
[84:36] 也有可能就是说
[84:37] 我最近听到一个比较好的指标就是说你
[84:40] 消耗了100美金的token
[84:42] 你能不能赚到
[84:44] 110块钱
[84:45] 你得把这个ROI跑正
[84:46] 其实很多人是没有跑正的或者这个闭环是没有跑通的
[84:49] 我觉得这个可能是一个比较重要的指标
[84:51] 今年会是爆发点吗
[84:55] 我觉得期待吧
[84:56] 就是
[84:56] 我觉得过去的一个季度
[84:58] AI已经进入那个基点了
[85:01] 其实今天是在加速的
[85:04] 显著加速
[85:06] 是说你自己吧过去一个季度你自己生活有什么变化没有
[85:09] 状态
[85:11] 我觉得很担心跟不上AI的进步
[85:14] 因为
[85:15] 每天每个星期进步太快了
[85:17] 学习压力太大了
[85:19] 然后
[85:20] 过去一个季度我从chatGPT变成了
[85:23] Cloud code的中度用户
[85:26] 我感觉我的生产力其实提升了很多
[85:29] 但我依然还没有
[85:31] 像那种
[85:33] 塔尖的开发者一样能消耗那么多token
[85:40] 你现在能消耗多少token
[85:42] 我的Cloud code
[85:44] 100美金的我是一直没用满的
[85:47] 大部分时间是用不满
[85:49] 因为做resource整个coding也不太一样持续消耗
[85:55] 对
[86:22] 好了今天的节目就是这样
[86:24] 这里是商业访谈录是一档由语言及世界工作室出品的深度访谈节目
[86:31] 你可以到公众号关注我们的工作室获取更多的信息
[86:34] 我们的公众号是
[86:36] 语言及世界
[86:37] Language is world
[86:39] 我们希望和你一起
[86:40] 从这里
[86:41] 探索
[86:42] 新的世界
