[00:03] Hello 大家好,我是小骏
[00:04] 2026年除了嘉宾访谈
[82:32] 这个下一件事情的发生
[82:34] 但是它并不见得一定要有第一人视角
[82:37] 或者第一个这个机器人的这个视角
[82:40] 在里头去与物理去交互的数据
[82:43] 而VLA呢
[82:44] 可能更多的是一个行动派
[82:45] 它必须得有
[82:46] 这种行动的数据
[82:47] 那可能是它自己的本体
[82:48] 可能是其他的本体
[82:49] 跨本体
[82:50] 甚至是人的行动的数据
[82:52] 所以这个呢
[82:53] 我觉得还会有些的区别
[82:55] 但是整体上呢
[82:56] 就是说从评价角度来讲呢
[82:58] 他们可能也都很需要仿真
[83:01] 因为他们需要在这些
[83:02] 足够物理真实的环境中
[83:05] 能够要不然去
[83:07] 确认他们的预测能力足够准确
[83:09] 要不然他们的行动能力
[83:11] 可以实现这些不同的任务
[83:13] 你知道中国也有很多就是要做
[83:15] 机器人大脑的
[83:17] 不管是大公司也好
[83:18] 还是创业公司也好
[83:19] 我跟他们交流下来
[83:20] 我直观上感觉好像
[83:22] 仿真派要小于真机派
[83:25] 因为他们普遍给出的理由是因为
[83:27] 真机数据好放话
[83:29] 仿真数据不好放话
[83:31] 你觉得为什么会出现这个现象
[83:32] 为什么在中国的机器人团队
[83:34] 仿真派似乎不多
[83:36] 我认为其实
[83:38] 几个点啊
[83:39] 第一就是说
[83:40] 我认为这个
[83:41] 就这类公司
[83:42] 本质上来讲
[83:43] 他们还是机器人公司
[83:44] 嗯
[83:45] 机器人公司呢
[83:46] 我觉得咱们去看他们的商业模式
[83:48] 他的底层还是要去卖本体
[83:50] 所以如果他要是一个仿真派
[83:53] 我觉得他就很难去
[83:55] 来
[83:57] 肯定他的客户去买他们的本体
[84:00] 为什么
[84:01] 他们的客户其实很多的
[84:03] 就是我觉得国内很多的这个
[84:05] 真机派的这个商业模式
[84:07] 还是去卖一个素材中心
[84:09] 对吧
[84:11] 我买过来用你的机器人来采集数据
[84:14] 来采集数据
[84:15] 然后来不断的去提升
[84:17] 所以他需要
[84:19] 相信真机数据才能卖本体
[84:21] 对
[84:23] 就是就否则我认为就是说
[84:25] 他其实我觉得本质上来讲
[84:27] 还是一个屁股决定脑袋的事情
[84:29] 我觉得他需要去
[84:30] 真正的提倡一个真机派
[84:32] 才能够更有效的去把这些
[84:34] 基于真机素材
[84:36] 这样的一个商业模式去跑通
[84:38] 那当然其实提到真机素材
[84:41] 我认为真机素材一定是需要的
[84:43] 我并不否认真机素材
[84:44] 而且我认为现在的量也是需要的
[84:46] 我认为它再增长十倍
[84:48] 可能这个量也是必须的
[84:50] 但是关键就看它会增长到什么一个阶段
[84:52] 我觉得根据数据侦查
[84:54] 其实最小的量应该是
[84:56] 真机的实操的机器人的本体的数据
[84:59] 真机数据
[85:00] 没错
[85:01] 它的成本最贵
[85:02] 它的成本最贵
[85:03] 但是最关键的是它最难规模化
[85:05] 它都不是成本的事
[85:06] 比如说你怎么去进入到不同的场景
[85:08] 很快速的去规模化这件事
[85:10] 这个是很难的一件事
[85:12] 你如何去换新的场景
[85:13] 我觉得大部分的真机的素材
[85:16] 现在如果你去他们的素材中心
[85:18] 你会看到他们也在用仿真
[85:20] 怎么去理解
[85:21] 他在用现实世界的仿真
[85:23] 他拿的是一个假的香蕉
[85:25] 他拿的是一个假的苹果
[85:27] 他并不是拿的是一个真的香蕉
[85:29] 一个真的苹果
[85:30] 它的场景可能变换很小
[85:34] 可能都是在桌面级
[85:36] 或者说一些宜家的这种方式的搭建
[85:40] 它很难像仿真一样去规模化
[85:43] 去规模化到可能更加广阔的多变的
[85:47] 足够物理真实的这些场景的应用
[85:51] 对
[85:52] 所以我觉得这个是一个
[85:53] 我觉得就核心的一个不同点
[85:55] 另外其实从我们的角度
[85:58] 我认为就是说
[85:59] 真机派真正在做预训练级的大模型
[86:03] 其实我也听了就是谭杰的那一期
[86:06] 我比较同意谭杰的看法
[86:08] 就是说我觉得可能不太合理
[86:11] 就是说
[86:12] 纯粹的做一个巨深的大模型
[86:14] 它一定是基于一个机座的
[86:16] 对吧
[86:17] 那在这个时候
[86:18] 我认为就是说
[86:19] 更应该是一个大模型公司
[86:22] 来去基于他们机座的能力
[86:25] 再基于更多的数据
[86:27] 先是预训练再是后训练
[86:29] 来做出更好的WLA来
[86:31] 所以我觉得从这个点上
[86:33] 我觉得可能机器人公司
[86:35] 可能也没有多少机器人公司
[86:37] 真正在做这件事
[86:39] 就真正在做一个预训练级的一个大模型
[86:41] 对吧
[86:42] 所以它需要的数据可能就没有那么多
[86:45] 它需要的数据没有那么多
[86:46] 谭杰说的一个观点我印象很深
[86:48] 因为我也是跟他说就是
[86:50] 国内侦缉派会说
[86:52] 侦缉数据有更好的放化性
[86:54] 他说仿真数据带来的是sim2real的问题
[86:57] 不是放化的问题
[86:58] 放化的问题应该通过生成
[87:00] 极大量的仿真数据来解决
[87:02] 你同意他这个观点吗
[87:03] 我是同意的
[87:04] 说到这里我们定义一下仿真吧
[87:06] 因为仿真的定义现在也是模糊的
[87:08] 以前可能是说的是物理仿真
[87:11] 现在也把一部分的视频生成认为是仿真
[87:14] 你怎么定义仿真
[87:15] 我其实还是希望更加严格的去定义一下
[87:18] 那么我认为仿真的话
[87:20] 我认为它更多的是需要在一个
[87:23] 足够物理准确的一个环境中
[87:27] 可以可复现的
[87:29] 就以及可以可修正的
[87:31] 去产生相应的行动
[87:33] 并且观测到其结果
[87:35] 我认为这个才需要是一个仿真
[87:37] 那我当然解释一下就是说
[87:39] 物理准确就是说
[87:40] 它的环境以及你所交互的这些物体
[87:43] 为人他们需要足够的
[87:45] 与真实世界的物理去对标
[87:48] 那这个对标不只是一个看起来像
[87:50] 不只是一个在几何上像
[87:52] 它的可能摩擦力
[87:54] 它的可能更多的这些物理参数
[87:56] 也要足够的去对齐
[87:58] 这是第一
[87:59] 第二可复现就是说
[88:01] 假如说我去跑100遍仿真
[88:04] 我有一个足够高的一个系数
[88:07] 不见得一定是100
[88:08] 可能是95
[88:10] 或者是99
[88:11] 我的这个结果是相同的
[88:13] 我觉得这个是很关键的一件事
[88:15] 另外一个就是说
[88:17] 当我去在我相同的环境
[88:19] 相同的起始点
[88:21] 改变我的行动
[88:22] 我可以看到
[88:24] 可能这个所改变的这个结果
[88:27] 我觉得这几个点都是足够需要的
[88:30] 那咱们再看一下视频模型
[88:32] 那视频模型我认为就是说
[88:34] 它可能更多的是以一个
[88:36] 对下一针的一个预测
[88:38] 它可以看到一些
[88:39] 我觉得世界的变换
[88:41] 对吧
[88:42] 但是一它可能很难去复现
[88:44] 它可能很难去复现
[88:46] 那如果很难去复现
[88:48] 我就很难去做大规模的可靠的评测
[88:51] 第二就是说它没有行动
[88:54] 它很难有足够准确的行动
[88:57] 那这个点我也很难去
[88:59] 要不然就做评测
[89:00] 要不然就产生数据
[89:02] 对第三就是当我改变了一些
[89:05] 在初始状态的条件的时候
[89:07] 它是否可以产生其他的这些
[89:09] 行动
[89:10] 这个也是很难的一件事
[89:12] 所以我觉得普遍的视频模型
[89:14] 现在还不能称之为仿真
[89:16] 当然就是
[89:18] 我认为世界模型是有机会
[89:21] 真正的成为仿真的一类的
[89:24] 世界模型成为仿真的一类
[89:26] 对
[89:27] 那么怎么去理解这件事
[89:29] 就是说我认为世界模型
[89:31] 它的底层其实是一个生成模型
[89:33] 所以它的优势是可以更加广泛的
[89:37] 生成
[89:38] 相对真实
[89:39] 没有我觉得没有仿真的物理真实
[89:42] 但是相对真实
[89:44] 这样的对于世界的预测
[89:46] 甚至是我认为后面接触了机器人
[89:50] 对于下一步的本体的行动
[89:53] 我觉得这个是可行的
[89:55] 就这件事在未来的可能一段时间
[89:59] 是可行的
[90:00] 但是就是说我认为
[90:04] 仿真和世界模型
[90:05] 我认为它们并不是一个
[90:07] 谁会取代谁的一个关系
[90:10] 我认为它们两者
[90:11] 更多的会是一个共生的一个关系
[90:13] 怎么去理解这件事
[90:15] 比如说我们其实服务的客户里头
[90:18] 可能有一个很大比例
[90:20] 都是世界模型的客户
[90:21] 那其实世界模型的客户
[90:24] 他们为了他们的预测能力
[90:27] 逐步的去提升
[90:29] 就物理的grounding能力
[90:31] 逐步的去提升
[90:32] 它需要有更好的物理的数据
[90:34] 来帮助他们去提升
[90:35] 对吧
[90:36] 它需要有更加真实的物理
[90:38] 它需要有更加贴近人的行为的行动
[90:42] 来帮助他们去提升
[90:44] 所以在这儿的话
[90:45] 其实仿真会去帮助他们
[90:47] 另外一方面
[90:48] 其实由于世界模型
[90:50] 它可能具备更好的一个生成能力
[90:53] 所以它又可以帮助仿真的数据
[90:57] 帮助的仿真的结果
[90:59] 去做更好的一个泛化
[91:01] 或者说用仿真基于世界模型
[91:03] 去做更好的一个grounding
[91:05] 来帮助两者结合
[91:07] 有更加准确的生成式的一个输出
[91:10] 那从我们的角度
[91:11] 我们可能过去几个月
[91:15] 我们和我们的世界模型的客户
[91:17] 可能越来越多的
[91:18] 形成了一个共生的一个关系
[91:20] 共生的一个关系就是说
[91:22] 他们在用我们的数据
[91:23] 我们在用他们的模型
[91:25] 两者一块能够把这件事做得更大
[91:28] 我觉得这个可能是一个
[91:30] 后面就是说
[91:31] 仿真世界模型
[91:33] 他们两者相互的一个关系
[91:35] 听起来仿真是世界模型的一种手段
[91:38] 我觉得其实很难说谁是谁的一个手段
[91:41] 我觉得仿真
[91:43] 并不是世界模型的一个子集
[91:45] 或者世界模型也不是仿真的一个子集
[91:47] 我觉得他们俩可能应该是共同去
[91:50] 达到更大的一件事情
[91:52] 这件事就是为了智能
[91:54] 去提供更好的学习的能力
[91:56] 现在这三个团队
[91:57] 哪个团队跟你们合作最多
[91:59] 世界模型VLA和LLM
[92:01] 我觉得世界模型和VLA合作更多
[92:04] 是因为你们做的是robotic相关的数据
[92:06] 没错
[92:07] 因为我们更多的还是关注在一个
[92:09] 物理的环境里头
[92:12] 一个行动的经验
[92:14] 以及相应的这些评价的准则
[92:16] 在这儿
[92:17] 我觉得我们做的相对比较少的是
[92:20] 比方说一个数字化的一个环境
[92:22] 就是LLM就这一些
[92:23] 世界模型和VLA会相互吞并吗
[92:25] 我觉得他们其实在短期是一个很共生
[92:28] 我觉得就是相互依赖的一个关系
[92:30] 我觉得将来
[92:31] 我觉得有可能再有一天
[92:33] 两者可能会合而为一
[92:35] 但是其实本质上来讲
[92:37] 我觉得可能在很长的一段时间
[92:39] 我觉得他们两者都是相互依赖的一个关系
[92:41] 我们能不能把robotic这个行业
[92:43] 对标以前的智能驾驶来想
[92:45] 因为以前在自动驾驶
[92:47] vmo和特斯拉之争也延续了很长时间
[92:50] 今天的这些robotic的大脑公司
[92:53] 似乎都在走vmo那条路
[92:55] 但是今天来看
[92:56] 好像特斯拉成为了一个更主流的路线
[92:58] 当然vmo也做得很好
[93:00] 你是怎么看待这个问题的呀
[93:01] 以及你觉得机器人领域的
[93:02] vmo和特斯拉是谁呀
[93:04] 你为什么觉得这个
[93:05] 现在可能大脑公司更像vmo这条路
[93:08] 因为他们轻本体
[93:10] 收集很多的数据
[93:13] 感觉机器人公司更像特斯拉
[93:15] 理解你的意思
[93:16] 我可能观察到的情况就是说
[93:18] 我先说一下就是
[93:19] 我觉得可能这件事会跟自动驾驶很不一样
[93:23] 就是我认为可能
[93:24] 就不见得会follow特斯拉
[93:27] 或者followvmo
[93:28] 我觉得这个原因就是说
[93:30] 刚才我提到的
[93:31] 它的底层的数据逻辑
[93:33] 如果底层的数据逻辑是基于一个
[93:36] 基于本体的数据闭环
[93:39] 作为90%以上的数据量
[93:43] 那么我认为它一定会follow
[93:45] 要不然就是特斯拉
[93:46] 要不然就是vmo的逻辑
[93:48] 那么我觉得
[93:49] 他们是在一个相对更垂直的场景里
[93:51] 在做这个事情
[93:52] 没错
[93:53] 相对更垂直的场景
[93:54] 且他们的智能相对有限
[93:57] 就是我觉得自动驾驶的智能
[93:59] 还是相对有限的
[94:00] 它更多是一个端侧的模型对吗
[94:02] 端侧的模型
[94:03] 然后它的任务其实比较单一
[94:06] 对吧
[94:07] 就是把车开好了
[94:08] 对比如说它遇到这样的一个杯子
[94:10] 它的反应就是我要避开它
[94:13] 但是在机器人领域
[94:14] 它需要根据这个杯子是什么材质
[94:16] 它是一个多袋的杯子
[94:18] 然后来决定它的手的力度
[94:19] 所以它的复杂系数有更高
[94:21] 没错
[94:22] 就是它的场景更加单一
[94:24] 它的唯一的物理就是
[94:26] 这个车和地面的物理
[94:28] 它不希望去撞到任何的东西
[94:30] 对所以就是说我认为它的
[94:33] 智能水平低一些
[94:35] 对就它的智能水平会低一些
[94:36] 当然我认为有两种方式去解决自动驾驶问题
[94:40] 一种方式就是不是VLA
[94:42] 就是直接VA
[94:43] VA是VLA的下一代吗
[94:45] 就我觉得不是
[94:46] 就VA我觉得就更多就是行动输出
[94:49] 对吧
[94:50] 那它其实
[94:51] 对我觉得它其实更多是因为
[94:52] 我在端侧上可能算力没有那么大
[94:54] 对吧
[94:55] 且有可能就是说
[94:56] 这件事所需要的智能是相对有限的
[94:59] 且呢就是说
[95:00] 我有足够的数据了以后
[95:01] 我可以基于模仿学习
[95:03] 就是把这个模型压到
[95:06] 就是更加贴近于这个司机的行为上
[95:09] 就够了
[95:10] 对吧
[95:11] 那很有可能VA
[95:12] 有可能就是这件事的终局
[95:14] 这是有可能的一件事
[95:16] 但是呢还有一种方式就是说
[95:18] 我做一个更加通用的VLA
[95:20] 我再让它去开车
[95:22] 这件事一定也是可行的将来
[95:24] 对吧
[95:25] 所以我的意思就是说
[95:26] 自动驾驶这件事
[95:27] 我觉得它的一个
[95:28] 我其实
[95:29] 没有太想清楚的一个点就是
[95:31] 会不会有两条路线都能通
[95:34] 一条路线就是
[95:35] 由于它的智能上限没有那么高
[95:38] 因此我VA就通了
[95:39] 对吧
[95:40] 还有一条路径就是
[95:41] 我做这个VLA它也能做
[95:42] 但是这个VLA有可能它还能做其他的事
[95:45] 我觉得这两条路径
[95:46] 有可能都是成的
[95:48] 对
[95:49] 没有了语言
[95:50] 在VLA里面没有语言
[95:51] 你觉得它的智能水平肯定是会降低
[95:53] 它的智能水平会大大的降低
[95:55] 那当然这个我觉得是从
[95:56] 智能的角度
[95:57] 从学习范式的角度
[95:59] 去讨论
[96:00] 那另外一方面
[96:01] 我觉得从数据的角度
[96:03] 一样就是说
[96:04] 可能
[96:05] 自动驾驶
[96:06] 本质上来讲
[96:07] 还是去用模仿学习
[96:09] 最大量的模仿学习
[96:10] 少量的强化学习
[96:12] 去把它的智能拱出来
[96:14] 那它所需要的数据
[96:15] 更多的还是本体相关的
[96:17] 车直接开回来的数据
[96:19] 而对于巨声来讲的话
[96:21] 一定是
[96:22] 走的是本体无关的数据的路线
[96:25] 本体相关的这些数据的量
[96:28] 真正的
[96:29] 这个机器人在端侧落地的量
[96:30] 会相对来说很少
[96:33] 那在这样一个情况下的话
[96:35] 我觉得
[96:36] 可能就是
[96:38] 最后出来的
[96:39] 就是说
[96:40] 就不太会存在特斯拉
[96:41] 因为如果真是特斯拉的话
[96:43] 如果真是特斯拉模式的话
[96:44] 它的大脑
[96:45] 其实可能不是特斯拉做的
[96:47] 可能是XAI做的
[96:49] 对吧
[96:50] 所以我的意思就是说
[96:51] 我觉得在这可能有
[96:52] 它也是一个大公司
[96:53] 两个团队
[96:54] 它其实是两个不同的公司
[96:55] 对吧
[96:56] 所以我觉得可能就是说
[96:57] 最后可能会有三种模式
[96:59] 微末模式
[97:00] 现在的特斯拉
[97:01] 就特斯拉这个公司内部的这个模式
[97:04] 还有一种模式是
[97:05] 就是马斯克体系内的模式
[97:07] 就是它一个
[97:09] 一个是这个做本体的公司
[97:11] 一个是做这个
[97:13] 大脑的公司
[97:14] 对吧
[97:15] 那么这个如果说
[97:16] 咱们放到这个
[97:17] 其他公司里头去
[97:18] 那可能就是
[97:19] Dmine做的一个大脑
[97:20] 对吧
[97:21] 然后可能
[97:22] 就本体上用这个大脑去落地
[97:24] 我觉得很有可能是这条路线
[97:26] 除了马斯克体系内的模式之外
[97:28] 马斯克和Google
[97:30] 你觉得还有谁能支持这件事情
[97:32] 都做
[97:33] 你的意思就是
[97:34] 自动驾驶和这个巨神智能对吧
[97:37] 不是大脑和机器人
[97:39] 大脑和机器人
[97:40] 我觉得美国可能比较少一些
[97:44] 我觉得国内的话
[97:45] 我觉得小米
[97:48] 我觉得就有可能
[97:53] 对但是整体上来讲
[97:54] 我觉得这件事还是比较难的一件事
[97:57] 小鹏和理想呢
[97:58] 就是他们从他们的现在的站位
[98:00] 是一个智能驾驶车企
[98:04] 我认为这件事
[98:05] 它的底层还是卡的数量
[98:07] 因为本质上来讲
[98:09] 如果要做这件事
[98:10] 就有点类似于就是说
[98:11] 你的前提就是
[98:12] 你需要有世界模型的团队和能力
[98:14] 你可能已经有一个全世界
[98:16] 可能最好的世界模型了
[98:17] 然后又基于这个
[98:19] 同时再去做VLA这件事
[98:21] 那我觉得它的卡的这个数量
[98:23] 可能会比较高
[98:24] 需要多少
[98:25] 我们可能在服务的客户的卡
[98:26] 可能都是大几万张
[98:27] 现在这个级别
[98:29] 在做这件事
[98:30] 但我觉得就国内的这些
[98:32] 这些OM还是有很大机会的
[98:34] 创业公司呢
[98:35] 创业公司
[98:36] 我觉得很难去做大脑
[98:39] 我觉得不太
[98:40] 从我的角度
[98:41] 我觉得不太合理
[98:42] 去做大脑这件事
[98:43] 你看智能驾驶的智能水平
[98:47] 你觉得不够高
[98:48] 相对于那个统一的大脑来说
[98:50] 那有没有可能机器人是这样
[98:51] 一个一个锤类场景去解决
[98:54] 我就基于某一个锤类场景去解决
[98:56] 收集很多的侦缉数据
[98:58] 然后把这个场景讯好
[99:01] 就像今天的智能驾驶一样
[99:03] 这可能会不会是一个更快的路径
[99:05] 统一的大脑会不会太远了
[99:07] 对
[99:08] 我觉得一定会存在这个路径
[99:10] 其实这个路径
[99:11] 在我看来更加像vmo
[99:13] 这个路径像vmo
[99:15] 对
[99:16] 因为我觉得它其实更多的是
[99:17] 在一个偏限定的
[99:19] 就是非泛化的一个区域
[99:21] 对吧
[99:22] 然后把一件事给它做好
[99:23] 我还记得就是
[99:24] 我当时是在一个
[99:25] 我还记得就是
[99:26] 我当时刚加入Cruise的时候
[99:28] 那我们的
[99:29] 我们的重心就是在旧金山去落地
[99:32] 自动驾驶
[99:33] 落完了以后再去想第二个城市
[99:35] 所以其实我认为这种方式
[99:37] 就很像当年的vmo Cruise
[99:40] 它要花很长的时间
[99:41] 在第一个场景完全落地
[99:43] 落完了以后它去泛化这件事
[99:46] 扩大这个就是就场景的适配性
[99:48] 可能会比较难
[99:50] 对其实你看现在我觉得
[99:53] vmo确实是做得很好
[99:54] 但是我觉得特斯拉可能在这
[99:56] scalability就是在规模性上
[99:58] 可能会做得更好很多
[100:00] 对
[100:01] 所以在我看来就是说
[100:02] 我觉得如果从这样一个方式
[100:04] 从一个相对垂域的场景去做
[100:07] 首先这个场景可能会分为
[100:09] 就是一两个特定的场景
[100:11] 先把它做好
[100:12] 然后再把这个场景的
[100:14] 其他的特定场景给做通
[100:16] 这个就要花很长的一个时间
[100:18] 在这个之后
[100:19] 再去平行的到其他场景
[100:21] 这件事我觉得可能就要伤筋动骨
[100:23] 因为它的整个的模型的架构
[100:25] 数据各方面可能都是不一样的
[100:27] 对那这样的话
[100:28] 我觉得有点类似于是当年的自动
[100:31] 就是我认为这块也会有成功的案例
[100:33] 比如说自动驾驶
[100:35] 其实你看现在在国内
[100:37] 我觉得做得很好的
[100:38] 比方说有矿山的自动驾驶
[100:40] 它就关注在一个垂域
[100:42] 它把这个垂域完全的做好
[100:44] 在这个垂域它有比较好的一个商业模式
[100:46] 以及相应的一个壁垒
[100:47] 那我认为这个是一个很成功的一个案例
[100:50] 对那当然这个案例
[100:51] 我觉得就是说它可能很难去解决
[100:53] 其他其他的场景去
[100:55] 所以你不认可我说的
[100:57] 现在大脑公司像vmo
[100:59] 然后机器人公司像特斯拉的这个判断对吧
[101:03] 对就是我认为
[101:06] 大脑公司的话应该更像openAI后面
[101:10] 对就是我觉得自动驾驶
[101:12] 本质上来讲它还是一个
[101:14] 没有那么高智能的事
[101:16] 我认为就是说咱们要去看巨声的话
[101:19] 要同时去对标大约摩西和自动驾驶
[101:22] 就是我觉得巨声
[101:23] 可能是两者的一个结合
[101:25] 这个好像有特斯拉吗
[101:27] 有巨声领域的特斯拉吗
[101:29] 我觉得可能figure
[101:31] 是希望成为巨声领域的特斯拉
[101:33] 对吧它有它自己的这个硬件
[101:36] 它在规模化的去量产
[101:38] 那它在落地
[101:39] 同时它也在做自己的大脑
[101:41] 但是还很远
[101:42] 因为它这个场景实在是太模糊了
[101:45] 对我就觉得难度还是很高的
[101:47] 我觉得现在我越来越多的观察
[101:50] 就是我觉得我可能会
[101:52] 更早的看到大模型的
[101:56] 这个放话能力的产生
[101:59] 而我认为就是说
[102:01] 可能很多人低估了
[102:03] 在一个垂域场景落地的难度
[102:06] 以及一旦落地了以后
[102:08] 再去牵一道其他垂域
[102:10] 放话性就会更难
[102:12] 对因为我是实实在在的经历过
[102:15] Cruise
[102:17] 威莫当时这个自动驾驶的这一波
[102:20] 那么我觉得就是说
[102:22] 首先在一个垂域场景里面
[102:24] 在旧金山去落地
[102:25] 其实已经很难了这个问题
[102:28] 那当然就是一旦好了以后
[102:30] 你再到其他的这些城市
[102:32] 其实每一个城市
[102:34] 你可能都要
[102:36] 用更多的数据去采集去训练
[102:39] 以及去大规模的去评测
[102:41] 来真正保证你在这个城市
[102:44] 能够足够安全的去落地
[102:46] 这件事它不是一个很繁华性强的事
[102:49] 倒是比方说特斯拉
[102:51] 它可能
[102:52] 它一开始就开始收集数据
[102:53] 没错
[102:54] 对它是一个就更加广
[102:55] 就广泛的一个数据的采集
[102:57] 真正能够把这事给做通
[102:58] 但机器人可能这种广泛数据采集的场景
[103:02] 更难一些
[103:03] 所以一定要依赖仿真
[103:05] 你的逻辑是什么
[103:06] 仿真和人类数据
[103:07] 依赖本体无关的数据
[103:09] 对我认为这件事会
[103:11] 极其关键就是
[103:12] 我认为如果没有这件事
[103:13] 如果没有巨声的金字塔
[103:15] 的下面的仿真和人类数据
[103:17] 我认为就是巨声这件事的通用智能就出不来
[103:20] 说到这个数据金字塔
[103:21] 我们来聊聊这个金字塔的构成
[103:24] 以及它对于每一类数据的收集上有什么弄好
[103:28] 对数据金塔其实是这个飞飞的学生
[103:31] 就是朱毅克教授
[103:33] 他提出的一个概念
[103:35] 那他本质上来讲
[103:36] 就是去分析巨声智能的数据
[103:40] 跟自动驾驶不一样
[103:41] 它最多的肯定不是基于自己的本体产生的数据
[103:45] 因为没有足够规模化的本体的数据
[103:48] 那更多的要依赖于
[103:50] 仿真和互联网以及人类数据
[103:53] 那么金字塔包括三块
[103:56] 最上面是真实的本体采集的数据
[103:59] 也就是咱们现在可能
[104:01] 最多的看到的真实机器人的摇操作的数据
[104:05] 这个数据一定是最准确的
[104:08] 最好用的
[104:09] 但是这个数据的问题是它很难去规模化
[104:12] 它很难去规模化机器人
[104:14] 很难去规模化场景
[104:15] 中间层是仿真产生的数据
[104:19] 对
[104:20] 仿真产生的数据它的优势就是说
[104:22] 它的规模化能够做得很好
[104:25] 当然它也会遇到sim-true的问题
[104:27] 那当然其实现在由于客户都是大模型
[104:31] 那他们在预训练阶段会用很大量的
[104:35] 仿真的数据以及真实的数据
[104:38] 其实这个模型的通用的能力会变得很强
[104:42] 那其实sim-true就是
[104:44] 仿真和真实的这个问题
[104:46] 变得越来越小
[104:47] 对这个是中间的这个仿真的数据
[104:49] 再往下就是互联网的数据
[104:52] 还有人类的视频的数据
[104:54] 人类的视频的数据其实更多的是人的第一人视角的数据
[104:58] 可能是人戴着眼镜然后去采集的数据
[105:02] 那咱们其实去看过去的几个月的时间
[105:06] 我觉得在本体无关的数据
[105:08] 仿真和人类的数据
[105:10] 我觉得产生了一个质的突破
[105:12] 我其实认为现在已经达到了一个skilling law
[105:16] 就是巨深的一个数据的一个skilling law
[105:18] 为什么这么少去说呢
[105:21] 咱们去看一个是我觉得李飞飞的这个behavior challenge
[105:26] 包括这个英伟达的Groot这个模型
[105:29] 用到了大量的仿真的数据
[105:31] 证明了它的有效性
[105:33] 另外呢就是说generalist
[105:35] 他用了27万小时的污秘夹爪的这个数据
[105:39] 污秘夹爪其实本质上来讲也是人
[105:42] 两个手就拿着这个夹爪去采集的数据
[105:47] 它其实也是人类数据的一种
[105:49] 那它更多的是一个比较简单的一个夹爪形态
[105:52] 那再往后其实就是手指形态的数据
[105:55] 对 没错
[105:57] 那他们已经证明就是说这27万小时数据
[106:00] 在模型上看到了skilling law
[106:02] 对 那么我觉得由于这几个点
[106:05] 其实从我们的实在的观察上
[106:08] 从我们的客户给我们带来的需求上
[106:11] 过去几个月可能是一个质的一个飞跃
[106:14] 就是对于这个数据量的这个需求
[106:16] 是一个可能极大的一个增加
[106:19] 让我们可能原来的时候是一个我们
[106:22] 就是我们需要去刺激需求
[106:24] 到现在我们可能是要去规模化我们的团队
[106:27] 来真正的交付客户的需求
[106:30] 这样一个阶段
[106:31] 对 那当然就是说在这儿
[106:33] 我可能再分享一些更多的想法
[106:36] 我觉得金塔其实并不是一个很单纯的
[106:38] 就是三层
[106:39] 就是真实数据 仿真数据
[106:42] 然后这个人类数据
[106:44] 实际数据
[106:45] 它其实每一个阶段
[106:47] 就是每一层都要续细分
[106:49] 我举一个例子
[106:51] 从仿真数据层
[106:53] 可能最往上这一层
[106:55] 可能是一个人去驱动的仿真数据
[106:57] 因为它从RI角度很贴近于真实数据层
[107:01] 对吧
[107:02] 它的优势是它不需要去基于机器人的本体
[107:05] 对吧
[107:06] 那它呢
[107:07] 另外就是说它还是用人
[107:09] 这样能够采集到最高质量的数据
[107:12] 但是它的问题就是它的规模化能力
[107:15] 相对来说欠缺
[107:16] 对吧
[107:17] 那往下呢
[107:18] 其实就更多是一个算法驱动的
[107:20] 模型驱动的
[107:21] 自动化采集层
[107:22] 那这个呢
[107:23] 可能人的技术就相对来说很少
[107:25] 那它呢
[107:26] 能够保证的是它的规模化
[107:28] 但是呢
[107:29] 它的质量呢
[107:30] 就不会比上层更高
[107:31] 对吧
[107:32] 那咱们再往下去看
[107:33] 就是说
[107:34] 人类数据层也一样
[107:35] 可能也会包括比方说被动采集的
[107:38] 人类数据层
[107:39] 就是说
[107:40] 人可能戴着一些眼镜
[107:42] 对吧
[107:43] 然后没有很好的一个质量管控测试
[107:45] 拿到了很多的人的第一人视角的数据
[107:47] 也会包括可能主动采集的
[107:49] 这个数据层
[107:52] 可能有更加高质量的硬件
[107:54] 更加高质量的这个流程的管控
[107:56] 但是它的规模性会差一些
[107:58] 我觉得这个可能是一个
[108:00] 数据金塔的一个构成
[108:01] 对
[108:02] 那当然还有另外一个点呢
[108:04] 就是说
[108:05] 我其实
[108:06] 某种层面上觉得
[108:07] 数据金塔给人的一种印象是
[108:09] 它是一个很独立的状态
[108:13] 就是真实
[108:14] 真实
[108:15] 仿真
[108:16] 互联网人类
[108:17] 是一个相对比较独立的一个概念
[108:19] 从我们的实践中呢
[108:21] 我越来越认为
[108:22] 数据金塔可能会是一个
[108:25] 就是以仿真为中心的一个闭环
[108:28] 以仿真为中心
[108:29] 就是中间那层
[108:30] 对
[108:31] 就怎么去理解这件事
[108:32] 就是说
[108:33] 如果真要把仿真的评测做好
[108:35] 因为评测这件事
[108:36] 必须要基于仿真去规模化
[108:38] 那它必须要拿来
[108:40] 最大量的足够真实的场景
[108:44] 物理的世界
[108:46] 人的这些的轨迹
[108:48] 经验
[108:49] 同时还有
[108:50] 我觉得很关键的评价的标准
[108:52] 就是不同任务的评价的标准
[108:54] 这件事在仿真中
[108:56] 闭门造车是很难出来的
[108:58] 那其实需要去拿到
