[00:02] 今天其实非常清晰,美股有三条主线,第一条肯定是AI,第二条叫re-industrialization,就是再工业化,第三条叫digitization of finance,就是一个金融产业的创新。
[00:16] 是最早看出来OpenAI是一个产品公司,而不只是模型公司的时候下注的。
[52:32] 这几年还是有一些收敛的,
[52:34] 比如说共识越来越收敛到,
[52:37] 觉得应该硬件软件需要一体化去做训练,
[52:41] 而不是只做一个模型层,
[52:42] 也有更多的人同意就是住宅,
[52:45] 会是比工业更合适的一个落地场景,
[52:48] 那还是有更多的人从一个第一性的原理来看,
[52:51] 站队人形机器人,
[52:53] 当然我觉得这个主要是因为老黄和伊朗在带队,
[52:55] 但是我觉得整体还是太早了,
[52:57] 感觉还是我们处在一个刚刚要从research,
[53:00] 走到engineering的一个阶段,
[53:02] 而且机器人这块实在是太缺数据了,
[53:06] 而且这里面就会有很多噪音,
[53:08] 这个就像10年前的自动驾驶,
[53:10] 就当一个模型过于缺数据的时候,
[53:13] 你给它喂任何的数据,
[53:15] 都会觉得这个帮助很大,
[53:17] 但这个里面并不能线性外推,
[53:19] 因为这个进程会比大家想的要慢,
[53:21] 然后作为投资人,
[53:22] 我觉得说实话来讲很难去评估,
[53:24] 因为机器人它不像大语言模型,
[53:27] 好歹有一个榜单,
[53:28] 我能看看模型的大小,
[53:29] 然后因为机器人今天的任务完成度都不高,
[53:33] 所以我也没有办法去定性的去判断,
[53:36] 所以很多时候除了说这个赛道真的很大以外,
[53:40] 我觉得很难下手去下重注,
[53:43] 你觉得机器人下一步会怎么发展,
[53:45] 或者叫所谓的机器人的GPT moment,
[53:47] 或者是什么样的,
[53:48] 大概会在什么时候出现,
[53:50] 现在我觉得这个整个市场还非常的分散,
[53:52] 非常的乱,
[53:53] 对,确实非常的乱,
[53:55] 我觉得比较乐观的来看,
[53:57] 是希望两三年之内,
[53:58] 有一个叫机器人的GPT moment,
[54:00] 然后这个的定义就是说在manipulation,
[54:03] 就是上半身的这个手的动作上面,
[54:05] 机器人能做一些通用的动作,
[54:07] 包括叠衣服,
[54:09] 收东西,
[54:10] 放洗碗机,
[54:11] 这些最简单的动作先做起来,
[54:14] 而且可能完成度都不会很高,
[54:16] 但是慢慢从这里开始做,
[54:18] 明年挺重要也挺有意思的,
[54:20] 因为有几家美国的机器人公司,
[54:23] 都会把产品卖到客户家里,
[54:25] 那这里面包括1X这家公司,
[54:27] 我自己的预期其实打的还是比较低,
[54:30] 我觉得市场一定是要先解决自动驾驶,
[54:34] 再解决机器人,
[54:36] 机器人这边硬件和数据都还远远不到位,
[54:40] 自动驾驶好歹我们都知道车是什么形态,
[54:43] 机器人还没有一个确定的形态,
[54:45] 那数据的话也差的太远了,
[54:47] 这一块中美对比你怎么看?
[54:49] 我见了也体验了几乎中美所有的自动驾驶和机器人公司,
[54:54] 自动驾驶方面,
[54:56] 中国的发展我觉得会非常好,
[54:59] 而且会比美国有更多的玩家参与在里面,
[55:02] 因为我们有数据,
[55:03] 但很多人不知道的是,
[55:05] 美国这些游车的数据都是没有办法采集的,
[55:08] 因为很多数据都不联网,
[55:10] 就算是联网的部分,
[55:12] 它车身只有一个最多两个摄像头,
[55:15] 所以采出来的数据是没法用的,
[55:17] 而中国就很不一样,
[55:19] 因为我们经历了EV这一轮,
[55:21] 大家技术都更新了,
[55:22] 然后车身也都有很多摄像头,
[55:24] 所以数据是不缺的,
[55:25] 所以比较期待中国在这方面的发展,
[55:28] 那机器人就是中国的应战能力,
[55:30] 肯定是世界上最厉害的。
[55:32] 刚才我们聊的是硅谷这些明星公司,
[55:34] 我也很好奇,
[55:35] 开头其实你也提到说,
[55:37] 你是很少的在美国一线基金里的华人,
[55:40] 那你对于在美国的华人,
[55:42] 不管是研究员还是投资人,
[55:44] 你有什么建议吗?
[55:45] 更勇敢吧,
[55:46] 整体感觉硅谷这边挺公平的,
[55:49] 比如说Twitter这个平台,
[55:50] 我觉得很神奇,
[55:51] 就是它网站做的很烂,
[55:53] 但是美国这些CEO,
[55:54] 每天花非常多的时间,
[55:55] 泡在上面,
[55:56] 所以只要你的内容有意思,
[55:57] 他们都会主动回应,
[55:59] 中国人整体比较内敛,
[56:01] 所以我觉得还是要敢想敢做,
[56:03] 不要不好意思。
[56:04] 你有VC和对冲基金两边的视角,
[56:06] 你觉得这两边的投资逻辑,
[56:08] 会有明显的差异吗?
[56:09] 一个投资人能同时做好这个两边吗?
[56:11] 我觉得是有一定的不一样的逻辑的,
[56:14] 二级其实最好的投资都是非共识,
[56:18] VC就是共识投资,
[56:20] 二级你追求的是叫high risk high return,
[56:24] 比如说22年,
[56:25] 今年的Meta,
[56:26] 今年的Google,
[56:27] 都是非常高回报的反转的这个例子,
[56:30] VC其实追求的是共识,
[56:33] 因为你每一轮都要烧非常多的钱,
[56:36] 其实你需要市场认可你的观点,
[56:38] 一直和你一起支持你选中的公司,
[56:41] 这个过程可能要花很多年,
[56:43] 所以是有一个共识和非共识的这么一个明显区别吧。
[56:47] 这两种投资关注的东西有明显的不同吗?
[56:50] 说到底看的都是人,
[56:52] 产品,
[56:53] 市场这三点,
[56:54] 那早期VC会看人看的更多,
[56:56] 那之后越来越多的会看市场,
[56:59] 但是经验来看一个很优秀的创始人,
[57:02] 哪怕他需要转型几次,
[57:04] 也很少会真的搞砸,
[57:06] 比如说伊朗,
[57:07] 做个各种有的没的,
[57:09] 但他从来没有亏过投资人一分钱,
[57:11] 所以他今天出来融资就一张纸,
[57:14] 写的就是我融资过上百轮,
[57:16] 没有让一个投资人亏过钱,
[57:18] 这个就是他的底气。
[57:20] 那在看人的方面,
[57:21] 每家基金会有不同的偏好或者Taste吗?
[57:23] 审美会有些不一样,
[57:26] 我挑几个比较有意思的说吧,
[57:28] 有一个基金叫Altos Venture,
[57:30] 就是Roblox的大股东,
[57:32] 他们喜欢这种叫刺猬型人才,
[57:35] 刺猬一辈子都在挖洞,
[57:37] 所以他们比较推崇巴菲特,
[57:39] 就是那种创始人,
[57:40] 一辈子就做这一件,
[57:42] 他人生中最有热情的事情,
[57:44] 他们不喜欢那种到处找热点,
[57:46] 管自己叫持续创业者的人,
[57:48] 然后另一家VC叫Ruby Capital,
[57:50] 我非常喜欢,
[57:51] 他们喜欢这种叫Rabbit Capital,
[57:53] 反叛者,
[57:54] 就是带着坏小孩叛逆气质,
[57:56] 想要跟这个世界大干一场的创业者,
[57:58] 这种人通常比较有暴发力,
[58:00] 比如Robinhood,
[58:01] 就是他们典型喜欢的团队,
[58:03] 还有一家叫Harbinger VC,
[58:05] 这家喜欢我叫哪吒型创始人,
[58:08] 就创始人通常有很大的心理创伤,
[58:10] 有一点我命运我不由天,
[58:12] 要证明给全世界看,
[58:13] 就是世界都错了,
[58:15] 像他们投的公司,
[58:16] 比如叫Craftken,
[58:17] 还有几个游戏公司,
[58:18] 是比较典型的例子,
[58:20] 创始人都是那种死也不会卖公司,
[58:22] 去套现的人,
[58:23] 但是整体来讲,
[58:24] 我觉得基金看人差别不会太大,
[58:26] 优秀的人其实挺明显的,
[58:28] 都能看出来,
[58:29] 美国基金在这个投资策略上,
[58:31] 这些年有没有一些明显的变化,
[58:33] 或者走向,
[58:34] 有一个就是集中仓位下重注,
[58:38] 这里面也有一个投资的基本思路,
[58:41] 您肯定也听过,
[58:42] 就是很多人说,
[58:43] 投资就是鸡蛋不能放在一个篮子里面,
[58:46] 要分散风险,
[58:47] 但风险并不会因为你分散了就变小,
[58:50] 市场要跌都是一起跌的,
[58:51] 所以,
[58:52] 买出几十个仓位,
[58:54] 就像是自己给自己买了一个大盘,
[58:56] 美国有一个投资人叫Drake Miller,
[58:59] 我非常欣赏,
[59:00] 他会说,
[59:01] 最好的投资就是你把所有的鸡蛋,
[59:03] 都放到一个篮子里,
[59:04] 这个其实非常的反直觉,
[59:06] 但是你敢都放到一个篮子里面,
[59:08] 你肯定是做了很多的研究,
[59:10] 才敢下这个判断,
[59:12] 所以反而风险会比你半懂不懂,
[59:14] 乱投要低很多,
[59:16] 因为你只有一个篮子,
[59:18] 你会花全部的精力,
[59:20] 去非常认真的看着你这个篮子,
[59:22] 和这个鸡蛋一起成长,
[59:24] 当然我说的是,
[59:25] 如果你想产生超额的收益,
[59:27] 如果只是追求比银行好一点,
[59:29] 百分之几的收益率,
[59:31] 那我觉得直接买S&P就非常好了,
[59:33] 超额的收益,
[59:34] 几乎只能靠重仓,
[59:36] 集中仓位去实现,
[59:38] 而且做久了也会发现,
[59:39] 世界上好公司真的不多,
[59:41] 我能把几十只最好的公司研究透,
[59:45] 交易做好,
[59:46] 就足够了,
[59:47] 我觉得没必要什么都看,
[59:48] 你觉得为什么会发生这个变化?
[59:51] 还是大家,
[59:52] 时间久了,
[59:53] 然后通过看每一年的回报率,
[59:56] 总结出来的吧?
[59:57] 把鸡蛋放在一个篮子里面,
[59:59] 这里面在近几年,
[60:00] 有没有一些成功的案例,
[60:01] 比较典型的?
[60:02] 嗯,
[60:03] 比如Ribbit Capital,
[60:05] 就是2021年的时候,
[60:06] Robinhood应该是出了一点用户的事情,
[60:08] 然后Ribbit在24小时之内,
[60:10] 就放了5个亿进去,
[60:12] 这一笔应该就翻了7倍不止,
[60:14] 然后就是Carvana,
[60:16] 有基金在10块钱的时候抄底,
[60:18] 有可能30倍不止的收益,
[60:21] 然后就是22年的Meta,
[60:23] 23年的英伟达,
[60:25] 今年的谷歌,
[60:27] 可以是逻辑反转,
[60:29] 也可以是非常清晰的龙头,
[60:31] 只要看准了,
[60:32] 把量上购,
[60:33] 都是超额收益,
[60:35] 像GreenNose这个基金很有意思,
[60:37] 它会控制合伙人每周出去开会的数量,
[60:40] 我听说的是,
[60:41] 每个人不超过5个,
[60:43] 就是在鼓励少做判断,
[60:45] 敢于下重注,
[60:46] 所以大家都在寻找这样的机会,
[60:48] 对,
[60:49] 但其实很多基金的规模和结构,
[60:51] 让它不可能做到,
[60:52] 因为基金大了之后,
[60:54] 组织架构就不可能灵活,
[60:56] 那每个合伙人每年都要做项目,
[60:58] 但好的项目也根本没有那么多,
[61:00] 所以这里又是一个反直觉,
[61:02] 就是VC的回报率通常不会特别的高,
[61:05] 像我们跟踪了超过2000多支VC的回报数据,
[61:10] 其中只有200支能实现3倍以上的回报,
[61:15] 然后有80支能实现超过5倍的回报,
[61:18] 而在这80支里面,
[61:20] 最大的一支基金规模就是5亿美金,
[61:23] 而且你要去想5倍的净回报,
[61:26] 因为VC是一个10年的投资期,
[61:28] 也就是大概16%-17%的IRR,
[61:31] 那如果你是3倍的回报,
[61:33] 那就是将将10%的这个回报率,
[61:36] 所以举一个具体的例子,
[61:38] 就是如果你是一个200亿美元的基金,
[61:42] 如果你想给LP有5倍的净回报,
[61:45] 那你就需要向LP返还超过1000亿美金,
[61:49] 你假设你在退出的时候,
[61:51] 你有10%的持股,
[61:53] 我觉得这个已经很慷慨了,
[61:54] 可能通常不达10%,
[61:56] 那就意味着需要1万亿美金的总的退出的规模,
[62:01] 那这个就相当于是过去五六年,
[62:04] 全美国IPO市值的总和,
[62:06] 这个是根本不可能做到的。
[62:09] 这个回报率比我们想的要低很多,
[62:12] 听上去是不是反而需要小而美?
[62:16] 对,这个总结是完全正确的,
[62:18] 我觉得除了共识和非共识,
[62:21] VC和二级的另外一个区别就是体量,
[62:24] 那VC基金想做好是没有办法商量的,
[62:27] 我们刚刚也举了这个200亿美金规模基金的这个例子,
[62:31] 但是二级的容量是无限的,
[62:33] 所以很多时候看到一个赛道或者一个机会,
[62:37] 我觉得用二级市场去表达反而会容易很多,
[62:40] 而且钱不会被锁定10年,
[62:42] 像23年买英美达,
[62:44] 那个时候你去判断几十个大冒险公司,
[62:47] 哪个能成功真的太难了,
[62:49] 但是你重仓英美达就可以实现非常超额的收益,
[62:52] 你算上所有我们刚刚讲的股权稀释,
[62:55] 英美达的回报是这里面最高的。
[62:57] 在美国一二级同事都做成为一个新的趋势了吗?
[63:00] 我觉得有几家是一级二级两个基金都有,
[63:04] 但是真的把两边结合的非常紧密,
[63:07] 是同一个投资团队去看的几乎没有。
[63:11] 对,一般是两个团队。
[63:12] 对,是非常分开的,几乎就像两个基金一样。
[63:15] 所以你们是一个团队,
[63:17] 还是一级二级两个基金?
[63:19] 我们因为老板他把我们人员控制的非常的少,
[63:23] 我们整个基金一共不到30个人,
[63:25] 然后投资团队人非常的少,
[63:27] 所以他希望大家有两边的视角。
[63:29] 这个会带来一些投资难点吗?
[63:31] 如果你同时投资一级二级?
[63:33] 我觉得时间分配上肯定自己要做决定,
[63:36] 而且说实话也比较辛苦,
[63:38] 但是确实两边会有很多我们叫Synergies,
[63:41] 就是因为你两边是都在看,
[63:44] 所以会有像我们刚刚讲的,
[63:46] 不管是英美达呀,
[63:47] 还是一些具体的投资案例的这么一个帮助。
[63:51] 我们能不能把硅谷火的赛道给听众过一下,
[63:54] 你是怎么看的?
[63:55] 哪些是你比较看好的?
[63:57] 今年最火的肯定是编程。
[64:00] 投资里面我们有一个公开的秘密,
[64:03] 就是说如果一个领域一年之内能创造出10个亿的年化收入,
[64:08] 那这个领域不管你之前理解不理解,
[64:11] 现在都必须投进去。
[64:13] 因为这个是市场在告诉你这里面要产生世界级的公司。
[64:16] 这样的领域其实挺难遇到的。
[64:19] 但是你看编程这一块,
[64:21] 它一年之内就创造了超过50亿的年化收入,
[64:24] 那这个重要程度是不言而喻的。
[64:27] 编程的话,
[64:28] 你看年化收入今天有4家超过6个亿,
[64:31] 在这个里面有Cloud Code和OpenAI Codex这两个,
[64:35] 都是在他们发布之后,
[64:37] 直线拉升,
[64:38] 后来居上,
[64:39] 邪律非常陡峭在抢占市场。
[64:41] 我自己非常看好这个市场,
[64:43] 但是我觉得里面的竞争才刚刚开始,
[64:46] 你刚刚看这个Google和Windsurf,
[64:48] 它把编程就算是免费了,
[64:50] 那这个对Cursor意味着什么?
[64:52] 所以竞争格局现在是比较难看清楚的。
[64:55] 今年除了编程,
[64:57] 还有很多垂直领域非常火,
[64:59] 包括金融,
[65:00] 法律,
[65:01] 医疗,
[65:02] 企业软件。
[65:03] 这个也很有意思,
[65:04] 因为你上一轮软件的发展,
[65:05] 其实都是从一个通用就是平行层软件开始做,
[65:09] 然后再去做垂类。
[65:10] 但是现在创业感觉只有垂类这一种机会,
[65:13] 因为通用这层被大模型吃掉了。
[65:16] 在这些垂类领域里面,
[65:17] 我觉得编程也是最适合模型公司亲自去做的,
[65:20] 它和其他垂类非常不一样,
[65:22] 因为它不需要你特意的去采集具体领域的知识,
[65:26] 它go to market也非常自然,
[65:28] 不需要去雇佣一个团队的销售,
[65:30] 所以模型公司做起来非常的顺手和合理,
[65:33] 那这个和金融,
[65:34] 法律都很不一样。
[65:36] 视频领域我们之前也讨论很多,
[65:38] 你怎么看?
[65:39] 我自己非常看好视频领域,
[65:41] 首先就是很大,
[65:42] 因为美国的媒体行业是一个超过8000亿的市场,
[65:46] 我判断视频会是AI和人类交流的一个重要载体,
[65:52] 因为它是对大脑来说带宽最高的输入形式,
[65:55] 再有就是视频行业的逻辑已经彻底改变了,
[65:58] 像之前TikTok做的事情就是匹配,
[66:01] 让创造者产出视频,
[66:03] 然后再想办法匹配给用户,
[66:06] 那优化的就是匹配这个函数本身,
[66:09] 但现在视频第一次成了可以直接被优化的对象,
[66:14] 你可以随便设定目标函数,
[66:16] 然后去强力优化,
[66:18] 比如说我们现在可以直接拿用户参与度当成目标,
[66:22] 去优化视频,
[66:23] 或者把广告的点击率作为目标,
[66:26] 对它进行优化,
[66:27] 这里面能做的太多了,
[66:29] 我判断这里面会出来百亿的大公司,
[66:32] 所以你看谷歌,Meta,
[66:34] 包括Elon Musk,
[66:35] 都要重点搞这一块。
[66:38] 我看你写过一个Agenti Commerce的深度研究报告,
[66:41] 这块是不是也比较火?
[66:42] 对,Agenti Commerce是OpenAI接下来要做的一个方向,
[66:45] 可能这个月就能看到,
[66:47] 这个对整个互联网行业我觉得有非常多的影响,
[66:50] 包括广告,电商,电子支付。
[66:54] Agenti Commerce就是Agent替我去买东西,
[66:58] 比如我描述我想买一个面膜,
[67:01] Agent就帮我一通推荐,
[67:03] 选出一个最适合我复制的,
[67:05] 然后帮我付钱。
[67:06] 真的想清楚的话,
[67:08] 我觉得这个对大部分商家来说应该都会是噩梦,
[67:11] 因为商家都非常希望用户直接来自己的网站,
[67:15] 这样他才能多卖我一些他店里的东西,
[67:18] 我们叫Cross-sell。
[67:19] 而且流量本身是很贵的,
[67:22] 比如说Booking.com,
[67:23] 中国叫携程,
[67:24] 他交易额的一半都是谷歌帮他引流过来的,
[67:28] 很多人不知道他在这一部分其实是零利润,
[67:32] 是完全赚不到钱的,
[67:33] 因为谷歌的广告费是很贵的,
[67:36] 长期Agent也一定会收费,
[67:38] 所以流量如果越来越靠Agent去引流,
[67:41] 并不是任何商家想看到的。
[67:44] 那你再看亚马逊,
[67:46] 他每年的广告收入能有接近1000亿,
[67:49] 广告收入我们也叫眼球收入,
[67:51] 都是用户直接来他的网站去买东西,
[67:54] 他才会有机会卖广告,
[67:56] 那这个里面也会有很大的变数。
[67:58] 所以我想来想去,
[67:59] 我觉得这里面唯一受益的就是一些常委的商家,
[68:03] 因为之前他们花不起广告费,
[68:05] 拿不到很多流量,
[68:06] 那现在Agent可以很精准的,
[68:08] 他可能翻阅了几十页的这个搜索结果,
[68:11] 给我找出了最适合我的一款,
[68:13] 小众面膜,
[68:14] 而这些商家通常在烧配饭上面开店。
[68:17] 支付行业刚刚说回来也会有很多变化,
[68:20] 今天很多人是用PayPal这种快捷支付按钮,
[68:23] 为什么我用它,
[68:24] 是因为它就是我的钱包,
[68:26] 它存了我信用卡的信息,
[68:28] 我不用自己输入,
[68:29] 而PayPal因为提供了便捷,
[68:31] 所以它会收一个溢价,
[68:32] 但是到了Agent的时代,
[68:34] Agent自己不怕麻烦,
[68:36] GPT就是我的电子钱包,
[68:38] 它有我的一切信息,
[68:39] 那这个里面还需不需要PayPal这个中间商,
[68:42] 我觉得是一个挺严肃的问题。
[68:44] 所以Agentic Commerce不只是一个公司或者一个应用,
[68:49] 它如果真的做起来,
[68:50] 会改变整个互联网的格局。
[68:53] 美国之前它的软件行业是非常的火的,
[68:55] 你怎么看软件公司和AI公司的区别?
[68:58] 软件公司我们开玩笑说就像是鸡胸肉一样,
[69:01] 它的味道非常的一致,
[69:03] 基本上可以闭上眼睛流水线处理,
[69:06] 因为这些公司你拿过来发现都是毛利率一模一样,
[69:10] 80%,
[69:11] 基本上,
[69:12] 净流存率都是超过120%,
[69:14] 所以到了AI时代,
[69:16] 很多投资人不想去碰AI投资,
[69:19] 因为觉得毛利率太低,
[69:21] 但是AI应用公司的毛利率是一个反直觉,
[69:25] 就是越有人用,
[69:26] 你的毛利率反而会越低。
[69:29] 现在大家并没有一个统一的意见,
[69:31] 就是怎么给AI公司估值,
[69:33] 我觉得应该看利润的绝对金额,
[69:37] 因为虽然它毛利率低,
[69:39] 但是AI的合同金额通常更大,
[69:41] 每位用户的毛利可以做到传统软件公司的好几倍,
[69:46] 这个就像亚马逊的云刚出来的时候,
[69:49] 也是50%-60%的毛利率,
[69:51] 很多人也不看好,
[69:53] 因为觉得没有软件赚钱,
[69:55] 但是这个市场后来证明比所有的软件都要大,
[69:58] 我们聊了很多的明星公司和重点赛道,
[70:00] 也聊了硅谷投资圈的揭秘,
[70:03] 现在一个市场关注度很高的话题,
[70:06] 就是这个市场是不是在一个泡沫里,
[70:09] 那这些AI公司说的收入规模都是巨大的,
[70:12] 那你觉得他们的这个钱是从哪里来,
[70:15] 它是一个存量的概念,
[70:16] 是说从现在已有的这些大公司,
[70:18] 从Google和Meta来呢,
[70:20] 还是说有一些新的方向,
[70:22] 那如果是存量的话,
[70:24] 投这么一笔巨额的AI投资,
[70:27] 它意义在哪?
[70:28] 这个问题问得非常好,
[70:29] 首先有一个概念,
[70:30] 我叫电子收入或者叫电子税,
[70:33] 这个在美国一共就是大概4000亿的总收入,
[70:37] 其中一块就是,
[70:39] 线上广告大概是2600亿,
[70:41] 然后第二块就是电子商务的佣金收入,
[70:45] 我们叫3P e-commerce的Takery,
[70:48] 是大概1000亿的这么一个收入体量,
[70:51] 第三块就是人花钱的订阅收入,
[70:55] 包括Netflix,YouTube,
[70:57] 加在一起大概500亿,
[70:59] 所以如果你去抢互联网存量的话,
[71:02] 那这个数目其实没有那么大,
[71:04] 就是4000亿的总收入,
[71:06] 所以如果说OpenAI进来,
[71:09] 像媒体报道的它要做到2000亿的营收,
[71:12] 如果它拿了的话,
[71:14] 那就是Google,Meta,亚马逊这些都要去给它让这个份额,
[71:19] 所以你说的是对的,
[71:20] 如果说我们花了这么多钱,
[71:22] 就烧出了一个小谷歌,
[71:23] 这个意义确实不会有那么大,
[71:25] 广告的收入会不会因为AI而增加?
[71:28] 很多人会这么问,
[71:30] 我不同意这个说法,
[71:32] 我觉得美国的广告收入过去20年的增长,
[71:35] 你看下来是很稳定的,
[71:37] 是年化5%、6%这样子,
[71:39] 广告的总额并没有什么理由增加,
[71:42] 美国公司全部加起来,
[71:44] 平均花3%的收入在广告上面,
[71:48] AI来了也没有任何理由去花超过3%,
[71:51] 我觉得不减少就不错了,
[71:53] 那美国到今天线上广告渗透率有超过80%,
[71:57] 我也不觉得这里会有很大的上销空间,
[72:00] 所以我觉得还是会回到刚才说的,
[72:02] 线上广告就是一个2600亿的这么一个规模。
[72:06] 那如果模型的收入不是从你定义的电子收入里面来,
[72:11] 它能从哪里来?
[72:12] 美国GDP是一个30万亿的规模,
[72:15] 然后劳动力成本有15万亿这么大,
[72:18] 那光是客服就是3000亿的这么一个市场,
[72:21] 那这个里面去撕出一个口子,
[72:23] 很容易有几千亿的收入体量,
[72:25] 像迈克戴尔和珍森他们的逻辑就是,
[72:28] AI哪怕提升10%的全球生产力,
[72:31] 就能产生超过10万亿美元的GDP增长,
[72:35] 所以你每年去投入三四万美金,
[72:38] 建设算力也算是合理的。
[72:40] 所以我的思路就是,
[72:42] 最开始,尤其是在模型能力还没有太上来的时候,
[72:46] 最容易吃的还是会回到电子收入这一块,
[72:50] 所以OpenAI肯定会去抢,
[72:52] 广告的竞争格局也肯定会恶化,
[72:55] 但是你给一点时间,
[72:56] 模型能力上来了,
[72:57] 真正的Agent或者叫AI for Science能涌现,
[73:00] 那我们就能去创造新的价值,
[73:02] 也能去吃尽15万亿劳动力的大市场,
[73:05] 这个账就算过来了。
[73:07] 但是这里面有一个问题,
[73:08] 就是如果你大幅度提高了劳动力的水平,
[73:10] 导致了公司裁员,
[73:11] 那谁来消费呢?
[73:12] 会不会对经济的整体影响其实是差的?
[73:15] 我觉得要分情况看,
[73:16] 最简单的还是举一个例子,
[73:18] 如果我今天是100个人,
[73:20] 能产出100个商品,
[73:22] 我用了一通AI之后效率更高了,
[73:24] 80个人就能产出110个产品,
[73:27] 那这些商品可能还更便宜更好用,
[73:29] 那这个realGDP就会有10%的增长,
[73:32] 你剩下的80个人的收入,
[73:34] 肯定是会有大幅提升的,
[73:37] 这个公司的利润也会有大幅提升的,
[73:40] 所以其实是一个积极的消费循环。
[73:43] 被裁掉的这个20个人,
[73:45] 确实一段时间之内会比较惨,
[73:47] 所以我不知道AI受益的公司,
[73:50] 会不会要去交一个AI税,
[73:52] 或者叫裁员税,
[73:53] 去帮助一下这些受影响的人,
[73:55] 像你看到一个叫Rocana的,
[73:57] 就是加州议员,
[73:58] 已经开始在收这件事情了,
[74:00] 所以并不是一个危言耸听,
[74:02] 但我还是比较乐观,
[74:03] 因为如果你真的,
[74:04] 回看历史上每一轮生产力的提高,
[74:07] 其实每次也都伴随着裁员潮,
[74:10] 然后当然也是花一段时间之后,
[74:13] 社会去会去吸收这个变化,
[74:15] 重新就业,
[74:16] 然后财富有一个重新的分配。
[74:18] 很多人关注AI投入产出比,
[74:20] 这里的回报你是怎么算的?
[74:22] 其实不会算的特别清楚,
[74:23] 因为AI既能产生收入,
[74:25] 同时也能节省成本,
[74:26] 但是我们可以过一下大数,
[74:29] 看一下未来比如12到18个月,
[74:32] 比较清晰的AI收入,
[74:33] 这个里面,
[74:34] 大头就是OpenAI能看到300亿,
[74:37] 然后Anthropic看到一半,
[74:39] 大概是150亿,
[74:40] 这个市场上有两个接近20亿收入的垂类,
[74:44] 一个是编程,
[74:45] 一个就是刚刚讲的视频生成,
[74:48] 然后能有几个5亿量级的垂类,
[74:51] 包括音频,
[74:52] 客服,
[74:53] 法律,
[74:54] 医疗,
[74:55] 还有些上市公司的AI收入,
[74:57] 所以加起来,
[74:58] 大概能看到700亿的AI收入,
[75:00] 这个里面数字很多,
[75:01] 但我觉得最重要的就是,
[75:03] 能跟踪出来的AI收入,
[75:05] 大头其实只有OpenAI和Anthropic,
[75:07] 剩下所有的创业公司加起来,
[75:09] 也就几十亿最多的规模了,
[75:11] 那你觉得这个市场到底是不是一个bubble,
[75:13] 有没有泡沫?
[75:14] 我觉得空谈是不是泡沫,
[75:16] 太主观,
[75:17] 可能也比较空,
[75:18] 但是有两个层面可以去思考这个问题,
[75:21] 第一就是说我们今天在不在一个bubble里面,
[75:24] 那我觉得答案是肯定不是的,
[75:26] 因为这一轮AI应用的落地速度其实很快,
[75:30] GPT出现不到三年,
[75:32] 用户的普及程度已经相当于互联网发展十年的成果了,
[75:36] 我们已经有了几百亿的AI收入,
[75:38] 大公司投入AI之后,
[75:40] 你去看它每个季度的投资回报比,
[75:43] 就是ROIC,
[75:44] 也都是在提升的,
[75:46] 那第二个层面就是去想,
[75:48] 这个AI之后会不会成为一个bubble,
[75:50] 那这个里面就两点最重要,
[75:52] 第一就是模型是不是一直在进步,
[75:55] 我觉得这个还是很乐观的,
[75:57] 尤其是像Gemini3它的这个模型出来之后,
[76:00] 它就证明了pre-training
[76:01] 还是在继续scale的,
[76:03] 是没有撞墙的,
[76:04] 而明年二季度呢,
[76:05] Blackwell能训练出来的模型也非常值得期待,
[76:08] 然后第二个层面去看,
[76:10] 就是看AI收入是不是有增加,
[76:12] 那就回到刚刚我们去过的这些大数,
[76:15] 就是AI的投入产出比,
[76:17] 然后这个里面最大的收入,
[76:19] 就是在OpenAI和Anthropic上面,
[76:21] 我们到这里做了很多复盘性的讨论,
[76:23] 因为今天我们也到了25年年底了,
[76:25] 能不能对于26年,
[76:27] 对明年能做一些展望,
[76:29] 因为很多听众对于投资也非常的有兴趣,
[76:32] 比如说美股的那几个最重要的公司,
[76:35] 当然我们同样不做任何的投资建议,
[76:38] 市场很明显在过去两个季度有一个变化,
[76:40] 就是对公司的要求是,
[76:42] 不能只有AI投入,
[76:44] 而是要实打实的有AI的收入,
[76:46] 我们可以过一下美股最大的几个公司,
[76:49] 先说谷歌,
[76:51] 谷歌是今天的共识的龙头,
[76:53] 它模型是SOTA的,
[76:55] 然后站位是最好的,
[76:56] 也是近期逻辑最顺的,
[76:58] 这个很多人都讲过,
[77:00] 但明年我还是会很关注广告这块的竞争,
[77:04] 因为一个是OpenAI广告的上量,
[77:06] 一个是被大家快要遗忘的TikTok,
[77:09] 它在美国和Instagram是一样的用户数,
[77:12] 时长比Instagram高很多,
[77:14] 但它的收入只有Instagram的不到三分之一,
[77:17] 所以明后年我觉得整体广告的竞争会加剧,
[77:21] 当然也是一个好事,
[77:23] 就是它会倒逼模型公司,
[77:25] 包括谷歌,
[77:26] 去寻找新的AI的业务模型,
[77:28] 模式的变现方式,
[77:29] 然后可能再说一说Meta,
[77:32] Meta和特斯拉这两个票的setup我觉得很像,
[77:36] 说实话就是基本面都没有很好,
[77:39] 但是影响股价最重要的是他们的AI进程,
[77:42] Meta就看它什么时候模型能到第一梯队,
[77:46] 但整体感觉明年是不容易的,
[77:49] 因为它现金流肯定是跌的,
[77:51] Meta这个股票有一个规律,
[77:54] 就是它上市15年以来,
[77:56] 每一年的股价,
[77:57] 都是上涨的,
