[00:06] Hello 大家好,欢迎收听张小俊商业访谈录,我是小俊
[00:10] 这是一档由语言级世界工作室出品的深度访谈节目
[93:08] 和它的实现schema
[93:09] 是我写的
[93:10] 所以就是我们能够让他
[93:11] 去帮我们实现一些东西
[93:12] 这里其实有很多
[93:13] 要去探索的东西
[93:14] 比如说
[93:15] 我刚才提到了一嘴
[93:16] 就是我认为
[93:17] 现在大部分的模型
[93:18] 仍然是为chatbot去做的alignment
[93:19] 这是一个很有趣的一个观察
[93:20] 大家知道
[93:21] 其实从gpt3到instructgpt
[93:23] 它发生了一个很大的变化
[93:24] 不是在机座
[93:25] 而是在于你的后续链
[93:29] 进行的输出的风格
[93:30] 或者说形态的
[93:31] 比如说
[93:32] 如果你用最早的gpt3的API
[93:33] 你问他说北京天气如何
[93:35] 他其实不是回答你
[93:36] 而是他在尝试补全
[93:37] 甚至复读
[93:38] 比如你问他北京天气怎么样
[93:39] 他会说
[93:40] 东京天气怎么样
[93:41] 纽约天气怎么样
[93:42] 他其实在模仿你的
[93:43] 这样一个pattern
[93:44] 但不再回答你
[93:45] 而instructgpt
[93:46] 和后来chatgpt
[93:47] 它其实通过后续链
[93:48] 所实现的是
[93:49] 让模型知道
[93:50] 我应该去回答这个问题
[93:51] 但这里你看
[93:52] 存在chatbot
[93:53] 会存在一个天然的问题
[93:54] 叫做
[93:55] 无论用户的问题
[93:56] 有多么的复杂
[93:57] 他都会倾向于
[93:58] 在一轮回答中回答完毕
[94:00] 但这个其实
[94:01] 跟agent的一个基础假设
[94:02] 是不一样的
[94:03] agent的基础假设
[94:04] 其实就是顺宇的那篇paperreact
[94:06] 我每次都跟别人讲
[94:07] 我觉得这个抽象非常好
[94:08] agent做的事情
[94:09] 就是在一个循环中
[94:11] 基于用户的输入
[94:13] 或者来自环境的一个观察
[94:14] 叫做observation
[94:15] 去在你的动作空间中
[94:17] 选择最有可能的下一个action
[94:19] 去选择下一个动作
[94:20] 所以很明显
[94:21] 对于agent来说
[94:22] 接到用户的一个复杂输入之后
[94:23] 他正确的做法
[94:24] 不是急于在一轮内回答全部
[94:26] 而是很有耐心的逐步尝试
[94:28] 却基于上一步的观测
[94:30] 去调整自己的方案
[94:31] 去预测下一步
[94:32] 所以如果你仔细去想的话
[94:34] 其实agent的工况
[94:35] 跟chatbot是不align的
[94:36] 而这里头会带来很多细节问题
[94:38] 比如说很多现代的模型
[94:40] 会有一个耐心问题
[94:42] 对就是为什么会说
[94:44] 模型比如回答问题
[94:45] 尤其你强行用chat模型
[94:47] 完成长链路的longhorizon的
[94:49] agent任务之后
[94:50] 你发现模型干的事的质量
[94:51] 越来越低
[94:52] 越来越低
[94:53] 一定程度上来说
[94:54] 就是它缺乏这样一个
[94:55] 真正在现实的agent trajectory
[94:57] 就是agent轨迹中进行训练的过程
[94:59] 或者说它的datamixer
[95:01] 就是它的训练用的数据混合中
[95:03] 是有agent这样的task
[95:05] 但实际上它被dominate
[95:08] 它的datamixer
[95:09] 其实还是为chatbot
[95:10] 而设计的数据
[95:11] 模型的学习能力是极强的
[95:13] 你数据的distribution
[95:14] 其实会影响模型的一个风格
[95:16] 就比如说模型在输出到一定长度
[95:18] 或者说看见它的输入的token
[95:20] 长度到某一范围之内
[95:21] 它会感受到一种无形的
[95:22] 叫做context pressure
[95:23] 就是上下文压力
[95:25] 它会影响你输出下一个token
[95:27] 为EOS的概率
[95:28] EOS就叫end of sequence token
[95:30] 就是模型
[95:31] 当它认为该输出这个token的时候
[95:32] 其实整个这个任务就结束了
[95:33] 其实模型是能感觉到这种压力的
[95:35] 所以这块其实是一个很不好的事情
[95:38] 它让我们用chatbot的模型
[95:40] 为chatbot设计的模型
[95:41] 在agent任务中工作的时候
[95:42] 它会非常的着急
[95:44] 一个常见的现象就是
[95:45] 你会发现
[95:46] 它到后面开始疯狂用bully point
[95:48] 就写那个
[95:49] 很总结是一个关键点
[95:50] 一个关键点 一个关键点
[95:51] 写短
[95:52] 写短 对
[95:53] 另外一点就是
[95:54] 这些模型它其实
[95:55] 没有为现代context engineering
[95:58] 做过一些专门的训练
[96:00] 我举个例子
[96:01] 就刚才我提了一嘴
[96:02] 说23年初
[96:03] 我就一直到处忽悠long context
[96:05] 但我现在有新的想法
[96:07] 我现在有一个暴论
[96:08] 我觉得200k以上的context
[96:10] 就不重要了
[96:11] 为什么呢
[96:12] 因为比起更长的context
[96:13] 我觉得更重要的
[96:14] 应该是让模型具备
[96:15] compassion awareness
[96:16] 就是说对压缩这件事的意识
[96:19] 对压缩这件事的意识
[96:21] 对 这个怎么解释呢
[96:22] 就是
[96:23] 如果你让你的context
[96:24] 你的上限文长度
[96:25] 无限单调递增的话
[96:26] 即使有kvcash存在
[96:28] 它是能让你的latent
[96:29] 你的延迟和成本较低
[96:31] 但其实它仍然是
[96:32] 即使你有些efficient tension
[96:34] 你也是一个增长的过程
[96:36] 但这是不值得的
[96:37] 其实更重要的
[96:38] 应该是什么
[96:39] 让模型知道说
[96:40] 我现在context已经很长了
[96:41] 我看我能不能
[96:42] 把我一些context中的信息
[96:44] 去offload
[96:45] 就是把它外化到
[96:46] 比如文件系统中
[96:47] 就像我有一部分记忆
[96:48] 就像人一样
[96:49] 我这个东西
[96:50] 不用脑子里一直装着
[96:51] 人的记忆其实挺差的
[96:52] 就是我的工作
[96:53] 记忆存很差
[96:54] 但是我会知道这个事
[96:55] 我可以整理成一个文档
[96:56] 放在我的notion里头
[96:57] 我下次我知道
[96:58] 我该什么时候去拿回来
[97:00] 或者说
[97:01] 我知道我过去
[97:02] 做了很多的事情
[97:03] 但是其实有一段东西
[97:04] 它不重要
[97:05] 它只是一个过程
[97:06] 那这时候
[97:07] 我可以进行一个压缩
[97:08] 叫做compaction
[97:09] 或者叫compression
[97:10] 就是说
[97:11] 我把我中间的一段历史
[97:12] 变成一个很紧凑的表达
[97:13] 但是模型要能够明白说
[97:14] 这段东西不是凭空消失了
[97:16] 它是被压缩了
[97:17] 而让模型意识到
[97:18] 被压缩这件事
[97:19] 是需要专门训练的
[97:20] 这个是
[97:21] 为chadbot训练的模型
[97:22] 其实没有很好的一个
[97:23] 训练过的点
[97:24] 另外其实还有
[97:25] 刚才讲到的就是
[97:26] 像cloud3.5 v2的时候
[97:28] 它还没有很强的
[97:29] 这个reasoning能力
[97:30] 但reasoning这个词
[97:31] 是非常大的
[97:32] 一个最
[97:33] 怎么说
[97:34] 最表面的reasoning现象
[97:35] 可能是
[97:36] 像OC的一种reasoning model
[97:37] 就是说
[97:38] 当用户问一个问题之后
[97:39] 他在输出最终答案之前
[97:40] 会有很长的
[97:41] 这个internal的long COT
[97:42] 就是内部的长次位链
[97:43] 但这个东西
[97:44] 你如果盲目的用于agent
[97:45] 你会发现一些问题
[97:46] 比如说
[97:47] 你会发现
[97:48] 它的instruction following能力
[97:49] 就是它遵循指令的能力
[97:50] 其实下降的
[97:51] 另外一点就是
[97:52] 它其实出现幻觉
[97:53] 和幻觉攻击调用的概率
[97:54] 是提升的
[97:55] 所以如果你直接把一个
[97:56] 为了就是解决
[97:57] 比如说竞赛编程或者数学
[97:59] 而设计的reasoning model
[98:00] 平移到agent场景下之后
[98:02] 你会发现
[98:03] 其实它的效果是下降的
[98:04] 这时候我们应该去改变
[98:06] 这块的训练的模式
[98:07] 比如说你可能更关注一种
[98:08] 叫interleave thinking
[98:09] 就是交错式思考
[98:10] 刚才讲到
[98:11] 就是按照顺宇的react来说
[98:13] 就是你获得一个observation之后
[98:15] 你不要立即着急
[98:16] 去预测下一个action
[98:17] 而是在这块进行一个中间
[98:19] 但是且相对较为短暂的reasoning
[98:21] 去想想
[98:22] 我之前做了这些事情
[98:24] 下一步我该做什么
[98:25] 我该做这个
[98:26] 是类似这样的一个结构
[98:27] 而不是说像
[98:28] 比如说你用一张O系列模型
[98:30] 去解决一个数学题
[98:31] 你用户给了一个很短的问题
[98:32] 他哗就想了几千个token
[98:34] 全在脑内
[98:35] 这是不对的
[98:36] 这个时候会在agent场景下
[98:37] 产生一些负面效果的
[98:38] 但是比较不幸的
[98:39] 就是这个事
[98:40] 其实可能说起来简单
[98:41] 但是大家做的
[98:42] 说实话都不是特别好
[98:44] 就是目前
[98:45] 那个模式
[98:46] 模型公司做的不好
[98:47] 做的不是特别好
[98:48] 这时候还有很大的
[98:49] 改进空间
[98:50] 所以我很期待
[98:51] 就是这个
[98:52] 有接下来的这个进展
[98:53] 对
[98:54] 然后比较幸运的就是因为
[98:55] 我们影响力会比较大嘛
[98:56] 所以就是我可以天天
[98:57] 给这些模型公司洗脑
[98:58] 这个很重要
[98:59] 这个很重要
[99:00] 这个很重要
[99:01] 然后他们也确实
[99:02] 很积极地在改进这些事
[99:03] 所以其实包括那个
[99:04] 真战3出来之后
[99:05] 我们也很兴奋嘛
[99:06] 对吧
[99:07] 就是他们能以非常快的节奏
[99:08] 去把我们之前遇见的问题
[99:09] 实实在在的变成模型
[99:10] 而又很开心的是
[99:11] 头部旗舰模型的成果
[99:12] 会逐渐影响所有开源的模型
[99:16] 大家也会跟进
[99:17] 所以就是我很开心的一点
[99:18] 就是好像全世界
[99:19] 都在帮我们一起去模型
[99:21] 但是我们却没有自己
[99:22] 掏出很多钱去砸进去
[99:24] 而是说我们让用户
[99:26] 使用了一个很好的产品
[99:28] 用户付了我们的钱
[99:29] 我们为用户创造了价值
[99:30] 同时我们因
[99:31] 通过这个获得了影响力
[99:33] 来影响别人
[99:34] 来帮我们训练很好的模型
[99:35] 这样它其实节省了
[99:36] 很多我们内部的
[99:37] 这个research的带宽
[99:38] 我们可以真正去投入一些
[99:39] 非共识或者小众的事情去做
[99:41] 应该是
[99:42] 你们沟通最多的
[99:43] 模型厂商是谁
[99:44] 这个其实都是非常非常均匀的
[99:45] 因为我觉得
[99:46] 现在不同的模型厂商之间
[99:47] 其实是比较分化的
[99:48] 我不是说他们
[99:49] 他们这个
[99:50] 这个叫什么
[99:51] 这个技术路线的分化
[99:52] 应该说他们关注的点
[99:53] 是很分化的
[99:54] 这可能也是一个
[99:55] 被动的选择
[99:56] 就比如说你要讨论
[99:57] 真正的这个agent coding
[99:59] 我不是说竞赛编程
[100:00] 就是这种偏现实工程的
[100:02] 多轮的编程
[100:03] 那确实Anthropic
[100:04] 还是最好的
[100:05] 包括那个其实Open 4.5
[100:06] 我觉得可能很多人
[100:07] 对它有点低估了
[100:08] 这个我觉得是一个
[100:09] 非常大的一眼见
[100:10] 就是Anthropic
[100:11] 他们在coding方面
[100:12] 是非常领先的
[100:13] 然后像Gemini
[100:14] 很明显它的多模态领域
[100:15] 尤其多模态的理解
[100:16] 就是多模态输入方面
[100:18] 是非常非常非常强的
[100:19] 是一个断层级别的强
[100:20] 而且Google又有一些
[100:21] 比较独有的资源
[100:22] 比如说通过Gemini
[100:24] 可能是你唯一的
[100:25] 能够使用到Google的
[100:26] 索引的方式
[100:27] 与此同时
[100:28] 如果你想让agent具备
[100:29] 比如视频理解能力
[100:30] 尤其是YouTube的视频的
[100:31] 理解的能力的话
[100:32] 那你一定要选择Gemini
[100:33] 而Open 4.5的话
[100:34] 它在这个reasoning
[100:35] 或者说这种偏纯推理
[100:38] 方面的reasoning的投入
[100:39] 是非常大的
[100:40] 它是有比较强的一个领先
[100:41] 而有的时候你要刷榜的话
[100:43] 其实Open 4.5的模型
[100:44] 是一个很好的选择
[100:45] 然后其实别的这些
[100:46] 像什么Grok呀
[100:47] 还有一些开模型
[100:48] 都各有特色
[100:49] 所以我觉得现在
[100:50] 对我们做应用的人来说
[100:51] 真是很幸福的一个时间点
[100:52] 谁对你们的反馈
[100:54] 改进的最多
[100:55] 我觉得看效率吧
[100:56] 其实目前其实头部的几家
[100:58] 我感觉像Google
[101:00] 就DeepMind跟Anthropic
[101:01] 其实大家的响应
[101:02] 都会非常快
[101:03] 当然就是因为我们
[101:04] 不同的场景
[101:05] 有不同的模型
[101:06] 所以大家就是
[101:07] 在解决的问题的效率
[101:08] 去客观程度上来说
[101:09] 也受限于这个问题的难度
[101:11] 嗯
[101:12] 对
[101:13] 你教会了他们
[101:14] 他们可以反过来
[101:15] 抄你们的产品
[101:16] 但是你们没有那么快
[101:17] 能抄他们的模型
[101:18] 怎么办呢
[101:19] 你们的壁垒是什么
[101:20] 对 我觉得就是快
[101:21] 首先有一点就是
[101:22] 你会发现
[101:23] 比如说一些模型公司
[101:24] 他们偶尔会发布一些
[101:25] research blog
[101:26] 你看我们读到这些
[101:27] blog的时候
[101:28] 心里也是
[101:29] 又开心又无语
[101:30] 因为基本就是
[101:31] 我们之前在讲的这个东西
[101:32] 比如他们直接写成了
[101:33] 一个blog出来
[101:34] 比如说什么Thinking Tool
[101:35] 他们写了一篇blog
[101:36] 像最近那个就是什么
[101:37] 用代码方式调MCP
[101:38] 什么Progressively
[101:39] 什么那个declosure
[101:40] 这个东西
[101:41] 也是我们都一直在
[101:42] 就在的东西
[101:43] 但我觉得这个是没有关系的
[101:44] 因为这个就是一个
[101:45] 竞合关系
[101:46] 而对我们来说
[101:47] 真正的优势是什么
[101:48] 有两点
[101:49] 第一点
[101:50] 因为我们对于不同的场景
[101:51] 使用不同的模型
[101:52] 所以没有关系
[101:53] 我们永远能够为用户提升
[101:55] 提供所有人中
[101:56] 做好的一个体验
[101:57] 这是第一点
[101:58] 第二点是什么呢
[101:59] 就是他们的速度
[102:00] 一旦是垂直整合
[102:01] 其实你一定是
[102:02] 没有我们快的
[102:03] 因为产品方面的
[102:04] 迭代还是太快了
[102:05] 他们成分化的
[102:06] 你们成成综合的
[102:07] 对 是的
[102:08] 所以刚好反过来了
[102:09] 这很有意思
[102:10] 这个很反视觉
[102:11] 是的 是的
[102:12] 如果都直觉的事
[102:13] 我觉得也能帮我们做
[102:14] 为什么会这样
[102:15] 为什么会一个应用公司
[102:16] 开始做一个综合的事情
[102:18] 而有模型公司
[102:19] 变成垂直整合
[102:20] 他们越走越窄
[102:22] 我觉得这就是
[102:23] 这个公司
[102:24] 一开始的根是什么
[102:25] 其实我觉得
[102:26] 我们可以拿OpenAI
[102:27] 作为一个案例吧
[102:28] 就是我刚才一直在讲
[102:29] 我非常尊重OpenAI
[102:30] 它是一个真正
[102:31] 怎么说呢
[102:32] 很尊重bottom-up的
[102:33] 这一点
[102:34] 它是一个模式的人
[102:35] 有很多朋友在OpenAI
[102:36] 就是它是真的能够
[102:37] 通过一小群人的
[102:38] 一个创新
[102:39] 逐渐逐渐往上走
[102:40] 变成一个产品
[102:41] 但实际上我认为
[102:42] 这就是我刚才讲的
[102:43] 那个叫买模型彩票
[102:44] 这件事
[102:45] 你的实现的方式
[102:47] 是基于一个突破
[102:48] 来做一个场景
[102:50] 但是对于我们来说
[102:51] 我们是
[102:52] 所有外部的创新
[102:53] 对我们都是一种养料
[102:54] 都是一种供给
[102:55] 那我们就不用做选择
[102:56] 我们不用买这个
[102:57] 模型大乐透
[102:58] 对 就作为应用公司来说
[103:00] 其实跟模型公司相比
[103:01] 我觉得还有另外一个优势
[103:03] 就是大家
[103:04] 好像觉得就好像
[103:05] 智能的提升
[103:06] 好像不需要用户
[103:07] 这个至少从今年年初
[103:09] 比如DeepSeek
[103:10] R1出来之前
[103:11] 其实DeepSeek
[103:12] 也没有很多的用户
[103:13] 对吧
[103:14] 但是你其实通过
[103:15] 比如RLVR这些方式
[103:16] 你其实能获得一些提升
[103:17] 但我觉得对于agent
[103:18] 这种特别长链路
[103:19] 跟环境相关的场景下
[103:20] 其实用户是非常关键的
[103:21] 但是用户的使用轨迹
[103:23] 以及feedback
[103:24] 是留存于应用层
[103:25] 而不是流动到模型层的
[103:27] 所以其实现在应用公司
[103:28] 有非常独特的数据飞轮
[103:30] 这就是为什么
[103:31] 像Windsurf跟Cursor
[103:32] 他们可以以一个
[103:33] 较低的成本
[103:34] 在一个预训练基座之上
[103:36] 去开发出一个
[103:37] 基本是frontier level
[103:38] 但是成本很低
[103:39] 且专门适配自己的模型
[103:40] 所以我觉得这是未来
[103:41] 可能半年的一个
[103:42] 很重要的一个变化
[103:44] 大家会看见更多的
[103:45] 应用层公司
[103:46] 在利用自己的数据飞轮
[103:47] 变成以模型的形式
[103:49] 来体现出产品
[103:50] 可以持续迭代这件事
[103:51] 你们的用户画像
[103:52] 是什么样的
[103:53] 我们用户画像是这样
[103:54] 就是我刚才讲的
[103:55] 一个最笼统的定义
[103:56] 叫做Prosumer
[103:57] 那可以切几个
[103:58] 比较常见的画像来讲
[103:59] 比如说第一类
[104:03] 就是公司里有
[104:04] 但不是成员的人
[104:05] 比如说广业来说的
[104:06] 就是白领或者是远程工作者
[104:08] 第二类是我们叫做
[104:09] Freelancer或者Solo Entrepreneur
[104:11] 就是美国其实有很多那种
[104:13] 就是独立自己去自负盈亏
[104:15] 你可能在做外包
[104:16] 你可能在做自己有一个
[104:18] 很小的一个生意
[104:20] 这些人他们是一类用户
[104:21] 然后第三类比较大的用户
[104:22] 就是所谓的金融和consulting
[104:24] 就是咨询行业的这些人
[104:25] 我觉得他们都有一个
[104:26] 比较大的共性
[104:27] 就是有比较强的自驱力
[104:29] 且与此同时
[104:30] 他们的任务是高价值的
[104:32] 这个是很好玩的
[104:33] 然后我们发现
[104:34] 其实做agent就很有意思的一点
[104:36] 就是他不是在做工具
[104:37] 至少对于我们来说
[104:38] 如果你做这种通用的agent的话
[104:40] 不是在做工具
[104:41] 你不是在做工具
[104:42] 你其实在做一个类似于人的东西
[104:44] 如果你做的是一个垂直agent
[104:45] 你可能还是在做一种新的工具
[104:47] 但如果你在做一个通用agent
[104:48] 你其实在做一个人
[104:50] 做一个垂直工具
[104:51] 比如说汽车公司就做的是司机
[104:53] 像LoveArt就做的是设计师
[104:55] 对 但是它其实是设计师
[104:57] 用的一个工具
[104:58] 而Netflix作为一个通用agent
[105:00] 我甚至可以用LoveArt
[105:02] 因为
[105:03] Netflix的抽象层级是什么
[105:04] 就是我们在设计说
[105:05] 让agent能使用哪些工具
[105:07] 或者你跟外部交互的边界
[105:08] 是什么时候
[105:09] 我们一直是这样一个类比
[105:10] 就说我是一个人
[105:11] 一个普普通通的人
[105:12] 我能做很多事
[105:13] 是因为我有一个电脑
[105:14] 我跟电脑之间的interface
[105:16] 就是界面是什么
[105:17] 我的右手能够用鼠标
[105:19] 我的左手能够用键盘
[105:20] 我眼睛能看见屏幕上的内容
[105:22] 我的耳朵能听见它的声音
[105:24] 没了
[105:25] 就是一个远程工作者
[105:27] 用这样简单的标准的接口
[105:29] 其实就能完成
[105:30] 几乎无穷无尽的
[105:32] 种类的任务
[105:33] 所以最近我们也看到
[105:34] 一个比较欣喜的结果
[105:35] 就是Scale AI最近发布了
[105:36] 一个新的benchmark
[105:37] 叫RLI
[105:38] 叫Remote Labor Index
[105:40] 叫远程劳动力指标
[105:42] 这个benchmark里
[105:43] 当然了
[105:44] Manis又是Sota
[105:45] 肯定第一名
[105:46] 然后我们战胜了
[105:47] 像Cloud Gemini
[105:48] 所有这些竞争对手
[105:49] 但为什么我们就是非常看重
[105:50] 这个benchmark
[105:51] 因为它的评判标准
[105:52] 是非常有意思的
[105:53] 它的评判标准说
[105:54] 这个AI系统
[105:55] 它完成的工作
[105:56] 能否让一个现实的客户
[105:58] 愿意为之付款
[105:59] 且无法区分是人类
[106:00] 还是一个AI去完成的
[106:02] 然后这个当然就
[106:03] 虽然我们现在是Sota
[106:05] 但实际上我们完成率
[106:06] 只有2.5%
[106:07] 所以其实离100%
[106:08] 还有很远的一个距离
[106:09] 但这块其实
[106:10] 这个benchmark
[106:11] 我们看重的原因
[106:12] 就是它完美契合了
[106:13] 我们想象的这一点
[106:14] 就是对于通用Agent的
[106:15] 衡量指标
[106:16] 就是它能完成多少
[106:17] 远程工作者能够完成的事
[106:19] 因为这个解读空间就很大
[106:21] 我现在可能
[106:22] 虽然只有2.5%
[106:23] 在benchmark上
[106:24] 但是那是不是说
[106:25] 我们也许能够去
[106:26] 让全世界2.5%的GDP
[106:28] 获得加速呢
[106:29] 对吧
[106:30] 所以这是一个很好的一个梦想
[106:31] 而且大家都知道
[106:32] 就是进展仍然是存在
[106:33] 虽然很多人说
[106:34] AI的进展速度好像变慢了
[106:36] 但实际上
[106:37] 我觉得evaluation
[106:38] 是最重要的事
[106:39] 因为它能指引我们去的方向
[106:40] 还是既是test也是方向嘛
[106:42] 所以我觉得也许到了26年
[106:43] 我们乐观一点
[106:44] 可能2.5%
[106:45] 我们能刷到这个20 30
[106:47] 对吧
[106:48] 那这样子其实就能占
[106:49] 相当大的一个
[106:50] 经济生产的一个规模了
[106:51] 你们现在数据飞轮
[106:52] 是什么样的
[106:53] 数据飞轮是这样
[106:54] 就是可以跟chatbot相比
[106:56] 我觉得有讲几个
[106:57] 非常好玩的点
[106:58] 就是如果你在用chatbot的话
[107:00] 当AI输出了
[107:01] 你不满意的东西的时候
[107:02] 你的第一反应可能有两种
[107:03] 第一种是
[107:04] 简单点那个重试键retry
[107:06] 它就重新再输出一个
[107:07] 你就再roll一次
[107:08] 看会不会好一点
[107:09] 或者说
[107:10] 你就直接去改你输入的
[107:11] 那个原始的prompt
[107:13] 但我们发现在agent的场景下
[107:15] 用户他会这样
[107:16] 就是他会教这个agent
[107:18] 我举一个例子
[107:19] 比如说
[107:20] 我让经常让manus
[107:21] 帮我去筛简历
[107:22] 然后呢
[107:23] 他筛出这个标准的
[107:24] 跟我就
[107:25] 我想要的不太一样
[107:26] 我就跟manus说
[107:27] 哎呀你这不对啊
[107:28] 你这个我喜欢的这种
[107:29] 你要注意下次是不是
[107:30] 给我一个sell
[107:31] 或者怎么样的
[107:32] 我一直在教agent
[107:33] 这是教
[107:34] 这是第一种
[107:35] 第二种是什么
[107:36] 就是如果有一些任务
[107:37] 即使不涉及我的个人偏好
[107:38] 但agent很有可能就是做不对
[107:40] 那这时候呢
[107:41] 我会去fix他
[107:42] 我会帮他修
[107:43] 比如说我跟manus说
[107:44] 你这个不对
[107:45] 我已经帮你把这个
[107:46] 这个文件改成了
[107:47] 正确的这个格式
[107:48] 而获得这两个数据
[107:49] 其实是非常非常困难的
[107:51] 以前在插报的时代
[107:52] 而当你有很大的用户量之后
[107:54] 其实你能够进行一件事
[107:55] 就是你可以说大一点
[107:57] 叫做基于collective feedback
[107:58] 做到一种在线学习
[108:00] 当然我很不喜欢在线学习
[108:01] 这个字待会说
[108:02] 但是他其实能达到的一点就是
[108:04] 我们即使不碰模型
[108:05] 其实也能够获得一种
[108:07] 叫做self-evolving的一个能力
[108:09] 当然他parameter free
[108:10] 就是不涉及参数化
[108:11] 但是有更多的用户使用之后
[108:13] 我们能够将更多的通用的
[108:15] 公用的这个failure pattern
[108:17] 就是失败模式
[108:18] 以及用户共识性的东西
[108:19] 变成系统原生的一部分
[108:21] 就变成用整体上来说
[108:22] 用的人越多
[108:23] 我的失败率越低
[108:25] 我完成同样任务的轮次开销越小
[108:27] 这是第一种数据费论
[108:29] 第二种是什么
[108:30] 第二种就是说
[108:31] 我们仍然会拿用户最朴素的反馈
[108:33] 就是打一星到五星
[108:34] 作为一个指导
[108:35] 因为这个东西能回到什么
[108:36] 就是我们刚才讲的evaluation很重要
[108:38] 但实际上agent的自动化evaluation
[108:40] 我认为现在还是非常
[108:41] 就是亟待改善的
[108:42] 因为即使你有一些
[108:44] 这个自动化的
[108:45] auto-verifiable的benchmark
[108:46] 比如我们一开始
[108:47] 就会很关注Gaia
[108:48] Sweepbench这些东西
[108:49] 但实际上我们发现
[108:50] 真的上线之后
[108:51] 我们的在这方面表现好的
[108:54] 架构和模型
[108:55] 其实用户的真实评分不一定高
[108:57] 因为用户关注点
[108:58] 跟你这些理想化的benchmark
[108:59] 还是挺不一样的
[109:01] 比如说用户更关注的是
[109:03] 你做了这个size
[109:04] 你的长宽比是否超过了这个16比9
[109:06] 你这个网站是否是属于
[109:08] 比较易用且好看的
[109:10] 刚讲16比9
[109:11] 你还能可以自动verify对吧
[109:12] 但什么叫网站好用
[109:14] 可易且易用
[109:15] 这东西你很难通过一个
[109:16] 完全自动的reward model去实现
[109:18] 所以我们非常依赖于
[109:19] 用户给的这个直接的反馈
[109:20] 且有一个固定的一个团队
[109:22] 就做evaluation
[109:23] 而且是主观evaluation
[109:25] 所以这块是真正能够
[109:26] 通过用户的反馈
[109:27] 来指导我们迭代的一个方式
[109:29] 这是多少人的团队
[109:30] 我们是这样
[109:31] 我们有一个专门的evaluation团队
[109:32] evaluation团队现在不到10个人
[109:34] 但是他们会同时负责
[109:35] 这个系统的搭建
[109:36] 我们内部有很完善的evaluation体系
[109:38] 以及自动化
[109:39] 且同时我们从产品团队
[109:40] 会有一些比较junior的同事
[109:42] 其实专门就是负责主观evaluation
[109:44] 所以是技术和产品团队一个交集
[109:46] 加起来大概有10多个人
[109:48] 加上不断轮转的很多实习生
[109:50] 你们现在核心关注的几个指标
[109:52] 会是什么呢
[109:53] 我觉得有几个
[109:54] 第一个就是说
[109:55] 我们从interface
[109:56] 就还是刚才讲的这个
[109:57] 界面角度来说
[109:58] 接口层面来说
[109:59] 你可以抽象成几个不同的维度
[110:01] 首先我一直在说coding
[110:02] coding一定是非常重要的一点
[110:03] 虽然manus不是一个coding agent
[110:05] 但其实coding是manus的一个灵魂
[110:07] 所以我们当然对sweepinch
[110:08] 还是非常关注的
[110:09] 但是sweepinch就快被刷包了
[110:11] 然后这是编程的是一个维度
[110:13] 第二点就是manus
[110:14] 虽然没有直接进行computer use
[110:16] 就是说我们不是通过GUI
[110:17] 去完成很多事
[110:18] 但实际上我们用了
[110:19] 很多的browser的use
[110:20] 所以这块我们也会很关注这种
[110:22] 就是GUI的理解能力
[110:24] 这是一个维度
[110:25] 但是这也就是所谓的
[110:26] 多模态输入的一部分
[110:27] 第三个
[110:28] 这一类是什么
[110:29] 就是广义的tool call能力
[110:30] tool call能力是
[110:31] 怎么说
[110:32] 大家非常关注
[110:33] 但实际上到了manus
[110:34] 这个复杂度的并不多
[110:36] 因为manus的复杂度非常高
[110:37] 它有多种不同的action space
[110:39] 它不仅有原生这种
[110:40] function calling的这个function
[110:41] 包括其实你在使用
[110:43] 我们自己自定义的
[110:44] 这版linux发行版本的时候
[110:46] 它其实有很多命令行工具
[110:47] 它不是以模型原生的
[110:49] 这种schema去存在的
[110:50] 而是存在于系统中
[110:51] 就让模型能够基于一些使用文档
[110:55] 来学会使用特定软件的这个能力
[110:57] 这是非常关键的
[110:58] 所以我们从
[110:59] 模型的原子能力的情况下
[111:00] 我们会最关注这三点
[111:02] 但其实还有一些
[111:03] 非常难量化的东西
[111:04] 就是我们刚才讲的
[111:05] 比如说美学性
[111:06] 和对错误的自我意识
[111:09] 这个错误自我意识
[111:10] 其实我觉得也是很重要的
[111:11] 就是它有低
[111:12] 就是低维度和高维度两种
[111:13] 低维度一种就是说
[111:14] 你在看很多benchmark的时候
[111:16] 你能看见的是
[111:17] 无论你是pass i1还是pass ik
[111:19] 你看到的其实都是
[111:20] 模型在one shot的过程中
[111:21] 去完成的一个状态
[111:22] 但很多时候
[111:23] 有的时候模型需要自我意识到
[111:25] 这个错误该怎么修复
[111:26] 当然这是最理想的
[111:27] 更常见就是
[111:28] 有情况是用户先发现了一个错误
[111:30] 并指证它
[111:31] 而如果你是经常AI coding的时候
[111:33] 你可能会有一个很沮丧的体验
[111:35] 就是无论是cloud code还是codex
[111:37] 你发现了一个问题
[111:38] 你让AI修
[111:39] AI说太棒了
[111:40] 我已经完美修复了这个bug
[111:42] 其实它不仅没修好
[111:43] 还引入另一个bug
[111:44] 这个指标是很难去追踪的
[111:45] 因为它可能中间
[111:46] 涉及真人的一个feedback
[111:48] 这是低维度
[111:49] 更高维度的一种
[111:50] 怎么说这种错误是指
[111:52] 它做出了一个能用的东西
[111:54] 但是它无法去很好的去
[111:57] 把这个东西推到下
