[00:01] 为什么你做这件事情比大部分人都早
[59:29] 或者伟大的组织的人
[59:30] 对吧
[59:31] 就像伊朗马斯克或者steve jobs
[59:35] 我觉得很自然
[59:35] 就是
[59:37] 这两个事情很重要
[59:38] 对
[59:40] 离你说的实现这个愿景
[59:42] 我感觉中间还有几个关键的东西要突破的
[59:46] 你比如说长期记忆
[59:48] 你感觉长期记忆是一个短期可以预期突破的问题吗
[59:52] 也许吧
[59:54] 当然也取决于多短期的
[59:56] 但是我觉得我觉得必然会突破的
[59:58] 就是一个事情它足够有价值
[60:01] 总会有突破的
[60:02] 对
[60:03] 如果你对技术乐观的话
[60:05] 对
[60:06] 嗯
[60:06] 这个你要展开讲一讲
[60:08] 这个是从context long context下手
[60:11] 是在模型的架构本身发生一些变化
[60:15] 我不知道我的share多少
[60:16] 但是我的believe是说
[60:19] 我在博客里面提到的就是utility的问题
[60:21] 对吧
[60:21] 就是说为什么我们现在模型的能力推理这么强
[60:26] 考试这么强
[60:27] 玩游戏这么强
[60:29] 但他还没有创造足够的经济价值
[60:30] 我觉得其实可能根本的原因就是他没有这些context
[60:35] 然后在人类社会里面
[60:36] 比较tricky的一点
[60:38] 就是说当然我们写下来很多东西
[60:41] 我们用文字用google doc用notion
[60:43] 我们记录下很多东西
[60:45] 但是有很多context永远只是在人大佬里面
[60:49] 这个基于分布式的这样一个维护的
[60:51] 对吧
[60:52] 就比如说你老板
[60:54] 跟你的一些这个行为习惯啊
[60:55] 或者一些很难用语言总结下来的东西
[60:59] 这些context
[61:01] 他存在人脑海里
[61:02] 人永远没有办法把这些东西全部写下来
[61:05] 这就导致
[61:06] 人是不可或缺的
[61:07] 因为只有人有这种能力
[61:09] 就是说进入这样一个环境
[61:12] 然后去获得这样的一个context
[61:15] 对吧
[61:16] 就是说如果这个问题解决
[61:19] 那我觉得可能有tility问题
[61:23] 就可以很大程度解决
[61:24] 对吧
[61:25] 因为这世界上大多数人并不是这个steve jobs
[61:28] 或者也并不是爱因斯坦
[61:30] 他可能只是一个普通人
[61:31] 他数学推理能力或者whatever也没有欧三强
[61:35] 但是
[61:35] 他能够去managecontext
[61:39] 他比如说他去的这个公司7天之后
[61:41] 他除了这些文字上看到的东西之外
[61:44] 他脑子里面有一些积累下来的context
[61:47] 然后这个context使你比欧三有优势
[61:49] 对吧
[61:49] 因为欧三没有这些context
[61:51] 你有这些context
[61:52] 虽然你没有欧三聪明
[61:53] 但你有这些context
[61:54] 所以你做的比欧三好
[61:56] 对
[61:57] 你刚才还提到一个很关键的
[61:59] 就是模型或者agent要有一个内生的奖励系统
[62:02] 今天是不是好像还没有
[62:04] 那如果要赋予他一个内生的奖励系统
[62:05] 是不是我持续自主学习的过程当中
[62:10] 我就可以改动我的一些模型的权重
[62:13] 那就变得更加的聪明
[62:16] 你感觉离这一步还有多远
[62:18] 我不知道
[62:19] 我觉得会有这一天
[62:21] 但是很难预测什么时候
[62:23] 对
[62:23] 当然就是说当然他自我自我提升的方法
[62:27] 也许是改变自己的权重
[62:29] 也许是有一个基于语言的长期记忆
[62:32] 也许是一个基于embedding
[62:35] 或者其他东西
[62:35] 的长期记忆
[62:37] 但是他会自我提升
[62:40] 但是具体是什么方式什么时候
[62:43] 我觉得这还有不确定性
[62:45] 内生奖励你要奖励吗
[62:47] 就像我刚刚说的
[62:48] 就是说很多创新者对吧
[62:51] 就是他为什么能够在没有外在激励的情况下
[62:54] 去做很多事情
[62:55] 他是有一个自己内在的价值观或者激励
[62:59] 对吧
[62:59] 然后这个事情其实我觉得AI或者neural science
[63:02] 已经研究了很久很多年
[63:05] 从某种程度上来说
[63:07] 婴儿是有这样的一个基于好奇心
[63:11] 或者是自我的reward
[63:14] 对吧
[63:14] 就是你会发现很多婴儿他会玩这些玩具
[63:17] 他会用嘴咬这样一个东西
[63:19] 或者干别的
[63:20] 那你说他获得什么reward了吗
[63:22] 他也没有升职加薪
[63:23] 他也没有获得钱
[63:24] 他没有这些外来激励
[63:25] 他就是好奇对吧
[63:27] 他就是说如果我做这个事情
[63:29] 那我会有什么样的感觉
[63:31] 这个感觉如果是新的
[63:32] 那我对我可以学习对吧
[63:34] 就是
[63:35] 他获得安全感
[63:37] 对就是说好奇心或者掌控感或者安全感
[63:41] 就是有一些这样的内在的motivation
[63:45] 使得他做这些事情对吧
[63:46] 否则的话你很难从一个理性的角度解释
[63:48] 他为什么会做这些事情
[63:50] 对但是很有意思的是
[63:52] 我觉得当人长大之后
[63:54] 他有了一个
[63:56] 就当你是婴儿的时候
[63:57] 你其实是一个基于视觉
[63:59] 基于物理
[64:00] 也基于物理世界的对世界的一个理解
[64:04] 对吧
[64:04] 就是说
[64:05] 你你学习的是怎么把你的这些触觉听觉视觉和你的
[64:10] 运用谷歌的这些各种能力
[64:13] 给给结合起来对吧
[64:15] 但当你长大之后
[64:16] 你有了一个基于语言或者基于推理
[64:19] 或者基于文字的对世界的一个理解
[64:20] 对吧
[64:21] 就这个世界是怎么运作的
[64:22] 我去我怎么才能开一个公司
[64:24] 我怎么才能升职
[64:25] 我怎么才能做各种各样的事情
[64:27] 你在玩的不是一个物理游戏了
[64:28] 而是一个文字游戏
[64:31] 那在这个文字游戏里面
[64:33] 你当然也有这样的内在激励
[64:36] 但好像又很不一样
[64:37] 我觉得这是现在的一个挑战
[64:39] 就是说传统的AI
[64:40] 它比如说你去玩迷宫
[64:42] 或者你去玩一些这个机器人的仿真
[64:46] 它可以定义出来一些
[64:48] 比如基于世界模型
[64:49] 或者基于各种各样人婴儿时候的这些motivation的
[64:53] 这样的内在激励
[64:55] 但当你在玩一个文字游戏的时候
[64:57] 你怎么去做一个内在激励
[64:59] 这似乎又变得很不一样了
[65:00] 对
[65:01] 在你研究Agent的过程中
[65:03] 你有对人不管是思考
[65:05] 还是任何有更深的认知吗
[65:09] 你怎么看人和Agent他们的同与不同
[65:11] 最大的感触就是我意识到
[65:14] 人之所以能见到Light
[65:15] 是因为能推理
[65:16] 我觉得这个可能是最重要的
[65:20] 最重要的这个takeover
[65:21] 然后我觉得这个事情很有意思
[65:23] 因为我我18年的时候在MIT
[65:27] 我在George Stenelbaum的实验室
[65:29] 就是他是一个认知科学的
[65:31] 大佬
[65:32] 然后我学了很多认知科学
[65:34] 然后认知科学或者计算认知科学
[65:36] 它的一个核心的故事
[65:37] 就是说
[65:39] 我应该我们现在这些AI虽然有很多
[65:42] 进展
[65:42] 但是它有很多问题
[65:43] 对吧
[65:44] 然后我们要去看看人是怎么
[65:46] 人有哪些优势
[65:47] 然后人是怎么去做这些事情的
[65:49] 为什么人能
[65:51] 对吧
[65:51] 把这个事情做得更好
[65:52] 比如人能够从几个样本中泛化
[65:55] 但是机器不能
[65:55] 那为什么
[65:56] 我们要从人身上寻找这些方法
[65:58] 然后去把它应用到AI上
[66:01] 那后来我的认知是
[66:05] 你会发现现在work的这些AI系统
[66:08] 它还是会和人很不一样
[66:09] 对吧
[66:10] 就是skilling law或者r或者很多东西
[66:14] 它和人学习方法就是很不一样
[66:17] 那我觉得可能一个更好的从人身上接近的方法是
[66:22] 你去思考人能做什么
[66:26] 而机器现在不能做
[66:28] 这是一个客观的事情
[66:30] 但是
[66:31] 你找到这个问题之后
[66:32] 你可以基于第一性原理去思考怎么去解决这个问题
[66:37] 你不一定要去依赖于人怎么解决这个问题
[66:40] 而解决这个问题
[66:42] 就比如说人我觉得
[66:44] 他现在能做的事情
[66:46] 比如说我能进一家公司
[66:48] 我能够工作7天
[66:50] 或者当个实习生当三个月
[66:52] 然后我能积累这个公司的context
[66:54] 然后我虽然可能不是很聪明
[66:57] 我是一个二本的
[66:58] 或者一本的毕业的学生
[66:59] 但我可以做很多
[67:01] 但是我现在AI做不了的事情
[67:02] 这是个客观存在的事实
[67:05] 怎么解决这个问题
[67:06] 可能认知科学或者神经科学会告诉你
[67:08] 人脑有这样的海马体或者episodic memory
[67:12] 或者有这样的架构那样的东西
[67:15] 但我觉得你可能不需要去完全照抄这样的事情
[67:19] 你可以去从第一性原理设计
[67:21] not memory要怎么设计
[67:24] 所以我觉得从人身上可以借鉴的是
[67:28] 有哪一批人是能做或者机器做的事情
[67:29] 有哪一批人是能做或者机器做的事情
[67:29] 有哪一批人是能做或者机器做的事情
[67:30] 有哪一批人是能做或者机器做的事情
[67:31] 这是一个很robust很客观的事情
[67:34] 但至于人是怎么能做这些事情
[67:38] 以及我们要多少程度上借鉴这样的一个方法
[67:42] 这是一个我觉得更主观或者更noise的问题
[67:45] 因为一方面神经科学或者认知科学
[67:47] 他也没有说100%解决了这些问题
[67:49] 他只是说我提供了这样的猜想
[67:52] 另一方面即使它是一个被confirm的事情
[67:54] 比如说人的视觉其实是个相对被研究得更深刻
[67:59] 或者更透彻的事情
[68:00] 人有6层的这样的cortex
[68:03] 然后它每一层有各种各样的结构
[68:06] 我觉得你可以学到的take away是说
[68:08] 我需要去做这样一个new network
[68:10] 但我必不需要去照抄
[68:11] 就是说它有各种各样的细节
[68:13] 如果在设计agent的时候
[68:15] 需要让他越来越像人吗
[68:17] again我觉得是一个utility problem
[68:20] 我觉得很多问题不像人更有价值
[68:25] 比如下围棋或者I don't know就是开车
[68:28] 可能大多数
[68:30] 可能大多数人开车方向并不好
[68:32] 对吧
[68:32] 可能基于这个规则有更好的开车方式
[68:38] 但有些东西向人更好
[68:40] 你就应该思考怎么去bridge the gap
[68:43] 怎么去填补空缺
[68:45] 对下围棋或者打游戏
[68:47] no我基于r
[68:49] 我可以学到和人不一样
[68:50] 比别人更好的方式
[68:53] 我就不应该向人
[68:54] 但是在一个公司打工
[68:57] 然后和老板搞好关系
[68:58] 然后去
[69:00] 完成各种各样的任务
[69:01] 这个事情人就是比AI现在做得更好
[69:03] 那我们就应该适度更像人
[69:06] 对
[69:08] 你怎么思考人和agent未来的关系
[69:11] 要给agent发身份证吗
[69:14] 我觉得这是一个交互方式的问题
[69:16] 对吧
[69:16] 就是说很有可能
[69:20] 未来有很多agent
[69:22] 但他长得并不像人
[69:23] 或者你和他交互的方式并不像人
[69:25] 他可能是个平台或者是一个
[69:27] 或者是个页面或者是一个游戏
[69:29] 或者是一个别的东西
[69:31] 你可能就不会把他理人化
[69:32] 对吧
[69:33] 但当然我觉得肯定会有很多理人化的
[69:35] 这样的agent
[69:36] 如果agent他有了长期记忆
[69:39] 他是不是就是你的朋友了
[69:41] 他是你的朋友了
[69:42] 人跟agent就平等了
[69:44] 是不是我们就要给他发身份证了
[69:47] 发身份证的目的是什么
[69:50] 他作为一个独立个体
[69:51] 跟我们共存了
[69:53] 我觉得会有可能
[69:56] 很显然一个很有价值的
[69:58] 我觉得这些事情最终还是
[70:00] 会从有体质的出发
[70:02] 对吧
[70:02] 就是说一个事情如果有价值
[70:03] 那他可能就会产生
[70:05] 比如说
[70:07] 那人可能很多人很孤独
[70:08] 他需要一个朋友
[70:10] 那这个技术他能够创造这样一个体验
[70:14] 那理人化就是一个很合理的存在的
[70:17] 未来对吧
[70:18] 但当然他去做一个平台
[70:20] 他去做一个推荐
[70:20] 他去做一个游戏
[70:23] 他可能这个技术会有很多不同的交互方式
[70:25] 让你感觉他不像一个人
[70:26] 或者你根本感觉不到有什么区别
[70:28] 那在这个角度上你不会把他理人化
[70:30] 所以我觉得还是会基于
[70:32] 这个事情的经济价值
[70:34] 你提到经济价值
[70:35] 就是你觉得AI agent跟crypto会有
[70:39] 未来结合的地方吗
[70:40] 你比如说crypto这一套智能合约
[70:43] 跟agent结合
[70:45] 未来一个agent帮我完成了某个任务
[70:47] 他有一个供应的
[70:50] 价值的计量
[70:51] 然后任务完成后
[70:52] 那就按照智能合约的约定
[70:55] 就分配经济利益了
[70:57] 其实这样是有机会探索出来一个叫
[71:00] value based的商业模式的
[71:02] 只是说今天可能咱们还不太能衡量
[71:04] 这个任务的客观供应价值到底多少
[71:07] 对我对crypto了解不多
[71:09] 但是我觉得可能一个核心的问题是
[71:12] 就这个技术的演变
[71:13] 它会变得更中心化还是去中心化
[71:17] 然后我觉得两边都有它的argument对吧
[71:19] 就中心化就是说
[71:20] 那很显然现在这种新的supercompany
[71:23] 比如说openai或者antropic
[71:25] 它有可能比如会变成1 trillion
[71:27] 10 trillion 100 trillion
[71:30] 它会占据绝大多数资源
[71:31] 它会占据绝大多数compute
[71:33] 它能创造superapp或者superplatform
[71:35] 它会有巨大的中心化的优势
[71:38] 那去中心化的argument就是说
[71:41] 我每个人的个体是负能的对吧
[71:43] 就是现在之所以人和人有这么大差距
[71:47] 有各种各样的信息差认知差
[71:49] 各种各样的智能差
[71:52] 如果智能变得非常便宜就像电一样
[71:55] 从某种程度上来说
[71:57] 它也能给大多数人一个负能
[72:00] 对吧
[72:02] 其实我觉得这个事情还是挺有意思的
[72:04] 然后我最近的思考是这样的
[72:06] 就是说我的感觉是人类社会是一个网络
[72:11] 对吧
[72:11] 然后它其实是有两个重要的性质
[72:18] 一个性质是说它的中心化程度
[72:19] 或者说它资源分配的集中性
[72:23] 然后我们发现就是说可能原始社会
[72:25] 它是一个非常平均的
[72:27] 它逐渐随着技术发展
[72:28] 它越来越中心化
[72:30] 或者说你可以说二八定律
[72:31] 或者说马太效应
[72:33] 或者whatever
[72:35] 对吧
[72:36] 但是有另一个维度
[72:39] 就是说你创业成功
[72:43] 或者从一个网络边缘到中心的可能性
[72:49] 或者速度能有多快
[72:52] 我觉得从某种程度上来说
[72:55] 为过去几百年发生的事情是这样的
[72:57] 就是说首先这个网络变得更中心化了
[72:59] 对吧
[73:01] 就是说贫富差距变得更大了
[73:02] 或者二八定律马太效应
[73:05] 但另一方面
[73:06] 其实穷人的或者平民的机会
[73:10] 可能是更多了
[73:11] 对吧
[73:11] 如果在古代比如门阀制度
[73:14] 九品忠贞制
[73:15] 或者欧洲的贵族制度
[73:18] 你可能农民就永远是农民
[73:20] 或者印度的种姓制度
[73:22] 对吧
[73:23] 你有阶级固化
[73:26] 似乎技术发展的趋势是
[73:29] 两者的
[73:29] 都会加剧
[73:30] 对吧
[73:30] 就是说一方面中心化会加剧
[73:33] 因为效率是一个就根本性的原因
[73:36] 但另一方面可能创造新的东西的机会
[73:41] 起码目前为止还是越来越多了
[73:44] 但是不好说就是说社会是未来的趋势
[73:48] 对吧
[73:49] 有可能就还是会延续这样的趋势
[73:51] 但是也不一定
[73:53] 你在你的博文里面提到open-end的几次尝试
[73:55] 我觉得很有意思
[73:56] 最初的计划是构建GIMP
[73:58] 一个用于各种游戏的方式
[73:59] 用于各种游戏的标准
[74:00] 强化学习的环境
[74:01] 然后是world of base和universe的项目
[74:05] 但这也没有奏效
[74:06] 直到GPT-2和GPT-3出现了
[74:08] 才发现缺失的是经验知识
[74:10] 这个过程
[74:11] 这open-end的几次尝试能不能给我们详细讲一讲
[74:14] 这也是一个探索的过程
[74:16] 这是我自己的总结和揣测
[74:19] 对不代表
[74:20] 我觉得open-end是一个非常
[74:23] 是个比较bottom-up的公司
[74:24] 它是一个
[74:26] 它最初的可能
[74:29] 七八年就是像是一个research lab
[74:31] 对吧
[74:31] 有各种各样的想法
[74:32] 然后有各种各样的尝试
[74:34] 可能每个人想法都是不一样的
[74:37] 但是客观上来说
[74:39] 一开始大家是focus on强化学习的
[74:43] 因为当时最火的事情就是这个
[74:45] 对吧
[74:45] DeepMind它
[74:48] 就可能15年刚成立的时候
[74:50] 当时AI最火的公司是DeepMind
[74:54] DeepMind最成功的东西就是强化学习
[74:57] 然后
[74:59] GPT之前可能AlphaGo就是最成功的AI项目
[75:01] 对吧
[75:03] 很自然的你要去做强化学习
[75:06] 然后你只有有个different bet
[75:09] 你才能够超越之前的霸主
[75:12] 对吧
[75:12] 就是说我觉得如果open-end一直做强化学习
[75:16] 可能也很难超过DeepMind
[75:18] 其实你做的很好
[75:19] 或者有些任务你做的比DeepMind更好
[75:22] 但是讲强化学习
[75:23] 大家只会想起来DeepMind
[75:25] 所以从某种程度来说
[75:27] 你想要超越之前的
[75:28] 这个霸主
[75:29] 你就要有个different bet
[75:30] 然后turns out
[75:31] GPT是这样的
[75:32] 一个different bet
[75:34] 然后
[75:37] 但当然这个事情其实还是一个很非共识的事情
[75:39] 就是我可以讲一个故事
[75:42] 我导师他是GPT-1的第二作者
[75:46] 对
[75:46] 然后他在open-end待了一年
[75:49] 然后去普林当教授了
[75:51] 然后他当时对这个事情就有点怀疑
[75:54] 他说当时结果也不是特别好
[75:56] 对吧
[75:56] 就是那些榜单上
[75:58] 那也不是
[75:59] 分数最高的
[75:59] 然后你划了很多卡或者做这个东西
[76:04] 然后当时其实也有skilling law
[76:08] 17年刚出来
[76:09] 然后Illia就跟我导师说
[76:13] 就Carthic你看这个预言已经被我们解决了
[76:16] 现在我们只需要skill up
[76:17] 就这个东西就结束了
[76:20] 但即使你是在open-end
[76:22] 即使你在这个环境
[76:23] 即使你是GPT的作者
[76:25] 你可能还是没有形成共识
[76:27] 对吧
[76:27] 所以这个事情
[76:29] 我觉得就是说你做了一个非常当时反共识的事情
[76:33] 当然现在这个事情已经是共识了
[76:35] 那我觉得你需要去寻找下一个反共识的事情
[76:39] 也许
[76:40] 刚才你导师说的那个话之后
[76:42] 有人有feedback吗
[76:44] 我说实话
[76:45] 可能当时open-end可能
[76:47] 绝大多数人也不认为skill up GPT是最好的方向
[76:51] 或者说是最promising的方向
[76:52] 我觉得这个是有可能的
[76:54] 每个人都在做不同的事情
[76:55] 对吧
[76:55] 有些人在做robotics
[76:56] 有些人在做这个或者那个
[76:59] 我觉得可能伊利亚最大的贡献
[77:01] 虽然他不是做GPT-1或者做这些具体技术的人
[77:06] 但他是号召我们要all-in这个方向的人
[77:10] 我觉得从不实诚的来说
[77:13] Daryl也是
[77:14] 他最大的贡献也不是说我提出某个具体的技术
[77:16] 而是说我作为一个创业公司
[77:18] 我敢赌
[77:19] 就是说我敢赌就这一个事情
[77:20] 然后我把钱都砸进去了
[77:22] 所以有人愿意去做GPT-3是特别关键的
[77:26] 像Daryl也好
[77:27] Tom Brown也好
[77:28] 他们敢于把GPT-3做出来
[77:30] 其实让人看到了更大的希望
[77:32] 散化了
[77:34] 对
[77:35] 当然这个事情的好处就是说
[77:37] 你并不需要所有人搭上共识
[77:39] 对吧
[77:39] 你只要有足够多人搭上共识
[77:40] 你就可以做这个事情
[77:41] 你觉得接下来几年中
[77:44] 还会有更多的GPT-3的moment
[77:47] 我觉得会有新的skilling dimension出现
[77:50] 对吧
[77:51] 就是说如果你有long term memory
[77:53] 那你的test time computer会有一种新的方式
[77:56] skill
[77:57] 如果你有了multi agent
[77:58] 那你的test
[77:58] time computer又有另一个新的维度去skill
[78:01] 我觉得会有新的skill的dimension出现
[78:07] 但是当你有很多skill dimension之后
[78:10] 怎么去选择
[78:11] 怎么去基于某一个应用去选择
[78:17] 这不同skill的比重
[78:18] 我觉得会是一个很有意思的问题
[78:20] 对
[78:21] 刚才那个问题就是内部之前没有形成共识
[78:24] 后来强化学习在什么时候变得特别重要
[78:27] 对于open high内部来说
[78:28] 我觉得强化学习一直都很重要
[78:31] 就是说即使说在做GPT的时候
[78:34] 就江淑曼他们还是在
[78:35] 就还是会有人在做RL
[78:37] 它并不是一个说我做GPT之后
[78:39] 我就把RL全部扔掉的事情
[78:41] 而是可能说我公司80%或者70%的资源做这个事情
[78:45] 然后我其他一些别的东西还在做
[78:47] 然后我觉得这个事情其实也很重要的
[78:49] 对吧
[78:49] 因为后来证明就是说拆GPT的成功
[78:53] RL也是很重要的
[78:54] 就是如果没有RHF没有这些alignment的技术
[78:58] 那它也没有办法形成一个产品
[79:01] 所以历史并不是说我走了这条路
[79:03] 然后我把这条路彻底抛弃
[79:05] 走了另一条路
[79:06] 然后我再返回来再走另一条路
[79:08] 而是跟个soft对吧
[79:10] 就是说我在做很多事情
[79:12] 然后这个事情很promising
[79:15] 所以我把它下了更大的赌注
[79:18] 但有些其他东西我还在接着做
[79:20] 你有一句非常high level的总结
[79:22] 就是语言通过智能体中的推理实现了泛化
[79:25] 它的泛化是一个已经被证实的事情
[79:27] 还是还是一种推理的方法吗?
[79:28] 回忆段
[79:29] 就是说为什么
[79:31] 为什么语言非常独特或者非常好
[79:36] 因为它是人和人
[79:41] 或者说人在这个世界上
[79:43] 完成各种各样事情的一个工具
[79:46] 就它就你从我身上说
[79:47] 语言也是一个人类发明的工具
[79:49] 就像火或者像像饼一样
[79:52] 但它之所以特殊
[79:53] 就是因为它是一个帮助你解决任何事情的
[79:57] 一个有通用或者泛化性的工具
[80:03] 当你学会了这门工具之后
[80:06] 你就可以去做很多新的任务
[80:09] 比如你学会了攀岩对吧
[80:10] 但它可能不能帮你去做很多新的任务
[80:13] 但你学会了语言之后
[80:14] 它几乎总是能帮你去做新的任务
[80:16] 因为你可以和人交流
[80:17] 可以学习
[80:17] 可以去思考
[80:19] 可以去推理
[80:21] 从某种程度上来说
[80:25] 20年以前
[80:26] 大家很多时候
[80:27] 没有把这事情想清楚
[80:28] 就大家认为我们有语音
[80:31] 有文字
[80:31] 有图像
[80:32] 有视频
[80:33] 有这些东西
[80:34] 它其实都是一些
[80:36] 它其实都是一些数据对吧
[80:38] 但那可能也没有什么区别
[80:41] 我觉得可能最大的区别就是说
[80:46] 语言是一个人为了实现泛化
[80:49] 而发明出来的一个工具
[80:53] 然后这个事情比其他东西更本质
[80:55] 这说的是语言的
[80:57] 反话能力
[80:58] 强化学习终于具备了泛话能力
[80:59] 它是一种推断还是一种结论
[81:03] 我觉得可以说是我个人观点
[81:05] 但是我觉得其实有很多人在讨论这个事情
[81:10] 泛话与否当然是一个spatrum
[81:13] 它是一个相对的东西
[81:16] 对吧
[81:16] 就是不是一个0和1的绝对的事情
[81:20] 但是我觉得我之所以这么说
[81:22] 是因为在此之前
[81:25] 如果你去在一个环境上训练
[81:27] 你只能做这一个环境
[81:28] 但是现在你在一个环境上训练
[81:31] 你可以去做更多环境
[81:32] 我觉得这是最本质的区别
[81:33] 你可以deep think
[81:36] 就是说你可以在
[81:37] 大家说他的这个比较有意思的结果
[81:41] 就是说你在math和coding上做的
[81:43] 但你可能在创意写作上也变得更强
[81:45] 我觉得这个是一个本质的区别
[81:48] alpha go它只能下围棋
[81:50] 它不能下象棋
[81:51] 但是你现在比如你学了数学
[81:53] 你可以去做创意写作
[81:54] 我觉得这是一个本质的区别
[81:57] 你觉得你训练打这一类游戏强了
[82:01] 它可以泛化到打其他游戏都很强吗
[82:04] 你比如说打dota很强了
[82:06] 它是不是打所有的游戏都很强
[82:08] 我觉得不好说
[82:10] 对吧
[82:10] 就是说即使是推理
[82:13] 它在不同环境下
[82:15] 它的泛化可能也不一样
[82:17] 比如说可能这些基于逻辑的推理
[82:19] 它可能从数学到coding的潜移会更容易
[82:22] 然后基于比如人情世故的
[82:24] 推理
[82:24] 它可能在另一些task上潜移的更好
[82:29] 但我觉得可能重要的事情是说
[82:31] 你现在终于有一个可能的single model
[82:36] 可以去做所有task
[82:37] 之前我们认为这个事情是不太可能的
[82:41] 但我觉得现在是有可能的
[82:43] 就是说你可以同时在很多
[82:45] 所以你可以在很多不同的任务上去做
[82:47] rl
[82:48] 并且它能够去transfer到更多任务
[82:50] 但当然就是说你如果只考虑task和task之间
[82:54] 那它肯定
[82:54] 潜移的程度是和它的task的性质有关系
[82:58] 代码和数学之所以能容易泛化
[83:01] 你有想过背后的原因吗
[83:04] 是因为它没有思考过程吗
[83:06] 我觉得只是因为它是最早开始做的事情了
[83:10] 而它最早开始做是因为它比较简单
[83:13] 就是说它有一个很好的reward
[83:14] 然后它不需要一个环境
[83:17] 它就是reasoning
[83:18] 现在来看可能很多其他事情也是可以泛化的
[83:21] 只是我们一开始做的是这个事情
[83:23] 所以
[83:24] 对这些事情讨论比较多
[83:25] 有一个agent的创业者想问你
[83:28] agent如何skill up
[83:29] 因为现在的瓶颈主要是算力
[83:31] agent token用量非常的可怕
[83:33] 单个用户的消耗可能是chatbot的500到1000倍
[83:36] 再叠加几百万用户
[83:38] 所以你觉得agent怎么skill up
[83:41] 我觉得可能最重要的点是要找到一个好的应用
[83:45] 对吧
[83:45] 就是说我觉得cost本身不是问题
[83:48] 问题是你的cost不justify你的performance
[83:50] 或者你的value
[83:52] 如果这个很有value的事情
[83:54] 我花了500刀
[83:55] 但我可以给我赚1000刀
[83:56] 那that's not a problem
[83:58] 它不是一个问题
[83:59] 我觉得可能现在来说最重要的事情是找到有价值的应用
[84:03] 然后cost我觉得总会降低的
[84:05] 对吧
[84:06] 就是模型的能力会提升
[84:08] cost会降低
[84:10] 但是找到好的应用
[84:13] 有价值的应用是最本质的
[84:15] 当然不同的应用就是说你去做的方式可能也不一样
[84:21] 对吧
[84:21] 就是可能你去做一些简单的任务
[84:23] 那我可以去做一些简单的任务
[84:23] 那我可以去做一些简单的任务
[84:23] 那我可以去做一些简单的任务
[84:24] 那我可以去做一些简单的任务
[84:24] 我可以去训练模型
[84:25] 我去做一个小模型
[84:26] 我可以让它更快更便宜
[84:32] 更针对这个task
[84:34] 那我如果做一个像更难的
[84:37] 比如我去做投资
[84:39] 或者去做deep research
[84:40] 那我可能需要一个大的model
[84:43] 那我可能有不同的方法去平衡cost和value
[84:47] 但是我觉得最重要的事情是先找到一个东西有value
[84:50] 那这个事情找到之后cost总会有办法下降
[84:54] 对吧
[84:54] 对吧
[84:54] 对吧
[84:55] 你感觉agent的创业者
[84:57] 他的背景里头一定要有research出身的人吗
[85:01] researcher
[85:02] 这个有什么优势或劣势吗
[85:04] 我觉得不好说
[85:04] 我觉得还是挺看人的
[85:06] 就是我觉得很难把人分成researcher和非researcher两类
[85:09] 然后这两类有很强的区别
[85:12] 我觉得人和人之间还是区别很大
[85:14] 然后我觉得可能最重要一点还是找到这个value
[85:19] 就大家把它称为product market fit
[85:21] 或者称为产品的sense
[85:24] 或者什么都好
[85:25] 我觉得找到这个value是最重要的
[85:28] 就是基础只是一个手段
[85:29] 目前来说
[85:30] 对吧
[85:30] 最重要的是你解决问题
[85:32] 找到好的问题
[85:33] 然后可能反而你有很强的research背景
[85:38] 或者自然语言处理
[85:40] 或者别的这些背景反而是个坏事
[85:42] 因为你会太执念于这个技术
[85:44] 你会拿着锤子去找钉子
[85:46] 对吧
[85:46] 现在来看最成功的这些应用
[85:51] 创业者似乎都不是
[85:54] 比如说做nlp或者ai的东西
[85:59] 我感觉
[86:00] 比如cursor他是4个本科生
[86:01] 然后当然professor好像创业者是一个researcher
[86:06] 对吧
[86:07] 我觉得这还是挺看人的
[86:08] 和你们做过research可能关系没有那么强相关
[86:12] 你怎么看minus james park这些产品和他们的foundry
[86:17] 我试过minus
[86:18] 但我还没有试过james park
[86:21] 对我觉得minus还是挺有意思的
[86:23] 对
[86:24] 还是给我一些启发
[86:26] 我觉得他们产品sense很好
[86:28] 他们有打磨产品的基因
[86:32] 我觉得对
[86:33] 这个产品应该是openai的主线上的产品
[86:35] You will see
[86:38] 我记得minus我再讲一点
[86:40] 就是说我觉得很有意思一点
[86:44] 是说传统上大家认为发生的事情
[86:48] 是比如我大厂先做出来一个东西
[86:51] 然后创业公司
[86:54] 就可以开始抄
[86:55] 对吧
[86:55] 比如说我做出来拆gbt
[86:56] 那我可以去抄拆gbt
[86:58] 或者去做一个类似的事情
[86:59] 但现在来看似乎反过来是也是可以成立的
[87:03] 就是说可以先小厂做一个事情
[87:06] 他创造出来一个交互的创新或者产品的创新
[87:10] 那做模型的公司也可以去借鉴或者应用
[87:14] 对吧
[87:15] 我觉得这点还是挺有意思的
[87:18] 就是说很多时候大家会说比如模型做得越来越好了
[87:23] 感觉就是给创业公司做嫁衣了
[87:26] 对吧
[87:26] 因为你创造很好的模型
[87:28] 你如果没有自己运用特别好的话
[87:31] 那这些创业公司就已经用好了
[87:33] 但可以反过来说
[87:35] 比如如果你创造了一个非常好的交互方式
