[00:06] 然后我们这里可以看一下DeepSeek R1的paper
[00:09] 它的标题叫做
[83:44] 那么这样子我们可能肯定会期望这个模型
[83:46] 他推理也比较懂
[83:48] 同时这样子通用的任务也不会落下
[83:51] 然后我们可以看最后这段就是
[83:53] 就是对所有场景进行强化学习
[83:57] 在这样子
[83:57] 我们得到了一个就是比较通才的会推理
[84:01] 同时也在通用任务上不错的模型之后
[84:04] 我们对他进行最后一轮的强化学习调优
[84:07] 这个强化学习调优
[84:09] 其实就是你可以认为有点类似于把正常的RHF
[84:12] 跟R1的这种强化学习混在一起做
[84:15] 就是说按他的说法是说对于推理的数据
[84:19] 对于推理的那些任务
[84:20] 我们还像R1一样
[84:21] 就是我们有这样子的就是
[84:23] 我们有这样子用这样子的基于规则的ground truth reward
[84:28] 然后对于这样子的非推理的那些任务
[84:32] 更加通用那些通用任务的话
[84:34] 我们就直接用reward model来进行
[84:37] 然后通过这样的过程
[84:39] 他们最后得到Deep-seek R1的最后商用以及落地的模型
[84:44] 像这样子就是同时发布两个模型
[84:47] 一个跟偏技术向一个跟偏工程向
[84:49] 常见嘛在
[84:50] 就是在技术报告发布上面
[84:53] 我觉得很不常见
[84:55] 就之前基本没见过这样子的
[84:57] 对
[84:58] 然后可能是确实大家我参考了他们研究员
[85:01] 也就是R1-0这个就是事情
[85:03] 因为可能他们自己也能意识
[85:06] 就是R1-0这个趣事非常非常的有意思
[85:08] 而且有非常就是整个技术突破非常好玩
[85:12] 所以说愿意花很大的篇幅
[85:14] 先讲R1-0同时把R1-0也当做一个模型
[85:18] 也放也公开开源
[85:20] 就是如果不选择这种方法的话
[85:24] 它可以只开源R1对吧
[85:26] 但是你就隐藏了R1-0的这个部分
[85:28] 了解
[85:30] 我知道
[85:30] 您的意思说就是他们可以就是开源的时候
[85:32] 只选择开源R1
[85:34] 我不太清楚
[85:35] 因为R1-0其实大家就是后面用的人
[85:38] 我很久没有看到有人在实际在用R1-0
[85:41] 因为他确实没有说像这样的一套工程打法下那么好用
[85:45] 可能我觉得一个可能就是Deep-seek
[85:47] 他们想把自己的开源文化贯彻到底
[85:49] 第二可能是
[85:50] 他们也都觉得这R1-0是个非常重要的发现
[85:53] 觉得发出来会比较好
[85:54] 对
[85:55] 你觉得他为什么叫R1-0
[85:57] 因为这0这个词其实是有一些渊源的
[85:59] 就是这可能跟之前就是AlphaGo以及AlphaGo-0有关
[86:03] 就是我们可以先说AlphaGo跟AlphaGo-0
[86:05] 大概是做了什么
[86:07] 其实它有点就R1跟R1-0
[86:09] 但是顺序是反的
[86:10] 就是AlphaGo是先出来
[86:11] 然后出了AlphaGo-0
[86:13] AlphaGo是说这个它这个下围棋的一个
[86:16] 就是第一个就是世界级的下围棋的一个AI
[86:19] 能下围棋的AI
[86:21] 它的做法是说我现在在整个网上的超级大量的
[86:26] 就是人类的对局中学习
[86:28] 然后在进行强化学习的条由
[86:32] 所以说它是依赖于人的鲜艳知识的
[86:35] 然后AlphaGo-0它的说法
[86:38] 或者说后面的另一个版本叫AlphaGo-0
[86:40] AlphaGo-0是在围棋中
[86:42] 你不借助任何人类的鲜艳知识
[86:44] 直接从零开始就给你一盘棋和一个奖励函数
[86:47] 你从零开始学棋
[86:49] 然后
[86:49] 看能学出什么
[86:50] 这是AlphaGo-0
[86:52] AlphaGo-0是说给任何一个棋局
[86:54] 我都可以这么做
[86:54] 不只是围棋
[86:55] 任何一个棋都可以
[86:56] 这就是AlphaGo-0跟AlphaGo-0
[87:00] 这里的主要区别是说
[87:01] 他们完全不依赖人类的鲜艳知识
[87:04] 就可以学到各种事情
[87:06] 同时他们证明说
[87:07] 这样的0模型
[87:09] 修炼后的上限是高过AlphaGo-0的
[87:12] 同时能够有各种所谓的神之一手吧
[87:15] 对
[87:15] 然后在这里的R1跟R1-0的话
[87:17] 其实就是
[87:18] 其实它
[87:19] 它还没有那么0
[87:20] 因为它是经过大量的互联网的预训练的
[87:24] 但是它没有
[87:25] 但是它不像R1一样
[87:26] 就是经过了所谓的
[87:27] 就是这样子各种思维模式的能启动
[87:32] 它是直接进行强化学习
[87:36] 学出了各种这样子的思维模式
[87:39] 在这个程度上
[87:40] 它依赖更少的人类鲜艳
[87:42] 所以说你可以称它为0
[87:44] 不过目前的话
[87:45] 它还没有展示出R1-0
[87:47] 比R1的效果更好的这一面
[87:49] 说不定后面会有
[87:50] 这个大家也都说不准
[87:51] 对
[87:52] 没有R1肌肉就没有R1-0吧
[87:54] 因为R1是基于R1肌肉的调优
[87:57] 这个其实不太清楚
[87:59] 就是K1.5
[88:00] 其实你可以看到
[88:01] K1.5就是完全类似于R1
[88:03] 他们可能没有做出R1肌肉
[88:04] 但是也可以做K1.5
[88:05] 就是说大家其实知道一个
[88:08] 就是因为最近有些同期工作
[88:09] 就是大家知道的一定能够
[88:11] 就是能一定能做出效果的方法是说
[88:13] 我先用这种长思维链能启动
[88:16] 然后再进行强化学习
[88:17] 它就能够
[88:18] 至少在很大程度上
[88:20] 复现O1这样子的效果
[88:21] 这个都是带在已知的一些信息
[88:25] 然后同时也是就是最保险的技术路线
[88:27] 然后同时大家可以看
[88:28] 现在上线来看
[88:29] 也是现在最高的上线最高的方法
[88:32] 但是R1肌肉其实算是个
[88:34] 比较出乎意料的创新
[88:35] 就是说你可以不用这样的思维链
[88:37] 进行能启动
[88:37] 也可以达到类似的效果
[88:40] 同时它也更贴近于
[88:41] OpenAI自己Blog中描述的
[88:43] 就是这样子的一些思维模式
[88:45] 是涌现出来的
[88:46] 而不是人教的
[88:48] 那我们就接下来看一下最后一段
[88:51] 就是它进行的这些对小模型的蒸馏实验
[88:54] 好的
[88:58] 然后在这里的话
[88:59] 我们可以看到2.4
[89:00] 它这里的这段叫做蒸馏
[89:02] 让小模型也拥有推理能力
[89:05] 然后在这点的话
[89:07] 其实对整个事情
[89:08] 它还是挺造福社区的
[89:09] 因为它的一口气从1.5币
[89:12] 一点点1.5币
[89:13] 3币7币
[89:15] 一点点的一直开到了70币
[89:16] 一系列的推理模型
[89:17] 而且性能都相当漂亮
[89:19] 现在有很多就是开源社区的人
[89:21] 都在玩它们
[89:22] 然后在这里的话
[89:23] 其实我们可以看到事情说
[89:25] 它的作用性非常简单
[89:27] 我们上一步在R1中提到说
[89:28] 它通过推理的专家模型
[89:30] 以及非推理的就是DeepSeek V3
[89:32] 这两个模型
[89:33] 它都得到了80万的
[89:35] 这样子的就是非常高质量的数据
[89:38] 然后在这里面它做实验非常简单
[89:41] 它用这些高质量的数据
[89:43] 蒸馏一系列的模型
[89:45] 包括千万包括Lama
[89:47] 然后看一下它蒸馏之后效果表现如何
[89:51] 然后我们可以简单看一下Leaderboard
[89:54] 它的表现效果相当好
[89:56] 然后就是我们都可以
[89:59] 就是比如说它的1.5币的性能
[90:01] 在比如它这里的就是用R1的
[90:04] 这80万数据蒸馏的千万1.5币
[90:06] 它在AIME上的性能
[90:08] 已经比就是GPT-4O
[90:10] 或者说CloudSonic这样子
[90:12] 就是前沿模型还要高
[90:14] 可能10到20个百分点
[90:16] 非常夸张
[90:17] 包括说它在Math或者这样一些
[90:19] 就是大家标准这些
[90:21] 就是榜单上面表现都超出传统
[90:23] 这种聊天机器人模型相当多
[90:26] 所以说蒸馏非常成功
[90:27] 哪怕是1.5币的模型
[90:28] 你也能让它有通过
[90:30] 通过推理的方式
[90:31] 获得非常好的性能提升
[90:33] 然后另一个我们可以关注的数据点
[90:35] 是它这里的就是通过R1蒸馏的千万32币
[90:39] 以及千万32币ZERO
[90:41] 以及千万的QWQ
[90:43] 这里我们一点点讲
[90:47] 对我们这里可以看一下主要的4.1
[90:50] 这个4.1里面的table6
[90:52] 有个非常有意思的表
[90:53] 它对比的就是我们刚刚上述的三个模型
[90:56] 让我们来理一下这是什么
[90:58] 第一个模型叫DeepSickR1ZERO千万32币
[91:01] 这是什么
[91:01] 就是说我们通过R1ZERO的方式
[91:04] 让模型自己就是自己探索出这样子的
[91:07] 就是推理的模板
[91:09] 然后这样子训练出来的一个千万32币的推理模型
[91:13] 这是我们的样板一
[91:15] 然后样板二是我们从先用R1
[91:18] 这样一个600多币的MOE
[91:20] 这样一个超强的老师
[91:22] 学出来这样子的模型
[91:23] 这样子的推理模型
[91:24] 然后用蒸馏的方式蒸到千万32币上
[91:27] 然后看一下它的效果
[91:28] 然后我们这里可以看到的事情是
[91:30] 通过R1蒸馏方式的
[91:33] 得到的模型效果远超过千万32币ZERO
[91:38] 这一总结下可以说的事情是
[91:40] 从大模型往小模型蒸馏
[91:43] 很有可能比小模型自己强化学习
[91:46] 学到的东西还要好
[91:48] 这个原因大家可以就是简单理解下
[91:51] 可以这么想
[91:52] 就是说其实这里面
[91:53] 你之所以能学到各样子的
[91:56] 就是这样子的推理的
[91:58] 推理的范式也好
[92:00] 其实主要原因是因为就是你模型能尝试各种解
[92:03] 然后有一次可能试对了
[92:04] 那你就会学会它
[92:05] 你试对了更多好的
[92:06] 那就能学会更多的
[92:08] 然后因为这样子的大模型
[92:10] 它想象比小模型来说
[92:12] 它的性能更好
[92:15] 它更有可能能探索到那些复杂的
[92:17] 或者说一些就是更加有益的
[92:21] 更加复杂
[92:23] 更加有益的这样子的推理模式
[92:25] 它也能够做更好的探索
[92:27] 所以说它的它探索这些东西
[92:29] 会比小模型这样一个更加弱的模型
[92:32] 探索出来的东西更好
[92:33] 那么你探索完了之后
[92:34] 交给小模型可能就比小模型自己
[92:36] 同龄探索好很多
[92:38] 对我觉得这东西从就是直觉上来讲
[92:40] 也是可以讲得通的
[92:42] 然后同时我们可以看一下
[92:43] 有一次的事情是说就是这样子r10
[92:45] 它最后的性能跟千万之前
[92:48] 去年放出的这个qwq32b preview
[92:51] 就是千万自家的这样子的一个推理模型
[92:53] 性能基本上是完全就几乎一致
[92:56] 就也不知道千万自己内部是不是一样的管线呢
[92:59] 还是就大家不同技巧
[93:00] 最后收敛的性能都差不多
[93:02] 还挺有意思的
[93:03] 然后这里我们可能还要就是可以插播一个事情
[93:06] 就是说蒸馏当然是没有问题
[93:08] 但是就是深度求索这篇paper中
[93:10] 他也提到事情说的事情是
[93:13] 就是他们这里只是探索了蒸馏这一个事情
[93:16] 他们发现了在蒸馏之后继续进行强化学习
[93:20] 能够获得更好的性能提升
[93:22] 他们只是没有放出相关的
[93:23] 他们只是没有放出相关的
[93:23] 模型参数而已
[93:25] 对也就是说蒸馏是非常好的一步
[93:27] 但是蒸馏之后能做强化学习
[93:29] 还是可以继续做强化学习
[93:31] 这里你可以理解为说蒸馏之后
[93:33] 他现在是一个非常笨拙的学生
[93:34] 他在学习一个比自己强很多老师
[93:37] 那肯定这里面的很多就是技能啊
[93:39] 或者这个就不是非常的match对吧
[93:41] 因为这个学生可能要
[93:42] 就是要笨拙很多
[93:44] 这个情况下你通过强化学习学生就会自己学会说
[93:47] 哪些东西我该用
[93:48] 哪些东西我不该用
[93:49] 就进一步的打磨自己的这样子的就是
[93:52] 推理模式
[93:53] 这样子就能学得更好
[93:54] 就笨学生努努力还是可以成绩变好
[93:58] 对就是笨学生你也不能只是抄的啊
[94:00] 对吧
[94:01] 你自己再就是也要自己对症下药一下
[94:04] 这样子就能够学得更好
[94:05] 对对对
[94:06] 然后这样我们可以看
[94:07] 就是前段时间就是prime
[94:09] 他们公司
[94:10] 在qwq上做就是sft后再蒸馏的一个
[94:13] 就是小实验
[94:14] 这应该是我在目前能看到的一个就是
[94:17] 比较早就是最新的一个就是蒸馏后强化学习
[94:20] 有提升的这样子一个实验
[94:22] 对吧?
[94:22] 这些线索在这里的话
[94:24] 他们他们设定有点不愿意
[94:25] 因为当时的r1应该还没有出来
[94:28] 所以说他们是在qwq上做的蒸馏
[94:30] 在强化学习
[94:32] 然后我们可以看到的事情是他这里
[94:33] 报告的数据是
[94:36] 好的
[94:36] 实际上就是这个签问模型
[94:37] 他自己的就是签问2.5 mass
[94:40] 这个模型他自己的就是
[94:42] 平均成绩是43.8
[94:44] 如果你做了蒸馏
[94:46] 你可以蒸馏到49的样子
[94:49] 然后如果你在做前面后面
[94:52] 再加一步强化学习
[94:53] 你可以再上升到52
[94:55] 所以他确实是有明显提升的
[94:57] 而且我相信说整个就是
[94:59] 不管是蒸馏也好
[95:00] 或者蒸馏或强化学习也好
[95:02] 大家其实整个汉元社区才刚刚开始摸索
[95:04] 后面有非常非常好
[95:06] 很多很多的效果
[95:07] 其实我完全不会意外
[95:10] 嗯然后这大概是这篇论文讲的主要的点
[95:13] 然后后面深度求走他们还非常好的
[95:15] 放出了一些他们之前的一些失败的尝试
[95:18] 然后同时简单讲一下
[95:20] 他们的就是这些心得体会
[95:21] 我们也可以稍微过一下
[95:22] 对
[95:23] 那这里说的第一个就是过程奖励函数
[95:26] 然后第二个是蒙特卡洛松索
[95:29] 这两个东西深度求索之前都有论文专门做过
[95:32] 一个一个是Math Shaffer
[95:33] 一个是他们的Deep Sea Prover
[95:35] 他们现在真的在这个方向上都深耕过
[95:38] 所以说其实另一个方面可以看就是深度求索
[95:40] 他们能够第一个
[95:42] 比较漂亮的复现
[95:43] 当然就是跟Kimi等其他厂商一起复现
[95:46] 也不是个巧合
[95:47] 他们其实是就是各种方向都试过
[95:50] 然后最后
[95:51] 然后最后发现其实直接做强化学习是通的
[95:55] 然后在这方向投注了
[95:57] 而不是说一个巧合
[95:58] 我们只试了这个
[95:59] 然后做通了
[96:00] 然后在这的话
[96:01] 对
[96:02] 然后其实这里的就是
[96:03] 过程奖励函数
[96:05] 奖励模型
[96:05] 他这里其实没有就是他觉得不行的原因
[96:08] 跟我们当时说的是类似的
[96:10] 一个事情是在这里你要
[96:12] 因为你是过程
[96:12] 你需要标注第一步
[96:14] 第二步
[96:14] 第三步
[96:15] 在这个事情上是非常在特别是在通用的任务上
[96:18] 你很难说哪一个是第一步
[96:20] 哪个是第二步
[96:21] 对吧
[96:21] 比如说我觉得可能一个例子是说
[96:24] 比如你要列一个数式乘法
[96:25] 那你是每一行
[96:26] 数式的每一行是一步吗
[96:28] 还是整个数式是一步
[96:29] 或者这个反正就是在标注中
[96:31] 肯定会带来很大的困难
[96:34] 然后第二个事情是说
[96:35] 就是评估当前这一步对还是不对是困难的
[96:39] 这事情我们之前也提到过
[96:40] 首先就是
[96:41] 就就是哪怕是说我们不考虑这个模型能够毁棋
[96:45] 就是他能说哦
[96:46] 我这不做错了
[96:47] 让我来改一改
[96:48] 这个事情你一步步看
[96:49] 对于标注者来说
[96:50] 也是非常困难
[96:51] 因为你要一步步跟着走
[96:52] 然后当然又毁棋了之后
[96:53] 这事情我觉得就更加模糊了
[96:55] 这个在k1.5中有非常明确的提及过
[96:58] 然后其次是说
[97:01] 说对于这样子的就是过程奖励模型
[97:05] 我们需要训练他
[97:07] 然后他们发现之前有一些就可以自动化训练的
[97:11] 这样子的一些算法
[97:12] 他们的效果并不尽如人意
[97:15] 但是对于人工标注的话
[97:16] 那又太贵了
[97:18] 而且没有办法没有任何拓展性
[97:20] 然后最后一点
[97:22] 可能其实也是比较本质的一点是说
[97:24] 只要你有了这样子的一个就是奖励模型之后
[97:28] 他一定会带来reward hacking
[97:30] 模型就很有可能通过就是压榨欺骗这个奖励函数的方式
[97:36] 或者学到一些奇怪的东西
[97:38] 然后同时离我们实际的目标远去
[97:43] 然后这里做的总结是说
[97:45] 其实P2M在他之前最传统的用处
[97:47] 也就是OpenAI以及一些近期工作展示
[97:50] 他的用处上面其实还是非常好用的
[97:52] 这个用处其实叫做就是Best of them Selection
[97:55] 他具体的任务
[97:57] 他具体的设置是说你给一个模型
[98:00] 他可以比如你让他说
[98:01] 你给他比如一个就是温度等于1
[98:03] 这样子他每次输出结果会不太一样
[98:05] 你让他输出10次100次
[98:07] 然后你挑中间
[98:09] 然后你用这样子一个就是奖励模型
[98:11] 因为奖励模型会给每一个就是输出打分
[98:14] 然后你这样用这样的方式
[98:16] 让他挑出打分最高的那一条作为答案
[98:19] 这个方法
[98:20] 是Verify step by step中就是做的实验
[98:23] 在这个情况下
[98:25] 过程奖励函数仍然是非常好的选择
[98:27] 而且比就是你只告诉他就是
[98:30] 就是Outcome based的奖励函数会好很多
[98:35] 但是
[98:37] 但是在这样子的大规模强化学习中
[98:39] 他们目前并没有发现他有什么作用
[98:42] 然后同时我们一看了就是如果现在
[98:44] 你只用就是这样子的Rule based的规则函数
[98:47] 已经能做通论网站
[98:48] 确实你也没必要给系统
[98:49] 增加这样的复杂性
[98:51] 对这是他关于第一方面的论述
[98:54] 第二方面就是所谓就是蒙特卡洛数搜索
[98:58] MCTS
[99:00] 对MCTS这些东西大家都觉得非常帅
[99:02] 而且也就是很多就是不管是学校也好
[99:05] 或者是各种公司也好
[99:06] 做了很多很多的论文
[99:08] 然后但是当然中间这两样两有不齐
[99:10] 有人觉得有用有人觉得没用
[99:13] 然后这里MCTS的意思其实是这样子
[99:16] 就是说我们给一个任务
[99:18] 他其实是最开始
[99:19] 大发光彩
[99:20] 当然是在AlphaGo跟AlphaZero中
[99:22] 他就是个完全基于MCTS的一个方案
[99:26] 在MCTS中
[99:27] 他的方法是说就是我们对于一个任务
[99:29] 他肯定是一步步走下来的
[99:30] 然后在这样的情况下
[99:31] 我们可以把它切分成一步和每一步
[99:35] 然后在这像一个树一样
[99:36] 就每一步之后他可以比如你现在在这一步
[99:39] 你下面可能有几个决策
[99:40] 你可以往A走
[99:41] 可以往B走
[99:42] 可以往C走
[99:43] MCTS意思就是
[99:45] 他会就是非常刻意的人为的构造这样的树结构
[99:49] 模型走了第一步
[99:50] 走了第二步
[99:51] 走了第三步
[99:52] 然后同时他在每一步的时候
[99:54] 他会可以分叉
[99:55] 所以他可以在这一步就是试多个
[99:58] 多个下一步哪一个好哪个坏
[100:00] 然后同时对于MCTS比较重要的一个事情
[100:03] 叫做value estimation
[100:04] 叫做
[100:05] 这又讲回我们之前说就是这样的价值函数
[100:08] 对吧
[100:08] 就是说他会评估说这一步到底是好是坏
[100:11] 他有没有前途
[100:12] 我们究竟该不该继续走下去
[100:16] 然后这是大概MCTS的几个组成方法
[100:18] 然后他具体的运行起来
[100:19] 就是说你模型会试好几个
[100:21] 比如走一步
[100:22] 然后设计好几个方案
[100:24] 然后对于每几个方案
[100:25] 你可能会用价值函数评估下哪个好
[100:27] 哪个坏
[100:28] 然后你坏的话你可能就不继续了
[100:30] 好的话呢
[100:31] 你就继续加注在上面更多的搜索
[100:33] 往前继续走
[100:34] 然后这样子最后到达答案
[100:36] 这个东西听起来确实是就是非常
[100:38] 因为特别是以前在强化学习
[100:40] 也在围棋这样子的方面做的非常非常的有效
[100:44] 所以大家其实就都会觉得他非常
[100:46] 就是都会在上面做非常多探索
[100:48] 然后在这里
[100:49] 华盛顿球所
[100:50] 他们提到了几个可能影响了
[100:54] 影响了这个方法和拓展性的方法
[100:57] 一个事情是我们现在的方向不像围棋
[101:01] 或者这种棋类运动
[101:02] 就是非常有非常好定义的下一步是什么
[101:04] 就落个子嘛
[101:05] 对吧
[101:05] 然后在这个情况下的话
[101:07] 其实每一因为每一步球学师不语句
[101:10] 跟我们刚刚在那个就是prm里提到
[101:12] 就是每一步难以定义一样
[101:14] 在这里mcts每一步你也是难以定义的
[101:18] 而且同时
[101:19] 我们
[101:19] 现在是一个一个token生成一个一个一个一个词的生成
[101:24] 然后我们整个的搜索空间可能有1万个词左右
[101:28] 这个搜索空间太大了
[101:29] 成本太高了
[101:31] 然后同时你要做减值
[101:33] 就是你不可能这个数
[101:34] 这个数你可以想象他
[101:36] 有1万层每一层可以有就词表可能有1万515万这么大
[101:40] 当然你中间很多都是可以去掉的
[101:43] 但是整个搜索空间相当相当大
[101:45] 然后减值我们若要减值
[101:47] 我们就像这样的奖励函数
[101:49] 但奖励
[101:49] 函数我们今天提到了
[101:50] 他其实可能是非常不稳定
[101:52] 而且难以估计的
[101:53] 训练起来也不太好
[101:54] 训练
[101:56] 然后这里先说其实就深度求考
[101:58] 其实大概讲一下他们的一些比较就是细节的
[102:02] 他们做了怎么样
[102:03] 大概ABCD我们遇到这些困难
[102:05] 我们尝试了怎么怎么解决
[102:07] 然后怎么样
[102:08] 但是后面他们还是发现说训练这样的一个非常很精确的奖励函数是非常非常困难的
[102:15] 尽管说AlphaGo他的成功展示了是在那样的Domain
[102:19] 可以训练出一个非常好的奖励函数
[102:22] 但是我们发现在我们这样的一个通用的语言模型推理场景下难以复现
[102:29] 对这大概就是深度求索
[102:31] 这个DeepSeek R1中整个paper主要的要点
[102:35] 中间的很多东西其实是跟K1.5一曲同工的
[102:39] 我们接下来其实对可以考虑就是看一下K1.5中
[102:42] 他其实带了更多包括数据够数据怎么构造
[102:45] 或者说如果我们真的想用一个奖励模型
[102:49] 而不是一个这样
[102:50] 而
[102:50] 而不是一个这样的一个非常局限的一个就是基于规则的奖励函数该怎么构造
[102:56] 以及一些数据构造之类的一些更多的技术细节
[102:59] 对
[103:01] 所以K1.5的技术细节更多
[103:03] 对的对的
[103:04] K1.5是工程化的细节更多吗
[103:06] 对我觉得是就是如果说要复现的话
[103:09] 我觉得显然就是K1.5中有非常非常多的东西可以学习
[103:13] 对就是大家其实有人说这两篇paper其实可以
[103:16] 融到一篇paper里面一起读其实就是最舒服的
[103:19] 对因为这个paper其实他给了很多就是那种精妙的算法
[103:23] 我觉得可能也是比较出圈的原因之一
[103:26] 就是读起来非常像一个非常就是很优美
[103:29] 非常优美一个算法论文
[103:31] 然后同时给了很多的finding就是这样的发现
[103:34] 但是他技术细节上其实很多东西他并没有像比如V3那么公开
[103:38] 他没有公开自己的算力用了多少
[103:40] 他也没有公开就是比如他的整个超三数怎么调
[103:44] 或者这些的就是很多细节他都隐去了
[103:46] 对其实最后的话我们就来看看这个细节了
[103:49] 我们其实可以做个非常小的一个就是叫做back of envelope calculation
[103:55] 就是说我们可以快速的估算一下整个R1的成本有多高
[103:58] 这里有些线索我们可以参考一下
[104:01] 首先是整个训练用了大概一万步的这样子的强化学习
[104:06] 强化学习然后每一步的话按照传统来讲
[104:09] 比如他们这样的math之类的话一步一般来说大概会就是
[104:14] 让模型是一千个左右的就是回复大概是一千这个量级
[104:19] 就是估算可能目标是希望数量级对
[104:22] 就是他可能每次的后来会有一千这个量级的
[104:24] 生成一千这个量级的就是回复
[104:27] 然后每一个回复的话我们满打满算的话就算他有一万个token
[104:31] 这其实就是他到训练后期才达到了一个就是平均值
[104:34] 那么这样子的话其实他模型总共整个训练步骤中
[104:38] 会生成100个billion个token就是一千亿个token
[104:43] 这个东西有多贵呢其实他也没有特别贵
[104:46] 就算我们就是DeepSeek R1
[104:49] 有API价格
[104:50] 他API的价格是每100万个token卖2.2美金
[104:56] 所以说就算说你直接用他API的价格买这些token
[105:01] 也不过才200也不过才0.2M也就是20万美金出头
[105:08] 然后你考虑到这个价格肯定DeepSeek自己有很大的赚头
[105:12] 然后同时再考虑到说虽然说就是整个模型训练中
[105:16] 这样子的就是这样子的就是Autoric
[105:19] Graphic一步一步token的生成是最大的开销
[105:22] 你同时还会有一些就是
[105:24] 而用强化学习训练策略之类的这样子的模型开销
[105:29] 就是一部分我们一部分我们肯定
[105:32] 极大的高估了这个token的价格
[105:34] 一方面我们就是忽略了一个比较小头的这个模型训练的开销
[105:39] 这样子可能
[105:40] 但这样子就是相对平衡一下
[105:42] 应该数量级不会有错
[105:43] 所以说我们就做的结论是说
[105:45] 这样模型可能训练的成本如果优化的足够好的话
[105:48] 可能就10万美金就够了
[105:49] 如果说出破天可能最多最多也就100万美金
[105:53] 相对之下他们的预训用了600万美金
[105:56] 已经相当便宜
[105:57] 也就是用了可能
[105:58] 不到20%到2%左右的算力
[106:02] 当然你这东西对之前的就是之前训练chabot
[106:06] 那些聊天机器人的0.2之类的
[106:09] 已经有一个数量级的突破了
[106:10] 一到两个数量级的突破了
[106:12] 但是我们也看到这个确实
[106:13] 这条就是这条拓展的就是这条拓展路线仍然在早期
[106:18] 我们
[106:19] 我们完全可以期望他后面用越来越多算力
[106:22] 甚至哪一天超过预训练的算力
[106:25] 然后达到更好的结果
[106:27] 对对对
[106:28] By the way他的现在的成本如果可以降低到10万美金
[106:31] 最高100万美金
[106:32] 他这个是必须要依赖于他的V3吗
[106:36] 你说这就是整个R1的训练一定要依赖于V3是吗
[106:39] 对需要吗
[106:41] 对对就是你需要有一个预训练模型才能进行后训练
[106:44] 对一步一步现在是相辅相成的
[106:46] 那比如说我现在自己没有做运训练
[106:49] 我可以基于V3的模型来做一个强化学习
[106:52] 我能够复现他的结果吗
[106:54] 就如果我不是Deep-Seek的话
[106:56] 对我觉得一定是可以的
[106:57] 就是如果你有相应的数据
[106:59] 你就可以复现成功
[107:01] 对就是现在自己再去做运训练的必要性是不是进一步降低了
[107:07] 因为我们已经有V3这样的模型了
[107:11] 对我觉得可能看就是这公司处于什么样的阶段
[107:13] 就是如果你想真的就是想像深度求索一样说
[107:17] 或者说像Monshell他们一样说
[107:19] 我们的目标就是做通用人工智能
[107:20] 那么显然每个环节你都希望自己把关
[107:23] 但是如果说比如说你有些非常明确的目标
[107:26] 比如说我就想就是训练在某个行业去
[107:29] 就在某一个行业训练一个非常好的推理模型
[107:32] 或者我想训练一个agent
[107:33] 或者说我想训练一个在某个行业表表现的非常好的就是个模型吧
[107:39] 这个情况下其实后训练本身就够了
[107:41] 而且有了V3这么强大的模型
[107:43] 对我觉得就是预训练的重要性
[107:49] 特别是我不好意思我重新组织一下
[107:51] 就是在有了DeepSeek V3这样子非常强的
[107:54] 而且未来可见的可能能长期持续开源推进的模型情况下
[108:00] 自己做预训练的重要性确实降低了
[108:02] 给同样的钱给同样的资源
[108:04] 你做后续训练收益应该会更大一些
[108:09] 但是如果我要追求AGI的话
[108:11] 我还是每一步都需要自己摸一遍
[108:13] 我觉得是的对因为你要做AGI的话
[108:15] 可能比如预训练上面你也会有一些技巧
[108:18] 你想要自己
[108:19] 实行你可能也不希望就是等着就是
[108:21] 另一个厂商自己就是开源赏饭这样子对吧
[108:24] 你可能希望就是整个
[108:26] 整个技术路线全都由你自己把关推进
[108:29] 理解我觉得你说的是对的
[108:32] 但是R1的成本其实它是基于到它V3的投入之上的
[108:36] 所以R1的成本你也不能只算R1的成本
[108:40] 我同意我同意
[108:42] 我理解了好的继续
[108:46] 好了我觉得这大概就是R1这边陪我讲的
[108:49] 然后接下来我们可以就是
[108:51] 就是还是跟刚刚说的一样
[108:52] 就是尽管说是一直是说
[108:54] 剩下球组团队或者说就是R1
[108:56] 那其实就是
[108:57] 提米团就是做的也是相当漂亮
[108:58] 而且就是很多东西一起同工
[109:00] 就一起都带说了
[109:02] 然后在这里我们可以看就是K1.5
[109:04] 他们这边工作里面的很多技术细节
[109:12] 然后这里我们有些就是像就是
[109:15] 类似的东西我们就可以快速的
[109:18] 快速带过一下
[109:19] 包括说就是K1.5它的训练的逻辑
[109:22] 其实更类似于就是R1而不是R1Z
[109:25] 它同样的是
[109:26] 一部分的冷启动数据
[109:28] 也就是冷启动的长四位链数据
[109:30] 来教会模型这些四位模式
[109:33] 然后之后再一步步让模型就是自己探索
[109:35] 自己打磨提高这些模式
[109:37] 然后进行强化学习训练
[109:42] 然后这里其实没有特别
[109:44] 没有特别多的就是细节可以说
[109:48] 我们可以看一下在这里的就是
[109:49] 这样子冷启动数据是怎么构造的
[109:53] 怎么构造是R1里面没有的
[109:56] 对R1里面写的会更加模糊一些
[109:59] 然后K1其实也写的很模糊
[110:01] 但是会稍微好一点点
[110:02] 对对K1这里面其实他说了
[110:05] 他主要说的事情就是说你有几个能力
[110:08] 你很希望覆盖在里面
[110:09] 他们这里面其实加了加粗了
[110:12] 然后可能然后这里面能力
[110:14] 他们其实具体说的是说有这样子的
[110:16] planning就是规划能力
[110:18] 就是模型可能会说先在做事情之前
[110:21] 先自己的先自己写个草图说
