[00:03] Hello 大家好,我是小骏
[00:04] 2026年,大模型战争全面升级,揭开了第二幕
[105:59] 数量情况下的一个比较极限的一个区间
[106:04] 是多少卡
[106:06] 几千卡
[106:07] 反正
[106:08] 训这个模型是几千卡
[106:09] 但实际上我们要投入大量的卡去做研究
[106:13] 所以其实实际上的研究的卡
[106:15] 会是实际训练卡的几倍
[106:18] 训练比如说mimo vrpro或flash
[106:21] 其实各自训练可能几千卡就够了
[106:23] 但实际上你去投入做模型研究的卡
[106:27] 会是这个卡的很多倍
[106:29] 我觉得三到五倍是一个更好的区间
[106:31] 就是不管是你前期的结构的研究
[106:35] 然后中后期的postertrain很多算法上的研究
[106:39] 所以不是说我们拥有几千张卡就足以去做这个事情
[106:44] 而是说至少我觉得在卡的资源和储备上
[106:48] 目前来看
[106:50] 尤其在agent的范式下
[106:53] 其实卡的数量反而变成一个非常重要的瓶颈
[106:57] 因为idea的
[106:59] 单身和动手
[107:03] 你把它代码写出来
[107:05] 太快了
[107:06] 然后你现在卡在什么呢
[107:08] 卡在卡上
[107:09] 因为gpu它的效率就在那
[107:13] 所以你要为了去验这个idea而去跑实验
[107:16] 然后你要并行的起很多实验
[107:18] 所以卡在卡的瓶颈上
[107:20] 所以现在卡反而变成一个更关键的一个制约项
[107:25] 当然这只是for训练
[107:27] 那for推理的话
[107:28] 卡更是一个更关键因素
[107:30] 推理卡的需求量远比训练会更高很多
[107:35] 训练推理和实验最好是几比几
[107:40] 推理看用户数
[107:45] 或者说是看高价值场景消耗的token数
[107:49] 所以很多场景因人而异
[107:52] 所以就把推理展开看
[107:55] 那我如果说我们
[107:57] 这样子来说
[107:59] 就是for研究跟for print train和for post train
[108:04] 我自己觉得一个非常合理的卡的一个比例是
[108:07] 可能3比1比1
[108:09] 对
[108:11] 就print train post train应该比例是
[108:13] 投入的算力是相当的
[108:15] 研究的比例应该至少是
[108:16] 你正式起训练的卡总量的还要多一点
[108:20] 就你要额外留更多的卡来去做研究
[108:23] 过去的预训练和后训练的比例是多少呢
[108:27] 至少在恰到时代应该是一个非常夸张的
[108:31] 比如说3比1 5比1
[108:34] 预训练跟后训练的一个比例
[108:36] 这是今年可能会发生一个很大的变化
[108:39] 应该有很多团队都是1比1了
[108:42] 顶尖的团队应该都是1比1了
[108:45] 训练一个一体的模型挑战是什么
[108:48] 我觉得全方位的挑战吧
[108:50] 基本上是全方位的挑战
[108:52] 就是数据上其实反而不是非常大
[108:59] 最大的一个挑战的原因是
[109:02] 更大模型
[109:04] 貌似对于更脏的数据的容忍程度更高
[109:08] 但是我不确定
[109:12] 因为我们是同一批数据迅走
[109:14] 所以我不确定
[109:15] 我只能说貌似
[109:19] 然后应该更主要挑战是
[109:21] 你在在训练的历程当中
[109:25] 遇到问题的时候
[109:27] 你怎么去
[109:28] 去
[109:29] 我觉得第一步是你要发现问题
[109:32] 对
[109:33] 就比如说很多团队会把loss spike
[109:35] 当做一个很正常的事情
[109:37] 但是我们可能会尽量的让它没有loss spike
[109:41] 我们认为有loss spike
[109:43] 肯定会导致某一步的更新
[109:46] 特别的不稳定
[109:48] 某些数值就异常值很大
[109:51] 就直接把某些参数
[109:52] 或者某些expert给它打死
[109:56] 就是打死就是参数更新过后
[109:58] 再不会有expert送到
[109:59] 再不会有token送到expert上
[110:01] 所以那你中间就有需要很严密的监控的系统
[110:05] 就是你要去洞察这个模型参数内部
[110:08] 到底发生了什么样的变化
[110:10] 你需要一套这样的一个监控系统
[110:12] 比如说你至少要去看看expert的负债怎么样
[110:15] 去看看每一层参数的输入和输出是怎么样
[110:18] 它激活值有没有变得很异常
[110:21] 这些东西是loss spike发生过后
[110:24] 你应该去看的事情
[110:26] 可能不是所有的团队会去看这么细
[110:29] 这是我说的第一步要发现问题
[110:31] 可能好多人就不把它当做一个问题吧
[110:34] 然后发现问题过后你再去想
[110:37] 它到底是什么样的原因引导这样的问题的
[110:41] 比如说有可能是系数比太高了
[110:46] 导致比如说负二层输出
[110:48] 跟塞里温度层的输出
[110:50] 是至少数值上的差异是非常大的
[110:54] 那么这些数值上的差异
[110:56] 很大的差异
[110:57] 就会导致一些数值不稳定
[110:59] 有可能是结构的原因
[111:02] 也有可能纯粹就是infine bug
[111:05] 比如说你哪通信的某个算子写错了
[111:08] 我们最后发现
[111:10] 甚至有可能就是某个long上
[111:14] 反正有点问题
[111:15] 你可能最后实在无奈的一个解决方式是
[111:18] 你发现这一层的数值太大
[111:20] 你要么就给它clip掉
[111:21] 要么就通过long给它压下去
[111:24] 它有非常多解决方案
[111:25] 比如说通过long压下去
[111:27] 它肯定是我认为肯定是会对模型效果有损的
[111:29] clip掉是一种方式
[111:31] 比如说我们也会借鉴Kimi的QK clip的方式
[111:34] 当QK的某些logis非常大的时候
[111:37] 它实在影响模型的训练稳定了
[111:39] 你没办法也只能把它clip掉
[111:41] 这样至少能让训练更好进行下去
[111:44] 进行到一个稳态的时候
[111:45] 你再给它放开
[111:47] 对
[111:48] 就有太多的这种临时的
[111:50] 你要去发现问题解决问题
[111:52] 甚至去倒推很多
[111:54] 可能会产生导致这个问题的一个分析的一个路径
[111:59] 这些路径其实是非常考验一个团队的跨团队
[112:03] 其实如果是在一个很大的公司
[112:05] 它就是跨团队协作
[112:07] 然后但这个协作效率是极低的
[112:09] 然后如果是在一个很小的团队
[112:11] 一个创业性的团队
[112:13] 那么它就是考验这个环节上的
[112:15] 关键几个人的配合程度
[112:17] 那么它就会更高效一些
[112:19] 然后以及如果这个环节上的每个人都足够的
[112:23] 追求极致
[112:25] 就是追求极致
[112:27] 它就不能容忍你这突然这么干
[112:30] 那我们就必须停下时间来找问题
[112:33] 你们属于哪一边
[112:35] 我们肯定是属于小团队非常极致的类型
[112:38] 所以就会导致
[112:40] 那么这样训练周期会被拉长
[112:42] 因为训练周期它肯定不会一两个月就把它训完
[112:45] 那么训练周期拉长的情况下
[112:48] 如果说有一个非常明确的一个deadline目标什么的
[112:52] 那你肯定就承受不了这样的
[112:54] 因为比如说大气掀卡你停一天
[112:57] 肯定就是一两百万两三百万的事
[112:59] 那么你怎么去承担这样的一个损失
[113:02] 如果是在一个目标驱动的一个团队
[113:05] 可能会觉得停个两三周去排一个问题
[113:10] 这个问题还不知道是不是个问题
[113:12] 会不会对模型这种训练产生影响
[113:15] 可能是一个不太能接受的事情
[113:18] 但是在我们这我们认为它就是一个问题
[113:20] 我们就应该去解决它
[113:21] 因为我们没有那么清晰的一个说我要发布的一个目标
[113:25] 你们没有deadline
[113:26] 我们没有deadline
[113:27] 就我们觉得模型训好了我们再发
[113:29] 没有公司来的压力吗
[113:31] 没有
[113:32] 你们确实不是一个创业公司对吧
[113:33] 我也不是一个创业团队
[113:35] 但实际上它就是个创业团队
[113:36] 我觉得MIMO和还有包括Micro能做成
[113:40] 其实都是以创业的方式在运作的
[113:42] 所以它才能做成
[113:44] 训一个ET的模型对你的管理难度是不是指数性的上升
[113:49] 没有
[113:50] 管理团队的难度是一样的
[113:52] 应该说不太存在管理
[113:55] 因为大家一块去解决问题就好了
[113:58] 你不需要去管理这几个人
[114:00] 我们一起来解决这个问题
[114:02] 让每个人都有自己不同解决问题的思路
[114:05] 然后一起来解决问题
[114:06] 然后反而是这种解决问题的这种以身试法的能力
[114:09] 是一个非常好的文化和导向
[114:11] 训一体模型是多大团队
[114:14] 很小的
[114:15] 我只是说训练这个事本身
[114:16] 但你做数据还需要那么几个人
[114:19] 也是几个人
[114:20] 对
[114:21] 还需要什么吗
[114:22] 可能还需要一个非常好的基建团队
[114:25] 就是你肯定就会把卡给集群给搭起来
[114:30] 这个
[114:31] infra团队吗
[114:32] 这不是infra
[114:33] 这就是基础设施团队
[114:35] 这个团队可能需要有那么一点需要有经验的人
[114:39] 因为没有经验人
[114:41] 当然会出一些低级的问题
[114:43] 对
[114:44] 是一些基础的运维设施的经验
[114:46] 那你们的诀窍是啥
[114:49] 本身我也没有觉得它是需要一个非常大的团队协作的事情
[114:54] 我觉得团队协作当然有优势
[114:58] 就比如说
[115:00] 大家在卡资源巨量的情况下
[115:03] 可以并显的去探索
[115:05] 对做研究来说是有优势的
[115:07] 但是我并不认为它对
[115:10] 我刚刚说的那种场景
[115:13] 发现一个可能是问题的问题
[115:18] 然后去深入排查原因去解决它
[115:20] 我并不认为它对这种模型训练进程中遇到的问题
[115:24] 是很大的团队是优势
[115:26] 反而很大的团队有可能是劣势
[115:28] 训这个模型过程中有团队状态是什么样的
[115:31] 团队状态是
[115:34] 原来做数学的那一群人
[115:37] 就去做后训练的
[115:39] 然后做infra
[115:43] 做训练框架
[115:45] 做推理infra人
[115:46] 一块来去解决训练过程当中的问题
[115:48] 这是为什么
[115:51] 这是为什么
[115:52] 为什么有这个变化
[115:53] 就是为什么预训练的人要去做后训练
[115:55] 很多样的原因
[115:57] 首先后训练的一大部分的原因是
[116:01] 你需要有很好的数据知觉
[116:03] 这还是蛮重要的
[116:05] 其次就是
[116:09] 其次它是基于个人爱好兴趣产生的
[116:13] 它不太是基于
[116:15] 基于你说我们这里需要人你转一下
[116:18] 不是
[116:19] 但是我确实能够预料到
[116:22] 哪些人会做这样的一种潜移
[116:25] 因为很多能力特质上是很共性的
[116:27] 就比如说对数据的直觉
[116:29] 比如说会从模型效果去
[116:33] 去倒推一些算法的设计
[116:37] 其实做数据好多时候也是在干这个事
[116:40] 所以
[116:41] 可能我觉得主要原因是
[116:43] 我们对人的界定没有那么清晰
[116:45] 然后所以大部分人他会自然随着训练阶段
[116:48] 的变化
[116:50] 自由的去选择下一个阶段
[116:53] 更有想象空间的事情
[116:56] 对
[116:57] 你们现在是100人吗
[116:58] 我记得上次聊
[116:59] 现在已经到100人
[117:01] 但是这100人是包含
[117:04] 就是
[117:06] 所有链路上的人
[117:08] 就所有链路包
[117:09] 比如说数据采集
[117:10] 数据质量
[117:12] print train的infra
[117:14] poster train
[117:15] 然后包含
[117:16] 甚至
[117:17] 我们的开发
[117:18] 我们需要有一些开发
[117:20] 还有包含我们的产品
[117:21] 包含我们的数据白小生
[117:23] 还有包含三个方向上的算法过程是
[117:25] 就是
[117:26] 大致你可以发现就是
[117:28] 语言
[117:29] 动态和语音
[117:31] 对
[117:32] 然后这里边100个人里边
[117:34] 实习生的比例是很高的
[117:36] 然后有部分实习生可能是在做一些
[117:38] 更
[117:39] 当下不会立马反映到这一代模型结构上的
[117:42] 模型能力上的事情
[117:44] 所以其实真正投入到
[117:46] 一代模型里边去迭代人
[117:48] 我觉得是很少的
[117:49] 可能所有链路上加起来也就二三十个人
[117:51] 三四十个人
[117:52] 对
[117:53] 最多也就这么多人
[117:54] 二三十个人
[117:55] 二三十个人比较均匀
[117:56] 对
[117:57] 这里没有组
[117:58] 不同的组的划分吗
[118:00] 没有
[118:01] 没有组
[118:02] 没有组的
[118:03] 所以你一对一百
[118:04] 差不多
[118:05] 是
[118:06] 为什么没有组的划分
[118:07] 比如说为什么不分预训练组
[118:08] 不分后训练组
[118:10] 因为很多
[118:13] 很多人他会对两个方向都感兴趣
[118:15] 嗯
[118:16] 因为当你组划分的非常的清晰和固定的话
[118:19] 那么其实是在扼杀一部分人的创造力
[118:22] 对
[118:23] 嗯
[118:24] 或者说扼杀他未来的成长空间
[118:25] 嗯
[118:26] 嗯
[118:27] 第二个就是
[118:28] 嗯
[118:30] 我确实也不认为做后训练的人
[118:34] 嗯
[118:35] 如果说做后训练现在的一个很重要的一个范式的变化
[118:38] 变化是
[118:39] 他需要具备diversity这个事业
[118:42] 很多做后训练的人
[118:43] 他是对着一个场景去做
[118:45] 他没有这种多样性的事业
[118:47] 但是做预训练的人
[118:48] 第一应该关注的事情是多样性
[118:51] 嗯
[118:52] 因为他不能往这个模型里边
[118:53] 塞一小部分数据
[118:54] 他要塞多样性跟好的数据
[118:56] 所以其实做预训练的人去做后训练
[118:59] 有非常大的优势
[119:00] 就是他会天然跟在乎多样性
[119:03] 嗯
[119:04] 然后
[119:05] 他就是个很好的补充嘛
[119:07] 他就是个很好的补充
[119:08] 当然也有人他一直做后训练
[119:10] 他就比如他只研究小黄血液
[119:12] 所以他一直做后训练
[119:14] 或者说叫midstream吧
[119:15] 对
[119:16] anyway就是有
[119:17] 就至少我们不要在组织结构上去
[119:20] 给某些按场景来把某些人的这个
[119:24] 我认为是创造力给他扼杀
[119:27] 在这个场景里边
[119:28] 那就很奇怪
[119:30] 在我来看
[119:31] 对
[119:32] 没有组也就没有leader
[119:34] 嗯
[119:35] 有推动实际这个项目往前运作的人
[119:39] 对
[119:40] 就哦
[119:41] 但是他都是很模糊的
[119:42] 就比如说
[119:43] 可能这个项目
[119:44] 我们要先走
[119:45] 比如说我们要去memorywarepro的预训练
[119:47] 然后说后训练
[119:48] 可能有实际往前去推动的人
[119:50] 但这个人他并不对
[119:52] 参与这个项目的人有绝对的控制权
[119:55] 对
[119:56] 就是没有直击对吗
[119:57] 对
[119:58] 你可以这么认为
[119:59] 但是小米本身是有直击的
[120:00] 本来我们这个团队的整个的组织结构
[120:04] 就是完全结合的
[120:05] 嗯
[120:06] 没有直击
[120:07] 你觉得对于做AI很重要是吧
[120:09] 做大模型
[120:10] 没有直击
[120:11] 没有组
[120:12] 对
[120:13] 那你认为
[120:14] 是能涌现本身的意义是什么
[120:15] 我觉得平权本身是有价值的
[120:17] 就是就是平权本身是有利于所有人去平等的贡献自己的创造力和智慧
[120:25] 我觉得是有价值的
[120:27] 对
[120:28] 嗯
[120:29] 任何层级应该一定程度上都是在在规范和约束
[120:35] 然后规范和约束本身
[120:36] 我自己认为是压制创造力的
[120:39] 嗯
[120:40] 然后以及有层级过后
[120:41] 他就默认
[120:42] 这个层级上的人应该有更强的超越所有人的一个智能
[120:53] 对
[120:54] 这个很奇怪
[120:55] 这个界定非常奇怪
[120:57] 嗯
[120:58] 我觉得不太会存在有
[121:00] 对
[121:01] 所以反而更扁平
[121:03] 然后尤其是对于最重要那个leader人
[121:06] 他不要有特别强的这种掌控感
[121:11] 然后以及
[121:12] 这种觉得没了我就不行
[121:14] 啊
[121:15] 这种啊
[121:16] 我觉得如果有一旦有这样的一个想法
[121:18] 反而不是很有利于一个创新团队的发生
[121:21] 那虽然你说没有管理啊
[121:22] 但实际上怎么管理呢
[121:24] 嗯
[121:25] 靠热爱驱动管理
[121:26] 我觉得
[121:27] 这个很重要的
[121:28] 我我自己发现是最行之有效的方式
[121:31] 嗯
[121:32] 对
[121:33] 嗯
[121:34] 就去去选择激发大家的热情
[121:36] 然后让大家围绕着自己愿意信仰的事情去自驱做事儿
[121:41] 我觉得这这是我一直比较艰辛的最有效的管理方式
[121:46] 你有什么驱动热情的方法
[121:48] 嗯
[121:49] 让大家啊认识到一个新的事情
[121:51] 让大家去体验
[121:52] 其实是驱动他热情非常重要的方式
[121:54] 比如说open call这是一种体验方式
[121:56] 对
[121:57] 你看起来用了一个非常极端
[121:58] 说哦你不用你没有100轮的对话
[122:01] 你明天就辞职
[122:02] 嗯
[122:03] 这是一个非常极端的方式
[122:04] 但是你的目的是体验是吗
[122:05] 对
[122:06] 我也不会这种去考核
[122:07] 我第二天也不会去考核大家
[122:08] 说OK你真的有没有用
[122:10] 因为我觉得那不关键
[122:12] 嗯
[122:13] 然后我只在乎你有没有真的去用这个动作
[122:15] 是不是真的达到100轮
[122:17] 那只是一个量词而已
[122:18] 所以你还有什么用热爱驱动大家的方法体验
[122:22] 嗯
[122:23] 就其实筛选人的时候也很关键
[122:25] 就是很多人你可以从他过往的经历看出来
[122:29] 他到底是在我要的什么样的目标在做事情
[122:33] 对
[122:34] 嗯
[122:35] 就靠热爱驱动做事情的人的特质会非常的special
[122:39] 对
[122:40] 就你跟他聊天过后应该就能感受出来
[122:42] 也就有的人他会为了很多奇奇怪怪目标做事情
[122:45] 但为了热爱驱动做事情的人是非常明显的
[122:49] 嗯
[122:50] 怎么明显
[122:51] 我没有办法就是有很多量化指标
[122:53] 但是我去跟他聊天我能直接感受到
[122:55] 就是能sense到
[122:56] 对
[122:57] 你们在这个ET的模型的训练有失败吗
[123:00] 还是一次就成功了
[123:02] 嗯
[123:03] 就是看怎么定义失败
[123:07] 就比如说你训到loss
[123:09] loss直接飘了这种
[123:11] 那应该中途还是发生过那么几次的
[123:15] 几次啊
[123:16] 几次我现在都不知道几次了
[123:18] 反正两三次总是有的
[123:20] 对
[123:21] 就loss直接飞了
[123:22] 然后但是他训
[123:27] 比如说训了几百步又回来了
[123:32] 嗯
[123:33] 那你说这种情况你是应该停下来解决
[123:36] 还是应该继续往前训呢
[123:38] 解决
[123:39] 我们认为是应该要解决
[123:40] 就应该停下来解决这个问题
[123:42] 对
[123:43] 嗯
[123:44] 他他其实呃就这样敲上去啊
[123:46] 几乎还不维护
[123:47] 然后又这样下来了
[123:48] 就这我们认为应该停下来解决
[123:50] 所以就会停下来去解决他
[123:52] 让他loss更平稳的度过
[123:54] 那一般会停下来几天
[123:56] 这就不好说了
[123:57] 就几天也有可能一两周都有可能
[124:00] 最长的时候有两周
[124:02] 停两周焦虑吗
[124:03] 不焦虑
[124:04] 因为我们又没有什么目标
[124:05] 当然了你那么多卡
[124:06] 你天天做一堆实验
[124:08] 嗯
[124:09] 今天我想了这么去排插断
[124:11] 哎感觉是这个原因了
[124:12] 快改改了又跑
[124:13] 排起来第二天看又这样子
[124:14] 或者中呃晚上难耐
[124:16] 反正晚上都睡不好
[124:17] 然后我我经常晚上周末说
[124:19] 呃为什么loss又spike
[124:21] 我烂几天晚上脑袋
[124:23] 哈哈
[124:24] 呃那就这种
[124:25] 就其实虽然我们没有明确的实验结结
[124:27] 但是你还是会崩溃吗
[124:29] 所以所以还是有很多很沮丧的瞬间的
[124:32] 嗯
[124:33] 嗯但是虽然没有明确的结结
[124:34] 但是卡呃就是它是有限的对不对
[124:37] 对
[124:38] 可能浪费了算力资源
[124:39] 在做一些无用的实验
[124:40] 就是有有这样的呃也自自我的批判
[124:47] 觉得嗯嗯对
[124:50] 所以参数量能决定智力的上限吗
[124:54] 就是越大的模式越好
[124:58] 我现在我现在觉得是参数量加上contest本身
[125:02] 对就这两个是共同决定的
[125:04] 呃但但至少要达到当代
[125:07] 大家觉得最强的agent都有水平
[125:09] 我觉得是
[125:10] 我觉得一定要一体以上的参数规模才能做到
[125:14] 才能让大家觉得你已经非常接近于4.6ops
[125:18] 这样的水
[125:19] 但我不知道它多大
[125:20] 我只是觉得我自己认为至少要一体以上才能做到
[125:23] 总参一体以上
[125:24] 那当然更激活的啊更关键的还是激活参数
[125:28] 对所以但激活参数越大
[125:30] 比如说你你总参都是一体你激活参数越大
[125:32] 就意味着更高的推理成本
[125:35] 嗯对所以它就是一个trade off嘛
[125:37] 嗯
[125:38] 嗯
[127:09] 这两个决策第一个是混合出力机制
[127:11] 刚才我们聊过了
[127:12] 呃然后再就是em的上下门窗口
[127:15] 这个在做的时候是否有丢失的情况
[127:19] 呃em它是要还是要训的就是常商新闻它还是要训练的
[127:23] 就问题关键是你从哪真的去搞到
[127:26] 在一招的上下门的窗口里边去
[127:29] 呃有那么多呃很很稠密的监督信号
[127:35] 我觉得嗯这个这个这个很难找到这样的数据
[127:38] 或者说这样的数据的构造的成本非常的高
[127:41] 构造成本非常高
[127:42] 所以就是所以其实其实你要真呃站到终局的思维来看
[127:48] 你只要有呃比如说嗯你如果你有一个一体的token量
[127:54] 嗯
[127:55] 而且它都是依照的真正的场上下文
[127:57] 那么你的模型呢呃我我认为你的模型以依照能力肯定能迅上去
[128:02] 你只要nose一直在降低它就是在在在建模在压缩
[128:06] 那么它就一定能迅上去
[128:07] 嗯
[128:08] 但是问题的关键是你你很难去构造出来真正一体依照的context
[128:14] 你真的很难去构造出来
[128:15] 就是要么就成本太高
[128:17] 要么就你就很难找到这样的场景
[128:19] 所以这是问题的关键
[128:21] 我们有呃所以所以这个unconventional的效果是缓慢在提升的
[128:26] 慢慢去提升
[128:27] 然后你们还有第三个就是MTP
[128:29] 这个是延续的flash
[128:30] 这有变化吗
[128:32] 嗯对
[128:33] 没没没有什么太大变化
[128:35] 其实就是预训练的时候
[128:37] 训一层
[128:40] 然后meet顺手再训额外更多的层
[128:43] 然后预训练训一层是为了去提升机座能力
[128:46] 后面呃post去去训更多层是为了推底的时候用更多层实现更好的推移加速
[128:53] 对
[128:54] 呃关于pro的技术要点除了刚才三个我没有遗漏的
[128:57] 差不多了
[128:58] 我觉得聊了已经非常透了
[129:00] 所以pro是几个月前开始做的
[129:02] 嗯
[129:03] 那另外两个呢
[129:04] 同期基本上都同期
[129:05] 哦都是那个时候开始规划的
[129:06] 对对其实都是三个三三大概是三个方向同期再往前去推进的
[129:13] pro加上omni加上tts
[129:16] 它好像整个的v2家族是在指向多模态的叙事
[129:20] 嗯但是它的模态又非常的不一样
[129:23] 嗯文字是离散的token图片是像素矩阵
[129:27] 音频又是波形
[129:28] 你们怎么去做这个融合呢
[129:31] 嗯其实我们还是想尽量把它统一到两种model的范式下
[129:35] 所以嗯所以在至少在音频的建模上
[129:39] 我们想要把它离散化
[129:41] 变成跟文本一样的离散的token的id
[129:44] 嗯
[129:45] 然后所以我们在音频上是在这个事情上是投入了比较多的研究的算力
[129:52] 说怎么去进行离散的音频的建模
[129:55] 而且这个我们希望这个离散音频的建模
[129:57] 尽量做到无损的一个一个一个离散化
[130:01] 对因为大家还是不太相信说
[130:03] 你怎么把一些连续的输入变成离散
[130:06] 最后还能重建出来
[130:07] 这个事其实是需要非常多
[130:09] 对encoder更精细的
[130:12] 比如说我们需要一些多层的rvq来保证
[130:15] 它的离散的表征是一个非常大的像dense一样的高纬的空间
[130:22] 然后我们需要更多的预训练来去让它开始涌现
[130:29] 如果你基于连续的特征做可能很快就涌现了
[130:31] 但你基于离散的特征做的话
[130:33] 你会更难去建模
[130:35] 它的涌现出现的时间段会更晚
[130:37] 然后所以我们知道在音频上是开始这个尝试
[130:41] 然后也会牵引到后边其他模态
[130:44] 就我们还是就就比较想用一套更优雅的架构
[130:51] 来去做整个多么太空多么太输入的一个理解
[130:57] 但是但是我们不是为了统一而去做
[131:03] 这整套架构
[131:04] 就很多时候如果说我们发现确实比如说在图像上
[131:09] 离散确实是不那么可行的时候
[131:11] 那么我们还是会寻求到一种说目前更主流的一种架构里边去
[131:18] 因为我们优先要保证的是这个模型
[131:21] 它要具备的是一个整体的一个智能水平
[131:25] 而不是追求为了统一优雅的一个范式
[131:31] 对音频统一到l1m里去
[131:33] 容易吗
[131:34] 应该应该我们还蛮另类的
[131:38] 对就我们我们应该体内就我们的技术架构应该是非常另类的
[131:42] 我知道应该国外的预算家也好
[131:45] 国内像豆包也做的蛮好的
[131:47] 应该都是跟我们完全不一样的架构
[131:49] 你为什么选这个架构
[131:51] 就是做让我批的人执念吧
[131:53] 就我们做音频人全是做让我批的人
[131:55] 所以有这个执念就觉得相信他
[131:58] 然后就去做了
[131:59] 那图片能这么做吗
[132:00] 能
[132:01] 我们已经尝试了非常长一段时间了
[132:03] 所以你们能用l1m作为一个统一的一个方式
[132:09] 对但是它其实是个权衡
[132:11] 就是就像我说的你要做到真的无损的一个重建
[132:15] 是需要投入更多的算力
[132:17] 更长的研究成本在的
[132:19] 它是个权衡
[132:21] 至少在音频上我们已经迈过去了
[132:25] 图片呢迈过去了没有
[132:27] 图片正在进行中
[132:29] 不知道能不能迈过去
[132:31] 如果迈过去就也带着了
[132:33] 这会带来更大的想象力吗
[132:35] 更优雅的结构
[132:37] 我最开始是认为
[132:39] 如果我们把它统一都离散的话
[132:41] 那么我们可以用一套基础架构去解决这个问题
[132:44] 同一套预训的基础架构
[132:46] 同一套做l的基础架构
[132:48] 很优雅的把所有的方式都统一了
[132:51] 它太简洁了
[132:53] 这是如果真能做到的话
[132:55] 但是我现在发现一个问题是
[132:58] 当我们有科学和顶尖的模型过后
[133:02] 这些架构
[133:04] 比如说我们重新去写一套l-infra的架构
[133:07] 重新去写一套纯粒infra的架构
[133:09] 我们最近就已经完全在重头去写一些新的架构
[133:13] 我原来以为写这些架构蛮耗费人力
[133:16] 蛮耗费时间的
[133:17] 但是现在看起来在Azure的支持下
[133:19] 写这些架构的时间被大量缩短
[133:21] 那你其实就没有必要为了架构的优雅性
[133:24] 去做很多为了统一而统一的研究
[133:29] 这是最近的变化
[133:31] 一个月内的变化
[133:33] 但是之前你是希望统一的
[133:35] 对 执念
[133:37] 之前是来自于这种NOP的执念
[133:40] 所有东西离散 优雅
[133:42] 监督信号更清晰
[133:45] 你可以做NTP
[133:48] 你可以所有符用所有线的infra
[133:52] 哇 多爽呀
[133:53] 但线回过头来看
[133:55] infra重新写一套也没有那么复杂
[133:58] 几个人可能靠靠靠的
[134:00] 两三周
[134:02] 你可以重新捏一套新的RO框架
[134:04] 那为什么要因为我后面
[134:07] 后训练的infra架构的统一性去牺牲
[134:10] 让前面模型结构牺牲这么大
[134:14] 但是Omni在做的时候
[134:16] 它是走了一条有别于分别处理个模态
[134:20] 在拼接的路线
[134:21] 它是试图构建一个统一的
[134:24] 倒没有
[134:26] 我们Omni的整个VIT的
[134:28] VIT上只是去做了一个
[134:35] 就它还是一个VIT
[134:37] 只是我们把它变得更高效了
[134:39] 它变成了一个
[134:40] Hybrid的Setting Window的一个VIT
[134:43] 对
[134:44] 但是我们表征本身并没有做太多的变化
[134:47] 就它还是一个连续的一个表征
[134:50] 并没有做太多变化
[134:52] 为什么你们叫做全抹台而不是多抹台
[134:55] 就是因为它支持
[134:56] 确实是支持
[134:58] 视频 音频 图片 文本所有的模态
[135:03] 然后有一些Agentic的模型是
[135:07] 不支持音视频的联合理解的
[135:10] 然后它应该是第一个
[135:12] 第一个支持音视频联合理解
[135:14] 并且Agentic的能力
[135:16] 能够做到跟Language Model的水平差不多的
[135:18] 是不是有迹象能表明
[135:20] 这种全抹台或者多抹台的理解力
[135:22] 能够产生智能
[135:23] 两个月前我很相信
[135:28] 然后最近的就是在
[135:30] 反正在训OMNI的整个过程当中
[135:32] 就是稍微有点被
[135:34] 就是稍微有点质疑这个事情
[135:37] 对
[135:39] 但是我们后面还是发现了一些很好的迹象
[135:42] 就是比如说
[135:45] MIMO VL
[135:46] OMNI它其实是比Pro小的
[135:48] 但是大家实际去用的时候会发现
[135:51] 这个OMNI的
[135:53] 这个
[135:54] 对世界的感知和领悟力上
[135:57] 或说最终反映出来
[135:59] 它的情商以及它的知识的储备上
[136:04] 会比更大的模型更强
[136:06] 因为它训了多么
[136:07] 因为它是原生动态训练的
[136:10] 所以我猜测可能是因为
[136:12] 我们在这两个方向上
[136:14] Skill的
[136:15] 就在纯语言上Skill的算力
[136:18] 和纯这个原生动态上Skill的算力
[136:22] 还不那么多
[136:24] 可能导致我们现在并没有看到
[136:26] 原生动态有那么强的一个
[136:29] 本身
[136:30] 动态本身带来的一个
[136:32] 一个智能的一个很大的一个提升
[136:35] 但你能感受到
[136:36] 就比如说很多世界知识
[136:38] 因为它训过视频
[136:40] 所以它知道了更多
[136:42] 然后它对很多很细微的东西的感知力
[136:45] 你会发现它更强
[136:46] 但这些都是很虚的
[136:48] 都是我们自己去实际体感去测
[136:50] 感知力
[136:51] 对感知力会更强
[136:52] 但是你在任何Benchmark上
[136:53] 你是没有任何
[136:54] 就是纹丝不动的
[136:55] 就是纹丝不动可以这么说
[136:57] 是不是有可能Benchmark错了
[137:00] 当然有可能
[137:01] 当然有可能
[137:02] 所以我现在也不完全说
[137:05] 非常确定说OK
[137:07] 你要去理解多么它的能力
[137:09] 是最终实现所谓AGI路径的
[137:12] 必要路径之一
[137:14] 我是不想去下这样的一个结论的
[137:16] 是因为我觉得每个人对AGI的定义
[137:18] 是不一样的
[137:19] 然后尤其在AGI的这样一个
[137:23] 可以把多个模型的能力
[137:25] 给非常优雅的编排到一起的场景的情况下
[137:28] 我觉得我们根本没有必要去
