[00:02] 我觉得是可能是有史以来
[48:17] 那支部队去竞争
[48:18] 所以我觉得其实创业公司
[48:20] 首先第一还是要
[48:21] 总体是要专注吧
[48:23] 然后第二点就是
[48:24] 还是要有你自己的核心竞争力
[48:25] 嗯
[48:26] 所以说
[48:27] 我自己觉得我们很有信心的点
[48:28] 在于不管是千里还是街越
[48:30] 本账还是
[48:31] 这帮人是非常AI
[48:33] 原生的一帮人
[48:34] 他们在AI技术的判断
[48:36] 和研发能力上是很强的
[48:38] 他们是要找到一个非常好的
[48:40] 他们能够有一定壁垒的
[48:42] 商业化的赛道
[48:43] 把这些赛道耕耘好
[48:45] 把这类客户服务好
[48:46] 我觉得就可以活下来
[48:48] 嗯
[48:49] 这两个公司的文化
[48:50] 直觉感觉应该非常不一样吧
[48:52] 对
[48:53] 那做大脑和做区贯的公司
[48:54] 是应该不一样
[48:56] 你怎么同时管理这两家公司呢
[48:59] 首先第一点我坦诚讲
[49:00] 我认为不同文化的组织
[49:02] 应该相对独立
[49:04] 就是否则你会发现
[49:05] 会把不同的文化吸在一起
[49:07] 会变成
[49:08] 可能从任何一个角度
[49:10] 不够优秀的一个组织
[49:12] 但第二点我自己感觉
[49:13] 因为有这样大家
[49:15] 其实有很多链接
[49:17] 所以我觉得互相间的配合
[49:18] 一定能比两家就是
[49:21] 不同的非生态的公司能合作
[49:23] 我觉得要顺畅很多
[49:25] 所以
[49:26] 我自己其实比较喜欢
[49:28] 这个两元这件事情
[49:30] 就是一二三
[49:32] 我比较喜欢二
[49:33] 就是因为我总体觉得
[49:34] 就是就像太极和阴阳一样
[49:37] 就是很多事就是
[49:38] 本身就是正反两面的
[49:40] 就两种体系
[49:41] 如果能非常好地去
[49:43] 去构建
[49:44] 我觉得反而是能形成一些
[49:45] 不一样的竞争力
[49:46] 嗯
[49:47] 我跟你聊天
[49:48] 我会觉得现在的运气
[49:49] 好稳重
[49:50] 也很现实
[49:51] 你觉得十年前的你是这样吗
[49:54] 十年前的
[49:55] 十年前的我还没有经过
[49:57] 这个现实社会的拷打
[49:59] 我觉得本质没有太大变化
[50:01] 坦诚讲
[50:02] 可能表达方式更
[50:04] 因为我觉得坦诚讲
[50:05] 如果你有些东西没有经历过
[50:07] 其实你还是会对很多事情的
[50:08] 难度的预判
[50:10] 是会有
[50:12] 有这个错误的判断的
[50:14] 那当你可能经历过一些之后
[50:16] 其实对这个事情的全貌
[50:17] 更有一些感觉
[50:18] 所以你会更加审慎一些
[50:20] 因为很多事情
[50:22] 不到真正把这些避缓之前
[50:23] 其实都不会太大变化
[50:25] 太下太多判断
[50:28] 所以更多还是更加
[50:31] 谨慎乐观吧
[50:32] 嗯
[50:33] 所以你一年是
[50:34] 透着一个什么样的心态
[50:35] 开始创业的
[50:37] 就第一我自己感觉
[50:38] 首先对我来讲
[50:39] 可能是先选的赛道
[50:40] 再选的方式
[50:42] 赛道是AI
[50:43] 赛道是AI
[50:44] 就是我这辈子
[50:45] 就是想做AI相关的事情
[50:46] AI吸引你到底是什么
[50:48] 我觉得AI还是能够
[50:51] 我觉得第一我自己很幸运
[50:52] 就是说AI在
[50:54] 如果AI其实没有这十几年的
[50:56] 变化和发展
[50:57] 其实你会发现做AI
[50:58] 其实也是一个很绝望的一件事情
[51:00] 因为技术没有变革
[51:01] 那现在的AI
[51:02] 当大家真的看到AGI的曙光的时候
[51:04] 我觉得首先做一个AI从业者
[51:06] 首先是很幸福的
[51:07] AI我觉得会解决人类
[51:09] 很多很本质的思考
[51:11] 其实关于自身的很多本质思考
[51:13] 对于生命是什么
[51:14] 智能是什么
[51:15] 人类的来源和去处
[51:18] 这些问题
[51:19] 我觉得都跟人家很相关
[51:20] 你自己困惑吗
[51:22] 嗯
[51:24] 我觉得不困惑吧
[51:25] 就是我觉得应该说是有极大的动力
[51:28] 去能了解更多
[51:30] 可能这是
[51:31] 这可以是成为你自己生命的一个意义
[51:33] 因为这个问题足够重要
[51:36] 你当年接触AI是在微软亚研院吗
[51:41] 我其实很早
[51:42] 我觉得其实坦白讲
[51:43] 可能很多男孩看科幻电影看得多
[51:45] 对吧
[51:46] 都会觉得机器人AI
[51:48] 这些未来最重要的东西
[51:49] 其实是很有意思的
[51:51] 我自己只是说可能比较坚持
[51:53] 所以我比如在读本科的时候
[51:55] 选专业的时候
[51:56] 我当时就问过一个问题
[51:57] 说哪个专业跟AI最相关
[51:59] 当时报名老师说自动化
[52:02] 所以我其实精心化大意是自动化
[52:04] 后来觉得自动化有点太偏工业自动化
[52:07] 偏硬一点
[52:08] 当时
[52:09] 现在自动化可能也跟AI生命都一样
[52:11] 所以后来我到了去了摇板
[52:13] 所以总体我自己是一个目标感比较强的人
[52:15] 就是因为我想做这件事情
[52:17] 所以我就持续的可能是离他更近
[52:19] 本账是这样
[52:21] 其实在本科毕业内
[52:23] 如果没有Deep Learning出现
[52:24] 我觉得那时候可能会去当老师
[52:26] 因为这个技术可能不足以去做工业场景的这些
[52:30] 真正去做成一家伟大的公司
[52:32] 会去当老师
[52:34] 走科研这条路线
[52:36] 但很幸运那个时候毕业的时候
[52:38] 我就有Deep Learning
[52:39] 包括那个时候有iPhone4
[52:41] 就是新的移动互联网的诞生
[52:43] 所以就投身了创业这个项目
[52:45] 所以我觉得创业是首的
[52:47] 那我就最终对AI
[52:48] 希望能把AI从技术
[52:50] 从产品
[52:51] 从客户家之外
[52:52] 能做出
[52:53] 一些真的有价值的东西
[52:54] 这可能是我本质的追求
[52:55] 其实方式方法
[52:56] 我觉得倒比较灵活
[52:57] 所以你觉得矿事
[52:58] 满足了你这个心愿没有
[52:59] 满足了
[53:00] 完全满足了
[53:01] 可以没有完全满足
[53:02] 但完全满足
[53:03] 我们就不用再创业
[53:05] 我觉得还是在产品和商业角度吧
[53:09] 我觉得还是没有获得
[53:11] 我觉得是我们预期的一些
[53:13] 比较好的结果
[53:14] 从1.0到2.0切换的过程中
[53:16] 你有过非常沮丧的时候没有
[53:18] 没有
[53:20] 我觉得1.0 2.0是最早是
[53:23] 我觉得当年是我跟徐莉吃饭的时候
[53:25] 说1.0 2.0
[53:26] 这也是个自嘲的过程
[53:28] 就是1.0同意
[53:31] 有没有觉得2.0比1.0强
[53:33] 我觉得还是个连续性的
[53:35] 就是这个战局完全没有结束
[53:37] 只是大家媒体要写的时候
[53:39] 需要有一些标签
[53:41] 你上次也提到说
[53:42] 李毅翻过你那个问题
[53:43] 就是如果把1.0重新来一次
[53:45] 你会做什么不一样的东西吗
[53:47] 我觉得可能不会打暗房
[53:49] 其实打暗房也会导致我们当时
[53:51] 第一我觉得其实我们的人才
[53:52] 不匹配暗房这个行业
[53:54] 当时我们觉得暗房是最大的领域
[53:56] 但是我觉得最后其实还是组织
[53:57] 它本身的文化和能力
[53:59] 是不是匹配这个行业
[54:00] 我们的暗房领域
[54:01] 我觉得我最敬佩的是海康威视
[54:03] 本身这个公司和团队
[54:05] 我觉得都非常优秀
[54:06] 所以我觉得这个当时还是年少轻狂
[54:10] 就是这场仗我觉得不应该打
[54:12] 所以其实我觉得人年轻的时候
[54:15] 就是把把都会上
[54:16] 打把都会上
[54:17] 对就像打牌一样
[54:19] 把把都上
[54:20] 其实就有些牌可以不上
[54:22] 对
[54:23] 所以你最后会打那场仗是暗房
[54:25] 对
[54:26] 然后我觉得应该把那个时间点
[54:29] 这个我觉得应该再等一等之后
[54:31] 我觉得可以其实更早的进入到车
[54:33] 这个领域
[54:34] 理想时间是什么时间
[54:36] 理想时间16 17年
[54:40] 我觉得可以进入到车
[54:42] 这个大的赛道
[54:43] 我觉得差不多吧
[54:44] 就是我觉得只要不打暗房这场仗
[54:45] 我觉得就行
[54:46] 暗房其实牵扯了很多团队的经历
[54:48] 对
[54:49] 暗房其实是对整个组织的能力上
[54:52] 其实还是有不同的构建
[54:54] 但我自己感觉打完暗房场仗
[54:56] 其实对组织的锻炼也是很大的
[54:58] 所以我觉得其实从商业策略角度
[55:00] 我觉得可以可能的那几年
[55:02] 我觉得可能当时因为我们不管是金融领域
[55:05] 还是手机领域
[55:06] 其实后来在1.0时代
[55:07] 我觉得矿石做的都是最好的
[55:09] 所以这些领域我觉得可以再深耕一些
[55:11] 其实这些领域我觉得也做到了前两名
[55:15] 但是也没有做到绝对第一
[55:17] 所以我觉得那个时候
[55:18] 我觉得可以慢一点扩张
[55:20] 28说的已经有的客户服务行业做好
[55:23] 然后可能再等到
[55:25] 我觉得甚至都不用到16 17年
[55:27] 我觉得可能到19年左右进车都来得及
[55:31] 对
[55:32] 我觉得现在也来得及
[55:33] 现在只是绕了一个大圈吧
[55:36] 其实我跟矿石
[55:37] 不管是你还有和联合创始人聊
[55:39] 我会有一些感受
[55:40] 就比如说你们是从11年开始创业的
[55:43] 然后你们其实是拿着AI的这个技术支点
[55:46] 一直在做
[55:47] 一直在用锤子找钉子
[55:49] 包括你们为什么叫矿石
[55:50] 也是因为是mega face
[55:52] 所以我觉得你们很多动作都是想
[55:54] 怎么把这个技术用进去
[55:55] 比如说包括你们最早开始做游戏
[55:57] 其实也不是想把游戏做得最好
[55:59] 而是想就是把这个技术手段用进去
[56:01] 但是你觉得这个创业的思路
[56:03] 你今天看是对的嘛
[56:05] 因为你想过去10年
[56:06] 可能就是吃了最大AI蛋糕的
[56:08] 可能是像自己是换方
[56:11] 是特斯拉这样从场景切入的公司
[56:13] 他只是把AI当做一个手段
[56:15] 对
[56:16] 首先这里面从两个维度来看
[56:18] 第一个就是这群技术同学
[56:20] 就我们这群技术同学
[56:21] 其实坦白讲他们
[56:22] 你要看他的人生成长经历
[56:24] 他其实一直在学习
[56:25] 所以我觉得他们可能是比较
[56:28] 跟世俗的生活其实是有点脱离感的
[56:31] 所以就是说
[56:32] 跟世俗的生活有点脱离感
[56:34] 对所以就我们对某个领域
[56:35] 比如说所以某一个产品或每个行业
[56:37] 其实没有那么
[56:38] 早期是没有那么大热情
[56:39] 你说打20多岁是吗
[56:41] 对就当年吧
[56:42] 甚至很多人现在就是这样
[56:43] 大家可能只是对技术对解题
[56:45] 对这些感兴趣对吧
[56:46] 就是所以自然而然
[56:48] 他不可能对某一个领域
[56:50] 有那么强的感觉
[56:51] 或者那么强的passion
[56:53] 所以这个过程我觉得是绕不开的
[56:55] 但我自己感觉就是
[56:56] 我们经历这个过程之后
[56:58] 就像你刚才讲的
[56:59] 我觉得就是得双轮驱动
[57:00] 就不光是技术驱动
[57:01] 最重要的还是要对一类场景和用户
[57:04] 真的是需要能够服务好这类用户
[57:07] 打造好这个产品
[57:08] 这个我觉得还是非常重要的
[57:10] 这个可能也需要早期的
[57:11] 这些技术的同学
[57:13] 可能更加有生活感
[57:15] 就是他可能知道
[57:16] 生活上他也有痛点想解决
[57:18] 对吧他也有
[57:19] 努力好的产品
[57:20] 他自己想去定义更好的产品
[57:22] 这个我觉得可能是一个人生的
[57:23] 一个必经的过程吧
[57:25] 这可能是学霸的特点是吗
[57:27] 一部分学霸的特点
[57:29] 对其实学霸在我们这个领域
[57:30] 其实是一个贬义词
[57:32] 就是学霸其实代表可能
[57:38] 代表过度的热爱学习
[57:40] 对倒不一定说学习好
[57:42] 是过度热爱学习
[57:43] 就是我自己感觉就是
[57:45] 可能本账是一群技术同学
[57:47] 他们去真正接触
[57:48] 这个社会和世界
[57:50] 他们慢慢对商业
[57:51] 对用户有感觉
[57:53] 慢慢在反向驱动
[57:54] 我觉得最终一定应该是
[57:55] 以用户为中心的
[57:56] 所有的商业
[57:57] 都应该是以用户为中心
[57:59] 然后技术会成为他们的
[58:01] 一些底层的belief
[58:03] 然后成为他们解决问题时候的
[58:05] 一些工具和手段
[58:06] 这样才会比较顺
[58:08] 就是你的联创
[58:09] 他反思说你们当年不愿意
[58:11] 深入地做金融
[58:12] 不愿意深入地做游戏
[58:13] 有可能也是一种ego
[58:14] 技术的ego
[58:15] 你认同他吗
[58:16] 对
[58:17] 我认同这些领域
[58:18] 所以为什么我觉得2.0
[58:19] 坚定地要做2C
[58:20] 就是因为我觉得我们对2B
[58:22] 这些行业
[58:24] 其实我觉得最后期
[58:25] 我们在这行业做了十年时间
[58:27] 我觉得也跟我们的客户
[58:28] 形成非常好的一个
[58:29] 共生的关系
[58:30] 但坦然你说
[58:31] 从内心的passion角度
[58:32] 我觉得蛮难的
[58:34] 我觉得是要把这些客户服务好
[58:35] 但是说只做这个领域
[58:36] 我觉得可能
[58:37] 对我们来讲
[58:38] 可能不是最终极的追求
[58:40] 所以2C是你一个
[58:41] 很明确地要做的方向
[58:43] 就是现在的千里
[58:44] 不能代表你们终端的所有的
[58:46] 对未来想象对吧
[58:47] 对千里
[58:48] 我觉得是从车的智能化开始切入
[58:50] 但比如说我们做Robotaxi的话
[58:52] 就是从技术到各个领域
[58:54] 可能也慢慢会离C越来越近
[58:56] 其实C我觉得是两个维度
[58:58] 一个维度是这个场景
[58:59] 就这个需求
[59:00] 是一个C端用户的场景
[59:01] 所以我们其实
[59:02] 不管是以2B的方式
[59:03] 还是以2C的方式
[59:04] 最后是为C端服务的
[59:06] 这个我觉得现在是
[59:07] 都是这样的
[59:08] 我觉得支架最后
[59:09] 也是普通用户来用
[59:10] 对吧
[59:11] 第二种是商业模型
[59:12] 商业模型是找B端去收费
[59:14] 还是最后从C端来去收费
[59:16] 这个我觉得
[59:17] 是不同阶段
[59:18] 有不同的选择
[59:19] 那个张一鸣聊过吗
[59:20] 你觉得他有什么感受
[59:22] 前段时间聊的比较多
[59:23] 最近聊的没有那么多
[59:25] 一鸣还是非常厉害
[59:27] 这个对AI
[59:28] 我觉得也很痴迷吧
[59:29] 你觉得他们的这种创业路径
[59:31] 和你们这种创业路径
[59:32] 就是两种不同的人
[59:33] 你觉得差别是什么呀
[59:35] 我自己感觉商业
[59:36] 其实最终还是
[59:37] 最好是从一个商业的需求
[59:40] 就用户的需求来出发
[59:42] 这是最顺的
[59:43] 所以我觉得一鸣他们最早
[59:45] 其实从移动互联网时代
[59:46] 看到这个大的
[59:47] 机遇和好的产品
[59:48] 然后当这个好的产品
[59:50] 形成商业避防和费用轮之后
[59:52] 同时能够对技术
[59:53] 能有很持续的追求
[59:55] 我觉得这个模式是比较顺的
[59:57] 就像早年其实也有过
[59:59] 有个争论是叫
[60:00] 叫贸供技还是技工贸
[60:02] 这现在是很老的话题
[60:03] 但其实是
[60:05] 本质还是不变的
[60:08] 其实我觉得现在
[60:09] 也不用矫枉过正
[60:11] 首先从商业角度
[60:12] 其实以商业来牵引
[60:14] 是没问题的
[60:15] 同时它对技术要持续
[60:17] 是有追求
[60:18] 我觉得还是两个轮子来驱动的
[60:20] 所以我觉得华为跟字节
[60:22] 都是很好的代表
[60:24] 我觉得都是从产品商业来驱动
[60:26] 但同时又对底层技术
[60:28] 有持续的投入
[60:29] 这个我觉得是一个
[60:30] 比较良性的状态
[60:31] 如果当我们说
[60:32] 模型级产品的时候
[60:33] 会不会改变这个联络
[60:35] 模型级产品这件事其实并不行
[60:37] 因为我认为
[60:38] 不管是搜索引擎
[60:39] 还是推荐引擎
[60:40] 都是模型级产品
[60:41] 所以基本上这样
[60:43] 我觉得现在的大模型是第三代
[60:46] 所以做搜索的时候
[60:47] 或做推荐的时候
[60:48] 你也一定要有产品
[60:50] 只是现在我认为
[60:51] 现在这个大模型
[60:52] 还没有到第一个K-Line
[60:53] 真正爆发的阶段
[60:55] 所以你也说不是差Bot
[60:57] 对
[60:58] 然后我还有第二点感受
[61:00] 就是我觉得
[61:02] 就是包括你刚才说
[61:03] 你觉得没有去交
[61:04] 不应该打安防那一场仗
[61:05] 然后应该更早进车
[61:07] 其实于凯博士
[61:08] 我之前聊过
[61:09] 他是19年做了一个战略取舍
[61:11] 当然他们创业比你们晚
[61:12] 他15年才开始创业
[61:14] 然后15年到19年
[61:15] 都非常的
[61:16] 减老
[61:17] 找不到方向
[61:18] 因为他也进过安防
[61:19] 但是没有打赢
[61:20] 可能尝试过
[61:21] 但是小小尝试
[61:22] 他就觉得之前
[61:23] 一直在扫射各个行业
[61:24] 然后没有在一个行业里去深耕
[61:26] 然后是19年初的时候
[61:27] 理想给了他一个建议
[61:29] 建议他all in汽车
[61:30] 然后他当时有了一大波的裁员
[61:32] 有了这个战略的选择
[61:34] 所以导致低迷线
[61:35] 可能就是深耕智能驾驶
[61:36] 更早一些
[61:37] 包括当时跟你们联创聊的时候
[61:40] 他复盘了你们的各个业务线
[61:42] 就包括有手机
[61:43] 有那个周保
[61:45] 这种金融的身份认证业务
[61:47] 有安防
[61:48] 然后有机器人有支架
[61:49] 他也觉得就是
[61:50] 你们在各个领域
[61:51] 权限开花
[61:52] 一直做加法
[61:53] 舍作的不够
[61:54] 所以会导致
[61:55] 就是每个方向的压强
[61:57] 给的都不够
[61:58] 毛细血管就扎了一点血
[62:00] 他的复盘是对的吗
[62:01] 是的
[62:02] 那这会不会是
[62:03] AI很多公司的现状
[62:04] 对
[62:05] 2.0也是这样
[62:06] 是
[62:07] 很多公司都这样
[62:08] 是
[62:09] 所以如果重新来一次的话
[62:10] 你会舍哪些
[62:12] 你刚才说要舍掉安防
[62:13] 对
[62:14] 我觉得
[62:15] 我觉得我们金融
[62:16] 跟手机这个业务
[62:17] 做的都不错
[62:18] 所以
[62:19] 我觉得可能那里面
[62:20] 还有一个底层原因
[62:21] 是因为我们觉得
[62:22] 那个不够大
[62:23] 哪个不够大
[62:24] 就原来这些
[62:25] 每一个锤类不够大
[62:27] 所以一直想找更大的
[62:30] 所以这个可能也是
[62:31] 找更大的
[62:32] 对
[62:33] 所以这也跟当年
[62:34] 创业的第一阶段吧
[62:36] 可能内心意图比较大于我
[62:39] 你觉得这里面
[62:40] 哪个是最大的
[62:41] 当年肯定觉得安防最大
[62:43] 所以才打安防这样找
[62:45] 对
[62:46] 对
[62:47] 然后后来发现
[62:48] 为什么攻不下来呢
[62:49] 就以前
[62:50] 我觉得安防是一个
[62:51] 安防本质上是一个
[62:52] 看似是2B
[62:53] 但其实是一个
[62:54] 以2G为核心的市场
[62:55] 就是
[62:56] 这基本上是以政府
[62:57] 和政府相关的SOE
[62:58] 往外延展的
[62:59] 这样一个B端市场
[63:00] 当然这里面
[63:01] 其实也分为
[63:02] 这个市场
[63:03] 和一些
[63:04] 一面向渠道
[63:05] 和分销的一些
[63:06] 所谓的中小比市场
[63:07] 这个市场
[63:08] 其实它还是
[63:09] 比较强的
[63:10] 比较强的
[63:11] 比较强的
[63:12] 比较强的
[63:13] 比较强的
[63:14] 比较强的
[63:15] 比较强的市场
[63:16] 其实它还是营销
[63:17] 营销的占比非常高
[63:20] 同时在这里面谈
[63:22] 这里面也是
[63:23] 我们软硬件结合
[63:24] 其实在硬件上
[63:25] 我们之前
[63:26] 和我们其实
[63:27] 在原来的1.0时代
[63:28] 非常坚持软硬结合的
[63:29] 硬件作业比较多
[63:31] 但整个硬件
[63:32] 其实我们当时理解
[63:33] 也非常浅
[63:34] 因为硬件
[63:35] 它不光是一个产品
[63:36] 它其实是一个
[63:37] 从供应链到研发
[63:38] 带到市场
[63:39] go to market的
[63:40] 一个全链条
[63:41] 所以我觉得硬件理解
[63:43] 也比较粗浅
[63:44] 所以我觉得我们可以说
[63:45] 技术上我们是掌握了
[63:46] 这个增量
[63:48] 因为有AI
[63:49] 跟原来安保的结合
[63:51] 但是从产品角度
[63:52] 和市场角度
[63:53] 我觉得都不占优势
[63:54] 我们中间也有一段
[63:55] 窗口期
[63:56] 那段窗口期其实
[63:58] 因为在那段窗口期里面
[63:59] 其实AI 1.0公司
[64:00] 也有不同的商业选择
[64:02] 比如说我们可能选择的是
[64:04] 自己去做完整的解决方案
[64:06] 也有公司可能是选择
[64:07] 去提供一项技术
[64:08] 来赋能这些
[64:10] 已有的这些玩家
[64:12] 所以基本上
[64:13] 在每个AI战场上
[64:15] 都会这样
[64:16] 就是有人是去赋能的角色
[64:18] 有人是要自己想去
[64:19] 做完整这个闭环的
[64:21] 那就得看你的技术的
[64:22] 撬动力足不足不大
[64:24] 能不能让你在那个
[64:25] 实验窗口期能够打赢
[64:26] 已有的玩家
[64:27] 所以我觉得最后
[64:28] 其实如果现在回头来看的话
[64:30] 其实是
[64:31] 挑战是非常大的
[64:33] 结果也比较难
[64:34] 更好的选择会是什么呢
[64:35] 如果以今天
[64:36] 更高的认知来看
[64:39] 更好的选择
[64:40] 我觉得第一还是要回顾
[64:41] 之前说战略
[64:42] 叫想做能做可做
[64:44] 这三个结果
[64:45] 现在交集
[64:46] 首先我觉得就是
[64:47] 想做还是很重要的
[64:49] 因为想做会让你
[64:50] 对这个行业
[64:51] 或者这个产品
[64:52] 会能够持续投入
[64:53] 如果你不想做
[64:54] 你做一会儿
[64:55] 你可能又
[64:56] 其实我之前一直
[64:57] 也被内部团队讲
[64:58] 说做安防
[64:59] 老是坐着坐着
[65:00] 又想往外这个撤
[65:03] 对吧
[65:04] 所以
[65:05] 就内心不想做
[65:06] 对 安防这个行业
[65:07] 本身我觉得是非常好的行业
[65:09] 也在国内和世界上
[65:10] 市场也很大
[65:11] 但我觉得可能
[65:12] 内心确实不够想做
[65:14] 也没有排斥
[65:15] 是但是不够想做
[65:16] 对吧
[65:17] 然后能做代表你
[65:18] 其实这个行业本身
[65:20] 你的核心的基因和能力
[65:21] 能够撬动
[65:22] 比如说刚才讲的
[65:23] 比如说在安防领域里面
[65:25] AI的能力
[65:26] 硬件的能力和市场能力
[65:27] 我们可能三个里面
[65:28] 只占其一
[65:29] 这其一里面
[65:30] 所以可能它就只有一个窗口期
[65:32] 在这个窗口期间
[65:33] 你需要补另外两项能力
[65:34] 这两项能力其实也是要管理
[65:36] 其实有很多很多很复杂的东西
[65:38] 不是
[65:39] 很多东西是时间不可压缩的
[65:41] 所以也比较难
[65:43] 所以这是能做吧
[65:44] 可做我觉得是
[65:45] 源于外部的市场环境
[65:47] 到底有没有在这个环境
[65:48] 给你这个机会
[65:49] 所以坦诚讲
[65:51] 本身AI这样一种大赛道
[65:54] 其实得等待这样这三个的交集
[65:57] 这个交集不是一直出现
[65:59] 所以等待这个交集
[66:00] 你有机会抓住
[66:01] 那可能就能够有一些
[66:03] 阶段性的结果
[66:05] 过去十年
[66:06] 如果只打一场仗
[66:07] 应该打哪场
[66:08] 过去十年只打一场仗
[66:11] 我觉得应该打车这场仗
[66:13] 那你们怎么
[66:14] 保证11年到16年的生存问题
[66:17] 对
[66:18] 那就得看融资和讲故事能力了
[66:22] 但所以这里面就一样
[66:23] 就是你得很坚定在一个赛道上
[66:25] 同时你还能活到那个阶段
[66:28] 其实前面就是靠等
[66:30] 所以过去十年的AI
[66:31] 如果只打一场仗应该打车
[66:33] 那个all in只能驾驶
[66:35] 那你觉得在过去十年中
[66:37] 有机会做这样的选择吗
[66:39] 有啊
[66:40] 有很多这样的选择
[66:41] 只是
[66:43] 我就只是没有做取舍
[66:45] 什么时间是最好的取舍时间
[66:47] 我觉得
[66:49] 我觉得还是19年20年前后吧
[66:51] 就是我说于凯他们做那个抉择的
[66:54] 可能
[66:55] 对可能可以比他们晚一点
[66:56] 我觉得可以再晚一两年
[66:57] 都来得及
[66:59] 为什么没有做抉择呢
[67:01] 我觉得创业是有很大的惯性的
[67:03] 然后你在那个阶段
[67:04] 包括有资本市场的想法
[67:06] 所以大家肯定
[67:07] 当时我觉得大家目标还是很想
[67:10] 去上市形成一个本雷达
[67:12] 对吧
[67:13] 就是大家都觉得
[67:14] 资本市场总是感觉是一个目标
[67:16] 但其实回头看资本市场是一个
[67:18] 很关键的活下去的一个中间节点
[67:21] 但上市真的不会改变任何本质的东西
[67:24] 本质应该是什么样的
[67:26] 本质我认为还是
[67:27] 还是业务
[67:28] 就是你真正好的产品
[67:30] 然后好的经营产生好的利润
[67:33] 然后这个利润能够反补你持续做好的技术
[67:36] 形成这样一个更良性的循环吧
[67:38] 上市不应该成为一个目标
[67:40] 对上市
[67:41] 就是大家都这么说
[67:43] 但是很难对吧
[67:44] 就是
[67:45] 为什么很难
[67:46] 我没有身在其中
[67:47] 我感受不到
[67:49] 因为你为了上市
[67:50] 你其实要做很多
[67:52] 你要放弃很多正确的事情
[67:54] 比如说你需要更专注在业绩上
[67:57] 短期业绩上
[67:58] 对吧
[67:59] 业绩要做得更好
[68:00] 对吧
[68:01] 你可能要放弃长期投入
[68:03] 所以挺难
[68:04] 今天那个
[68:05] 我看是这个IBM郭世纳去世嘛
[68:07] 所以大家
[68:08] 当时在复盘
[68:09] 他当年
[68:10] 他认为CEO要做的事情
[68:11] 就是确实是在长期和短期间去做取舍
[68:14] CEO就是要能顶住压力去做那些长期正确的事
[68:17] 这事是说得很容易
[68:19] 但做起来会非常非常难
[68:21] 上市的短期诱惑有多大
[68:25] 对我现在没有太大的那个
[68:29] 因为现在AI2.0的这几小只也很多在上市
[68:34] 对
[68:35] 你怎么看
[68:36] 你会看到这个的时候怎么想
[68:38] 我觉得对不同企业不一样
[68:39] 有些企业是不上未来可能就很危险
[68:42] 从不管从现金到未来的商业故事是不是能成立
[68:46] 所以也拿了很多融资嘛
[68:48] 所以需要在这个节点能够上调
[68:50] 能够给投资人和股东有一个交代
[68:52] 我觉得也是正确的一个选择
[68:55] 但是很多
[68:56] 我认为很多公司上市之后其实就变得
[68:59] 就基本上就退出了竞争
[69:02] 因为上市之后
[69:03] 第一可能释放了他自己核心竞争的一些动力和压力
[69:07] 第二点可能
[69:08] 因为上市的一些限制其实他也使得他很难真的去持续投入到
[69:12] 比如说像鸡模这些事情上
[69:14] 其实他得有非常强大的战略和坚定的耐心
[69:19] 坚定做这件事情是蛮难的
[69:22] 因为一开始你每个行业都能进
[69:24] 是
[69:25] 那你选择哪个呢
[69:27] 我觉得还是要选择技术
[69:30] 技术这个像一个雪坡一样
[69:32] 技术足够深
[69:33] 就技术得足够难
[69:34] 同时市场规模得足够大
[69:36] 单一市场得足够大的
[69:37] 这两个条件其实所以想来想去
[69:39] 我觉得也只有车
[69:40] 比如说手机这个领域
[69:42] 手机我们其实一直做得挺好的
[69:43] 我们在手机里面我们是比如像手机影像
[69:46] 我们一直前两名
[69:47] 但手机因为手机的OEM体系非常集中
[69:50] 所以其实他最后会放给第三方的供应商的整个上限就不大
[69:55] 比如就是10个亿的这种盘子
[69:57] 我们在这里面你第一名可能切5到6个亿
[70:00] 第二名切2到3个亿
[70:01] 就是这样
[70:02] 这个上限是非常有限的
[70:04] 所以而AI的在100体系
[70:06] 它其实本质上第一2C
[70:08] 我觉得是很难有机会
[70:09] 至少这些团队大家没有真正2C的
[70:12] 当时的积累是比较难的
[70:14] 如果从2B角度的话
[70:15] 选择客户比较集中
[70:17] 同时总盘的最大的
[70:18] 其实就是这几个消费终端领域
[70:21] 就是车手机这两个大的行业
[70:23] 所以车会更分散一些
[70:25] 所以这个行业更适合供应商来去把总规模做大一些
[70:30] 这是你今天做这个选择的一个原因之一吗
[70:34] 我觉得一部分吧
[70:35] 就是
[70:36] 我觉得进入的车行业
[70:38] 我觉得更重要点
[70:39] 我认为车是通往巨声的最重要的路径
[70:42] 所以打车这样一张不是为了打车
[70:44] 是为了打巨声智能
[70:46] 对
[70:47] 但是巨声智能太远了
[70:48] 你得活到那个时候
[70:49] 对 5到7年吧
[70:50] 5到7年
[70:52] 落地的是人型机器人还是什么
[70:55] 我觉得肯定是一个
[70:56] 更具通用性的巨声的这个构型
[70:58] 是不是一定是个人型
[71:00] 我觉得它可能在局部还是会跟人更接近一点
[71:02] 因为大家讲到这个兼容性的问题
[71:05] 对吧
[71:06] 你自己的这些桌子椅子空间的这些规格
[71:09] 都是按照人的这样一个尺寸来设计的
[71:11] 所以肯定是能对人的很多具有兼容性
[71:15] 肯定会更好
[71:17] 我还有第三个感受
[71:19] 就是我觉得矿石的人都很聪明
[71:21] 然后你们人才密度非常的高
