[00:02] 就在京都在鸭川边上
[90:47] 它们会相互影响
[90:49] 当然你看豆包现在就是
[90:50] dominate的这个type bot
[90:52] 那很有可能字节
[90:53] 会实现整个这个闭环
[90:54] 我不仅决定到你看什么
[90:56] 我还决定你怎么想
[90:57] 我可以轻易完全操控一个人
[90:59] 所以AI时代
[91:01] 大模型时代有平台机会吗
[91:02] 综上
[91:03] 会有啊
[91:04] 大模型本身
[91:05] 这只是一种
[91:06] 今天chatbot本身
[91:08] 用一种新的媒介信息
[91:10] 用一种新的媒介信息
[91:12] 你会看到一种流逝的
[91:14] 给你出的实时生成的内容
[91:16] 这是一种新的媒介信息
[91:17] 对吧
[91:18] 以前人类没见过
[91:19] 并且为它发明了
[91:20] 对应的交互形式
[91:21] 这是新平台
[91:23] 但我觉得肯定还会有人
[91:25] 有天才定义出新的媒介形式
[91:27] 和对应的交互形式
[91:28] 嗯
[91:29] 产生对应的平台
[91:30] 这个还是会有的
[91:31] 但肯定不是短视频
[91:32] 你不可能再是一个短视频
[91:33] 骚扰
[91:34] 对
[91:35] 你肯定不会是骚扰
[91:36] 你为什么尝试播客呢
[91:37] 对
[91:38] 说回播客那个东西
[91:39] 当时我就在想
[91:40] 还有什么新媒介的机会
[91:41] 我就在想
[91:42] 坦白说
[91:43] 这里面一定是有
[91:44] 移动互联网时代的
[91:45] 这种思维惯性的
[91:46] 这惯性是很强的
[91:47] 所以我当时的第一反应就是
[91:49] 哎
[91:50] 这个所有内容都在变短
[91:51] 这个文字在变短
[91:53] 视频也在变短
[91:55] 那为什么音频这么长呢
[91:56] 我一听就听一个两个小时
[91:58] 能不能把它也变短呢
[92:00] 这个惯性
[92:01] 对这个很惯性
[92:02] 对
[92:03] 就为什么没变短这个事
[92:04] 我就在想
[92:05] 我当时抛出了一个猜想
[92:07] 坦白说这是个猜想
[92:08] 它有很多不solid的部分
[92:10] 但我当时猜想就是
[92:11] 可能过去的交互形式
[92:13] 非常不利于短的音频的内容
[92:15] 因为音频内容
[92:17] 作为一个很典型的
[92:19] 你双手肯定
[92:20] 没有人会端着手机听音频
[92:21] 对
[92:22] 你一定是把手机放在边上
[92:23] 或者是你不方便碰手机的时候
[92:25] 对
[92:26] 才去听音频
[92:27] 那为什么音频产品是GUI的呢
[92:30] 就你都已经不方便碰手机了
[92:31] 为什么它是GUI的呢
[92:33] 这是个很奇怪的事情
[92:35] 所以当时我在想
[92:36] 如果
[92:37] 因为大模型是有语音交互能力的
[92:38] 很自然的
[92:39] 很强的语音交互能力
[92:41] 那是不是能带来一种
[92:42] voice user interface
[92:44] 通过语音进行交互的可能性
[92:46] 是不是语音的交互
[92:47] 会天然带来
[92:48] 短的音频的内容的机会呢
[92:50] 怎么把它做短
[92:52] 我怎么来找这些短音频
[92:54] 新平台
[92:55] 新媒介
[92:56] 一定需要新供给
[92:57] 就比如说
[92:58] 有chaphouse
[92:59] 它装进了很多播客
[93:01] 这个的原因
[93:02] 主要是因为播客是个开放生态
[93:04] 这些内容本身就是比较容易
[93:05] 用这个RS feed就可以收集好
[93:08] 所以我们当时想来做一些尝试
[93:10] 但这是注定不可能对的
[93:12] 这其实我知道它一定是不对的
[93:14] 因为
[93:15] 就好像你做了个抖音
[93:16] 去分发优酷的视频
[93:18] 你肯定是不对的
[93:19] 你体验肯定是差的
[93:20] 所以肯定是要找到
[93:22] 原生于这种交互形式的内容
[93:24] 所以我们当时做这个产品
[93:25] 主要是先
[93:26] 很快做了个语音的交互
[93:28] 然后找到免费的内容
[93:29] 能装进去的先装进去
[93:31] 自己感受一下
[93:32] 我们花了一些时间
[93:33] 在找原生于这种交互的短内容
[93:36] 坦白说我确实没有太找到
[93:38] 对
[93:39] 要找到了
[93:40] 那就我们会把它好好做好的
[93:42] 所以这是个问号
[93:44] 就留给我的一个问号
[93:45] 到底语音交互的平台
[93:48] 语音交互的音频平台
[93:50] 能不能变成一个用嘴刷的抖音
[93:52] 我不知道
[93:53] 其实我到今天也不是非常清楚
[93:55] 但是这个
[93:57] 其实当时我们尝试的时候
[93:59] 有些是比较现成的
[94:00] 大家都能想到
[94:01] 一些偏新闻类的
[94:03] 往往这种新闻类的播客都比较短
[94:05] 都是一分钟
[94:06] 最多的十几分钟
[94:07] 其他的一些内容类型
[94:08] 其实我们也做过一些尝试
[94:09] 比如是一些故事类的
[94:11] 比如小说
[94:12] 你想短剧
[94:13] 剧都可以变短
[94:14] 电视剧都可以变成短剧
[94:15] 为什么长篇的那种小说的语音
[94:18] 不能变成一段一段的短的
[94:20] 节奏更快的
[94:21] 我们都做了一些尝试
[94:22] 但我觉得
[94:24] 比如说一个剧每段很短
[94:26] 就短音频剧
[94:28] 它本质上还是长的
[94:30] 其实我不太需要中间几个交互
[94:32] 不太能发挥语音交互
[94:34] 给用户带来的
[94:35] 我不碰手机听音频
[94:37] 也能跟他交互的好处
[94:38] 是不明显的
[94:39] 所以我们最后当时有一个猜想
[94:42] 当然这个事也无法验证
[94:44] 确实语音交互
[94:45] 听语音的场景
[94:46] 有一个问题的东西是
[94:47] 它不仅仅是你不能碰手机
[94:49] 往往你还在干点什么别的事
[94:51] 它是一个陪伴性的
[94:52] 对它是一个伴随性
[94:54] 我当时听过
[94:55] 也是听了一个播客
[94:56] 我也是听了某一个播客
[94:57] 这也是个冷知识
[94:58] 它就说人的视觉信号
[94:59] 占据的应该是80%多的注意力
[95:01] 留给听觉信号的注意力是非常少的
[95:03] 你在听音频的内容的时候
[95:07] 大概率上你的视觉信号
[95:08] 是在干别的事情
[95:09] 不仅仅是不碰手机的问题
[95:11] 它一定是在干点什么别的事
[95:13] 所以你本身留给你的信息带宽
[95:15] 就已经很少了
[95:16] 你的注意力带宽就已经很少了
[95:17] 所以如果你还把它搞成一个短的
[95:19] 节奏更快的
[95:20] 信息密度更大的东西
[95:21] 人可能是不舒适
[95:23] 你接受不了
[95:24] 所以这个是
[95:25] 对到最后对这个事
[95:27] 我们也觉得不是那么清晰的部分
[95:29] 做了多久
[95:30] 三四个月
[95:31] 从立项到推出来
[95:33] Maybe差不多吧
[95:34] 停了没
[95:35] 就是放着
[95:37] 我们当时没有找到合适的内容之后
[95:39] 就没有继续的深度探索
[95:41] 这对你来说当时感到挫败
[95:43] 坦白说单纯这个项目本身
[95:45] 并没有感到挫败
[95:46] 因为一开始预期就没有很高
[95:48] 因为在这之前和在这之后
[95:50] 我们尝试过很多个东西
[95:51] 每一件东西它开始之前
[95:53] 我对它就没有期望了
[95:54] 就没有很高的期望
[95:56] 甚至整个团队
[95:57] 大家也没有很高的期望
[95:59] 我们可能是在
[96:00] 我们在一年多的时间里
[96:02] 在这个团队
[96:03] 这部分团队是少数
[96:04] 真的不怎么加班的团队
[96:05] 我们几乎不怎么加班
[96:07] 因为
[96:08] 早几晚起
[96:09] 就晚上大概七八点钟就走了
[96:11] 早上我们就正常十点多
[96:13] 十一点
[96:14] 反正就节奏不是很快
[96:16] 坦白说节奏不是很快
[96:17] 其实刚才我提到钱的问题
[96:19] 钱其实只是很小一部分
[96:21] 包括团队的心力也很重要
[96:24] 所以我觉得
[96:26] 不知道的时候就是不知道
[96:27] 我们就是会说
[96:28] OK 我们现在有一些猜想
[96:30] 但没有形成很完整的理念和体系
[96:33] 这种情况之下
[96:34] 我们做这个东西
[96:35] 有一个常识
[96:36] 就是做个实验
[96:37] 发现这个实验存在一些问题
[96:39] 一开始猜想可能有些漏洞
[96:41] 我们换个猜想再试一试
[96:43] 我们前面的几个产品
[96:44] 都是类似这样的状态
[96:46] 其实当时我刚出来的时候
[96:47] 也会有人跟我聊
[96:49] 投资人什么的聊一聊
[96:50] 其实我都会主动跟人家说
[96:52] 我说你不要期待
[96:53] 我做下一个又是喵牙
[96:54] 这个概率是很低的
[96:56] 对 我觉得
[96:57] 我们大概率社会
[96:58] 会尝试很多乱七八糟玩意的
[97:00] 我们应该会尝试很多东西之后
[97:02] 直到形成一个
[97:03] 我自己非常笃信的
[97:05] 我愿意把公司所有的资源
[97:06] 压上去的事情
[97:08] 我觉得那个时候
[97:09] 我们自然会去大力去做
[97:10] 反过来没有的时候
[97:11] 我也会告诉你
[97:12] 真的就没有
[97:13] 我也会
[97:14] 团队也好
[97:15] 你也好
[97:16] 投资人也好
[97:17] 但我们反过来
[97:18] 也会用最小的成本
[97:19] 不管是资源的角度
[97:21] 还是人的角度
[97:23] 在一个比较克制的状态下去
[97:24] 去度过中间的学习的过程
[97:26] 除了播客这个项目
[97:27] 还有什么没有上线的项目
[97:28] 其实也没必要一一展开
[97:30] 我再举个例子
[97:31] 比如说我们刚刚出来的
[97:32] 做的第一件事
[97:33] 我做的第一件事
[97:34] 我觉得就是pause
[97:36] 就是拆GPT pause
[97:37] 我当时在想
[97:38] 这个大模型
[97:39] 都是我需要给它说一些东西
[97:41] 它才给我一些回复
[97:42] 为什么不能主动给用户推东西
[97:44] 因为移动互联网
[97:45] 最重要的机会
[97:46] 就是推荐取代了搜索
[97:47] 把主动获取信息
[97:48] 变成了被动获取信息
[97:50] 所以我们当时就在做这样的事情
[97:53] 很快就做了一个版本出来
[97:54] 内部用
[97:55] 其实体验还挺好的
[97:56] 你订阅一些主题
[97:57] 它会给你推一个
[97:58] 就相当于它会把内容先爬过来
[98:00] 做全面的散
[98:01] 打散成最原子的内容
[98:02] 再把这些内容
[98:03] 根据你的信息进行重组
[98:05] 其他也有人在做这个
[98:06] 对
[98:07] 蓝超也是类似
[98:08] 对
[98:09] 是的
[98:10] 我们都做了个demo出来
[98:11] 我用了用
[98:12] 用了用之后
[98:13] 我最后觉得
[98:14] 发现有两个问题
[98:15] 这个也很
[98:16] 这个都没上线
[98:17] 就我们自己内部用了用
[98:18] 我还用了一段时间
[98:20] 其实也有用
[98:22] 但是还有两个
[98:23] 大的问题
[98:24] 第一个问题是什么
[98:25] 你会发现
[98:26] 真正有价值的信息
[98:29] 有人工已经整理了
[98:31] 经常大家提到的这种需求
[98:32] 一提到这个需求
[98:33] 都是说OK
[98:34] 这个信息太冗杂了
[98:35] 每天都看不完的信息
[98:36] 这好多东西都是低纸的
[98:37] 或者重复的
[98:38] 然后看到一个干净的
[98:39] 不重复的
[98:40] 精炼的
[98:41] 为我产生的精炼的信息
[98:44] 但是你会发现
[98:45] 比如说AI
[98:46] 我们自己也会有AI
[98:47] 这样的主题
[98:48] 它出来的内容
[98:49] 和比如说每天的
[98:50] 头部的这种科技媒体
[98:52] 比如小胡日报
[98:53] 的内容
[98:54] 重复度会非常高
[98:55] 再比如说我们去做
[98:56] 什么商业新闻
[98:57] 跟生动早咖啡
[98:58] 重复度也很高
[99:00] 因为大家真正
[99:01] 观众的事情就这么多
[99:02] 真正重要的事情
[99:03] 有人会去整理
[99:04] 没人去碰的信息
[99:05] 非常小众
[99:06] 它就很边缘
[99:07] 这是第一个需求层面的
[99:09] 一个问题
[99:10] 它有一个
[99:11] 说白了
[99:12] 就刚才我说
[99:13] 它不是个one way door
[99:14] 它有替代性解法
[99:15] 比如说我想听商业信息
[99:16] 我早上起来
[99:17] 听个生动早咖啡
[99:18] 我想看一些AI圈的大事
[99:19] 我订阅一个什么
[99:20] 小胡日报
[99:21] 或者一些这种
[99:22] briefly的这种
[99:23] 就可以了
[99:24] 它有替代性解法
[99:25] 它没有办法实现one way door
[99:27] 另外还有一个很重要
[99:28] 另外一层也很重要
[99:30] 信息分发的
[99:31] 整个信息发生意
[99:33] 它的商业模式是建立在
[99:34] 对人注意力的抢夺上
[99:36] 我占据你越多的注意力
[99:38] 我就能够获得
[99:39] 越大的商业价值
[99:40] 刚才我说
[99:41] 终极形态就是短视频
[99:42] 就剥夺你的自由
[99:43] 获取信息的权利
[99:44] 它自然就有
[99:45] 无限的商业价值
[99:46] 这个事是against
[99:47] 这整个模式的
[99:49] 我是为你节省时间
[99:51] 做一个saving
[99:52] save time的信息分发产品
[99:54] 是不可能赚到钱的
[99:56] 就即便是有极少数高竞职的人
[99:58] 为你真的付了一点订阅费
[100:00] 这个太小了
[100:02] 因为他们觉得
[100:03] kill time的这个赛道太卷了
[100:06] 因为这个需求
[100:07] 你在谈及这个需求的时候
[100:09] 就是个save time的需求
[100:11] 坦白说这是另外一个话题
[100:12] 我其实整体并不是非常看好
[100:14] kill time的任何需求
[100:16] 你说kill time还是save time
[100:17] kill time
[100:18] kill time的任何需求
[100:19] 你不看好
[100:20] 我不看好
[100:21] 其实原因很重要
[100:22] 很简单
[100:23] 这是个猜想
[100:24] 这是纯粹的猜想
[100:25] 也许是很暴露
[100:26] 就是短视频
[100:28] 这个媒介形态和kill time的方法
[100:30] 很有可能已经接近了
[100:33] 人脑能承受的上限
[100:34] 人类的极限就在这里
[100:36] 为什么会这么说呢
[100:37] 其实做过这个短视频
[100:38] 和推荐算法的人都知道
[100:39] 其实每家的推荐算法里
[100:41] 都有专门的ts更长的算法筒
[100:45] 就可以让用户刷
[100:46] 每天更长时间的算法筒
[100:48] 但是这种筒的长期留存
[100:50] 都是下降的
[100:51] 就是短线你可以更高的留存
[100:53] 和更高的ps
[100:54] 但长线是下降的
[100:55] ok
[100:57] 这个东西就像吸毒一样
[100:59] 短视频已经是
[101:00] 我们知道是海洛因
[101:01] 是吧
[101:02] 冰毒它确实能
[101:04] 让人有更强的成瘾性
[101:06] 有更强的刺激性
[101:07] 那你就很容易把你的
[101:09] 你的客户磕死了
[101:11] 人脑不能再承受
[101:12] 比短视频更强的刺激了
[101:15] 它会产生负向效应
[101:16] 包括你看
[101:17] 其实今天很多人
[101:19] 很多人都提出这个观点
[101:21] 他不愿意刷抖音了
[101:22] 开始用小红书
[101:23] 有很多理由
[101:24] 但是我觉得这里有一个
[101:25] 很重要的原因
[101:26] 就是小红书给了你一定的信息自主权
[101:30] 你至少可以在阴的流里看一看
[101:33] 再决定进去要看多久
[101:35] 决定要不要进去看
[101:37] 你进去看短视频的时候
[101:38] 很多人也会滑动一会儿
[101:40] 但你滑了一会儿
[101:41] 会感觉滑累了
[101:42] 你可以退出来
[101:43] 再浏览一会儿
[101:45] 这个其实就是刚才我说的
[101:47] 它在提供大麻
[101:49] 到底大麻是更好的生意呢
[101:51] 还是海捞烟是更好的生意呢
[101:53] 其实不一定
[101:55] 但冰毒大概率上
[101:56] 不会是一个更好的生意
[101:58] 所以我觉得不是说
[102:00] 大家一定发明不了冰毒
[102:02] 也许在AI时代
[102:03] 大家能发明更牛的
[102:04] 冰毒式的
[102:06] 但无论是从生理的角度
[102:08] 社会伦理的角度
[102:10] 还是从真实的用户
[102:12] 最后长期数据的反馈的角度
[102:14] 能不能承受
[102:15] 我其实要打个巨大的门号
[102:17] 就很简单
[102:18] 今天短视频每天让你刷两个道士
[102:20] 你难道要发明一个
[102:22] 能让用户刷三个小时的东西吗
[102:23] 五个小时的东西吗
[102:24] 这个我觉得不是特别的对
[102:27] 所以我不是特别看好
[102:29] 创造一种新的kill time的东西
[102:31] 你也说不看好save time
[102:33] 我是不看好save time
[102:35] 你不能在信息分发
[102:38] 这样一个事情上做save time
[102:41] 信息分发天然就是一个kill time
[102:44] 来完成商业闭环的东西
[102:46] 我占据你越多的时间
[102:47] 占据你越多的注意力
[102:48] 我就有越多的商业空间
[102:50] 这个业务的本质就是这样
[102:52] 但你不能在这样一个业务里去save time
[102:54] 这个就直接背离了你的商业模式
[102:56] 但AI整体肯定是会有save time的
[102:59] 或者叫生产力
[103:00] 生产力的机会是肯定的
[103:01] 没有任何问题
[103:02] 我是指
[103:03] 比如我们当时做那个东西的
[103:05] 一个很大的问题就在于
[103:06] 你尝试在一个商业模型
[103:08] 商业模式就建立在消耗用户注意力的东西上
[103:11] 去节省用户的注意力
[103:13] 那你就整个反了整个商业模式
[103:15] 所以你商业就停了
[103:16] 这个做了多久
[103:17] 也类似吧
[103:18] 其实基本上就是
[103:19] 是定型的吗
[103:20] 没有 也顺行了
[103:22] 我们没有那么着急
[103:23] 坦白说没有那么着急
[103:24] 因为钱多
[103:25] 不是因为钱多
[103:26] 是因为如果你不知道
[103:28] 你就不能着急
[103:29] 你都知道自己没有搞得很懂
[103:32] 那着急的去做
[103:33] 那不就是会带来更多的损耗吗
[103:35] 所以选择状态先够着
[103:37] 你要去试嘛
[103:39] 需要去看嘛
[103:40] 一边做一边去看
[103:41] 需要摸手感
[103:43] 真的想明白的事情就长期去做
[103:45] 就比如我们做游戏这件事
[103:46] 一开始就想得很明白
[103:47] 包括我们对这个事怎么IP构建
[103:49] 然后
[103:50] 这个游戏该怎么做
[103:51] 都想得很明白
[103:52] 为什么不只做游戏这个事
[103:54] 有两个原因
[103:56] 第一个原因是
[103:57] 游戏这件事情
[103:58] 一定是一个注定
[103:59] 长周期慢反馈的东西
[104:01] 这也是我们做这个的
[104:02] 刚才我说其实一二三
[104:04] 第三个理由
[104:06] 就是游戏是一个天然
[104:08] 和巨头竞争
[104:09] 比较舒适的区
[104:11] 比较舒适的区
[104:12] 为什么呢
[104:13] 因为游戏本质是个内容产业
[104:15] 它不是互联网产业
[104:17] 所有的内容型游戏
[104:19] 它都注定是长周期的
[104:21] 今天你让比如字节这样的
[104:23] 这么年轻有活力的团队
[104:25] 去做一件快的事情
[104:26] 它是不怕的
[104:27] 就是你上了一个东西
[104:28] OK我也要上一个
[104:29] 一个礼拜给你干一个出来
[104:31] 但如果这个事说
[104:32] 两年后才能上线
[104:34] 做两年上线
[104:35] 每两年绝对上不了线
[104:37] 是很难做的
[104:39] 因为所有大厂的管理机制
[104:42] 都非常这天然会不利
[104:44] 半年要考核绩效
[104:45] 对因为这是一群人的事
[104:47] 以前的人要给
[104:48] 中层中层还要给高层
[104:50] 就一层的又一层
[104:51] 你总不能弄得很模糊
[104:53] 你这儿模糊
[104:54] 那其他的团队怎么办
[104:55] 大家都模糊吗
[104:56] 所以清晰这个事
[104:58] 对大厂是很重要的
[104:59] 清晰避免
[105:00] 意味着你要快反馈
[105:01] 而内容这个产业
[105:03] 它就是蛮反馈
[105:05] 就是不清晰
[105:06] 你拍个电影
[105:07] 两年中间就是很模糊的
[105:09] 你也说不清楚
[105:10] 到底对还是不对
[105:11] 不然不会这么多烂片
[105:12] 你就要拍两年
[105:13] 你是什么电影
[105:14] 两年后见
[105:15] 拍好了就OK
[105:16] 拍不好就是不OK
[105:17] 好
[105:18] 所以包括你像
[105:19] 比如我们刚刚进行了第一次内测
[105:21] 效果非常好
[105:22] 我不怕大厂看到
[105:24] 你想做一年后见
[105:25] 至少一年半后见
[105:26] 你可以做一个比我更好的
[105:28] 你可以比我做一个更大的
[105:29] 更贵的
[105:30] 但你不可能压缩这个时间
[105:32] 所以这是一个天然
[105:34] 在大厂不舒适区域的地方
[105:36] 但反过来
[105:38] 它就是注定是个慢的东西
[105:40] 我们的第一个游戏的内容
[105:42] 也一定不能是一个很高投入的东西
[105:45] 就不能一口气吃个胖子
[105:47] 因为你会发现
[105:48] 所有的游戏公司
[105:49] 其实基本都是这样的一个路径成长起来
[105:51] 你要从零开始的话
[105:52] 先做一个小一点的内容
[105:53] 去验证你的基本模式
[105:55] 打磨你的管线
[105:56] 打磨你的团队
[105:57] 比如说崩坏一
[105:59] 崩坏三
[106:00] 直到做出原神
[106:01] 包括以你这个赛道
[106:02] 比如蝶子
[106:03] 先从暖暖开始
[106:04] 暖暖完了之后
[106:05] 是炼狱制作人
[106:06] 又是闪耀暖暖
[106:08] 再下来又是炼狱生物
[106:09] 它也是一样
[106:10] 它投入越来越大
[106:11] 因为你需要积累你的内容的感知
[106:14] 以及核心的团队
[106:15] 所以我们在第一个内容上
[106:17] 游戏这个事情上一定是一个
[106:18] 又长周期慢反馈
[106:20] 同时又不会投入特别大资源的东西
[106:22] 投入了多少资源
[106:23] 具体数字就不好讲了
[106:25] 但它一定不会特别的贵
[106:27] 因为你需要控制变量
[106:29] 这个游戏跟AI的关系是什么
[106:32] 为什么不就直接做一个游戏
[106:33] 为什么要做AI游戏
[106:34] 这就是一个很有意思的问题
[106:36] 首先刚才我对AI陪伴这个事有那几个判断
[106:38] 还有另外一个反面
[106:40] 就是说OK
[106:41] AI加到游戏里面
[106:42] 就加到女性
[106:43] 比如以女这个事情
[106:44] 到底能不能带来新机会
[106:46] 你也不能说
[106:47] 这两个东西强绑到一起
[106:48] 这个逻辑是这样的
[106:49] 就是以女游戏
[106:50] 它背后作为一个内容产业
[106:52] 它本质是造IP的过程
[106:54] 造以女游戏造IP
[106:56] 和造星其实是很像的
[106:58] 你比如说今天的《电影升空》的几个男主
[107:01] 他就是明星
[107:02] 就是idol
[107:03] 他的用户的很多体验和心理
[107:05] 都是非常近似的
[107:06] 而任何一个IP
[107:08] 任何一个IP
[107:09] 都一定会有四个要素
[107:11] 其中第一个要素就是
[107:13] 价值观和态度
[107:14] 是它的内核
[107:16] 任何一个IP都是这样的
[107:17] 包括你比如爱马仕
[107:19] 他的精神内核
[107:20] 老钱
[107:21] 贵族
[107:22] 他的态度
[107:23] 他的价值观
[107:24] 另外三个要素就是围绕着这个东西的三个表象
[107:28] 第一个表象叫做视觉包装
[107:30] 你长啥样
[107:31] 你能贴合你这个价值观
[107:33] 爱马仕城
[107:34] 那些条文格
[107:35] 等等这些东西
[107:36] 或者你比如一个明星
[107:37] 一个王一博
[107:38] 很酷的
[107:39] 长相非常酷的
[107:40] 墨绿的这样的颜色
[107:41] 它一定是要表达他的精神内核的
[107:44] 第一视觉包装
[107:46] 第二作品表达
[107:48] 你一定要有作品
[107:49] 这个作品是打双眼号的
[107:50] 你比如说一个明星艺人
[107:52] 需要有他的歌
[107:54] 或者是他的电视剧
[107:55] 或者他的电影
[107:56] 爱马仕需要有他的包
[107:57] 有他的商品
[107:58] 所有的IP
[108:00] 第二层叫作品
[108:01] 作品表达
[108:02] 这个作品表达也一定要紧扣你的价值观
[108:05] 第三个东西叫做用户交互
[108:08] 你如何跟你的用户进行互动
[108:10] 比如说一个主播
[108:14] 比如一个直播主播
[108:15] 他肯定就是一个互动为核心的IP
[108:18] 我每天都要跟用户在直播间去跟你进行互动
[108:21] 或者有一些专门的互动形式
[108:23] 这是任何一个IP必须有的几个要素
[108:26] 而有一个很有意思的一个点是
[108:28] 一个IP的视觉包装和内容表达
[108:30] 和他的用户交互
[108:32] 一定会有一个翘翘版效应
[108:35] 什么意思呢
[108:36] 越贵的IP
[108:38] 他一定要更低品质
[108:40] 更高质量的内容表达
[108:43] 但要降低自己的用户交互
[108:45] 为什么
[108:46] 这很简单
[108:47] 说人的话大明星不能老出来
[108:49] 不然人设就崩了
[108:51] 大品牌爱马仕永远不会上电商直播的
[108:55] 永远不会上电商直播
[108:56] 大明星也不会上什么直播间里没事跟你互动
[108:59] 包括很多大明星
[109:01] 比如开一个什么小红书
[109:02] 你会发现没有当红大明星开小红书的
[109:05] 没有持续营业的
[109:06] 都是拿小红书去做卖货等等这些东西的
[109:09] 就比如今天最顶流的不会这么干的
[109:11] 会开官方微博
[109:12] 但它是单项输出
[109:13] 微博本质是个单项输出
[109:15] 它不是个交互
[109:16] 他们绝对也不会去开直播的
[109:18] 不如我们举个极端的例子
[109:20] 比如说给顶流明星复刻一个AI人设
[109:23] 让用户能跟他聊天
[109:25] 这个事情很简单
[109:26] 但这个事注定一定不成立
[109:27] 一定不成立
[109:28] 因为你一个真的顶流的明星
[109:30] 干了这个事情只会破坏你的整个用户交互体验
[109:33] 你一定要把每次亮相
[109:36] 你的每次亮相都要很慎重
[109:38] 都要足够牛
[109:39] 才能保证你是一个顶级的IP
[109:41] 是一个贵的豪华的IP
[109:44] 另外也有一点
[109:45] 部分IP天然是以互动性为优先
[109:48] 这就是为什么会有这个直播间主播
[109:51] 为什么会有AKB48
[109:53] 这是最典型的
[109:54] 就明明有大明星
[109:55] 但为什么还会有AKB48
[109:57] 这样的一种形式的明星出现
[109:59] 它天然就是以互动为生的
[110:02] 今天的疑女游戏全部都是造大明星的东西
[110:06] 全部都是造大明星的东西
[110:07] 它是单项给你输出内容
[110:09] 内容的量也不会很大
[110:11] 但是确实非常昂贵
[110:12] 越做越贵
[110:13] 在这条路上
[110:14] 你是一定卷不赢
[110:15] 今天最头部的公司
[110:17] 它就是做最贵的就好了
[110:18] 我做一个IP十个亿
[110:20] 你有十个亿吗
[110:22] 这个游戏很简单
[110:23] AI带来的一个变数就是
[110:25] 你可以创造以互动性为优先的IP
[110:28] 让用户看得见摸得着
[110:29] 能每天够得到它
[110:31] 那么这种IP呢
[110:32] 最终一定要有更多的内容表达
[110:35] 更多的用户接触
[110:37] 包括它的定位
[110:38] 一定是不可能是高高在上的
[110:40] 甚至包括你说一个疑女游戏里的人物的设定
[110:43] 我知道你估计你不玩疑女游戏这种东西
[110:46] 一般比较常见的
[110:47] 比如说把总
[110:48] 酷哥等等这些东西
[110:50] 你甚至都大概率上
[110:52] 不能把它做成一个高高在上的定位
[110:54] 你一定是个服务型
[110:55] 所以我觉得AI带入到疑女游戏的行业里来
[110:59] 它可以做一件
[111:02] 今天的比如说
[111:03] OK很多人会说
[111:04] 疑女游戏自己加个这个功能不就得了吗
[111:06] 它加个聊天没多难
[111:08] 不可能
[111:09] 为什么
[111:10] 他们也在想怎么做AI的
[111:12] 对
[111:13] 他们再怎么想
[111:14] 他们绝对不会在自己的游戏里
[111:16] 把这些人做成可以AI聊天
[111:18] 他不能这么做
[111:20] 因为他做的就是大明星
[111:22] 这就和你把王一博做了个AI聊天
[111:25] 可以随便去聊是一样的
[111:27] 不会干这个事的
[111:28] 它可以再开一条线
[111:29] 对那是另外一个产品
[111:31] 它可以再开一个产品
[111:32] 换句话说
[111:33] 以AI为内核的
[111:35] 以互动性为内核的
[111:37] 疑女游戏和疑女IP
[111:39] 和以表现为核心的
[111:41] 以头部明星打造为核心的
[111:43] 它就是两种东西
[111:44] 它没有办法做在一个产品
[111:46] 所以这不是一个今天炼狱升空
[111:48] 炼狱升空不就是炼狱升空
[111:49] 加一个AI聊天
[111:50] 不是这样的
[111:51] 你没有办法这样补
[111:52] 他想做的话
[111:53] 他也需要再专门做一个
[111:54] 以AI互动为优先的IP
[111:57] 这两种的用户画像会不一样吗
[112:00] 其实本质是一回事
[112:02] 是一拨人
[112:03] 还是一拨人
[112:04] 是一个大的人群
[112:06] 但是在一个大的人群当中
[112:08] 是有更细分的画像的
[112:09] 我举几个简单的例子
[112:11] 有的人就会喜欢
[112:12] idol要离自己更近一些
[112:14] 我能够看得见摸得着
[112:15] 讲究这个idol
[112:16] 跟自己的互动性和陪伴性
[112:18] 可得感
[112:19] 我就喜欢仰望大明星
[112:21] 首先这两个需求
[112:22] 是可以发生在同一个人身上的
[112:24] 你可以喜欢
[112:25] 同时喜欢两种明星
[112:26] 但确实也有一些人
[112:27] 不喜欢大明星
[112:28] 有些人就是喜欢互动性的IP
[112:31] 就是这样
[112:32] 总体来讲
[112:33] 这是一个大的移民用户群体
[112:35] 但是他们会有各自
[112:36] 更强的倾向性
[112:37] 比如说我们的这个方向上
[112:39] 它一定是二次元的
[112:41] 更二次元的
[112:42] 而不是更三次元的用户
[112:44] 比如今天由于
[112:45] 恋与生空3D的出现
[112:47] 其实乙女游戏已经破圈了
[112:49] 很多原来三次元的用户
[112:50] 被拉成了乙女游戏的用户
[112:53] 但这部分用户
[112:54] 天然一定更喜欢的是大明星
[112:57] 一定是更喜欢大明星
[112:58] 而讲究每天的可得感
[113:00] 互动感的
[113:01] 一定是更二次元的
[113:02] 包括你看我们其实做的是2D
[113:04] 都是有这些考虑的
[113:05] 我们做的是2D
[113:06] Live2D的东西
[113:07] 除了我们上一次
[113:08] 我在原因创业的整个情怀以外
[113:11] 都是有这些考虑的
[113:12] 提前考虑过这些东西
[113:13] 我们要做的是更二次元的用户
[113:15] 你们这个游戏团队有多少人
[113:17] 一半
[113:18] 20人
[113:19] 这其中有做游戏的人多
[113:20] 还是做AI的人多
