[00:04] 我应该是公司第一个离职的人
[108:58] 比拼人才密度
[108:59] 比拼这个决策速度
[109:01] 或者比如说张一鸣
[109:05] 就是他早年采访的时候说
[109:08] 最后拼的是什么
[109:08] 最后拼的是大家对某一件事情的认知的差异
[109:12] 对
[109:13] 那可能就是这些东西了
[109:14] 但是互联网时代不像今天这么的需要算力
[109:19] 需要卡
[109:20] 需要钱
[109:21] 就是它的资源的总耗量远远不如今天
[109:25] 所以你觉得应用公司的优势会是什么呢
[109:28] 当你如果有一天商业价值足够大
[109:31] 要去跟模型公司和大厂竞争的时候
[109:33] 其实就还是刚才提到的那些点
[109:37] 因为对应用公司来讲
[109:39] 现在这个阶段唯一的
[109:42] 很唯一的优势就是速度
[109:44] 嗯
[109:45] 就是对就是就是速度是说
[109:49] 速度是说你和对手的这个距离
[109:52] 它随着时间的变化是在变大还是变小
[109:56] 那至少在今天这个时间点
[109:59] 每一个每一个应用公司
[110:02] 它在一张地图上面
[110:05] 如果有一个目标
[110:07] 它应该和大厂或者是机奏模型的那个位置
[110:11] 它至少应该是领先的才对
[110:13] 它中间应该是有一段距离差才对
[110:15] 嗯
[110:16] 就不能说是一个应用公司
[110:18] 它在要实现那个目标
[110:19] 其实它的起点是低于某一个机座模型厂商的
[110:23] 你说的起点是起步的时间还是什么
[110:26] 包括起步的时间
[110:29] 包括业务的状态
[110:32] 然后包括就刚才提到
[110:34] 你到底是以一个什么样的方式
[110:36] 来去开始做这个产品
[110:38] 这些都会决定你的起点
[110:39] 嗯
[110:40] 对
[110:42] 那它意味着什么呢
[110:43] 就是当你的位置有一个距离差的时候
[110:47] 那剩下的事情就变成保持或者是扩大这个距离差
[110:51] 就会转化成为这个问题
[110:54] 今天的模型能力对你们来说足够吗
[110:57] 你觉得模型能力的screen load有放缓吗
[111:00] 你说多模态的模型吗
[111:02] 视频这个场景吧
[111:04] OK
[111:05] 还是刚才说的那个点
[111:07] 我们认为今天的视频模型或者是多模态的模型
[111:11] 它处于比较早期的一个状态
[111:14] 但是不代表它没有商业价值
[111:16] 对
[111:17] 这个我认同
[111:18] 对
[111:19] 只是说今天的商业价值其实是这个技术
[111:22] 非常早期的那个阶段
[111:24] 就是它未来应该释放出
[111:26] 就是比今天大非常非常多的商业价值才对
[111:29] 所以回到你的问题
[111:31] 今天的能力对我们来说是否足够
[111:34] 这个其实我们没有办法去
[111:38] 没有办法去说
[111:40] 它够或者不够
[111:42] 因为我们只能在已有的技术范围之下
[111:44] 去做产品
[111:46] 然后去产生商业价值
[111:48] 那只能是说
[111:50] 如果用户需要的
[111:52] 就是能够产生商业价值的那个效果是
[111:55] 某一个水平
[111:57] 那模型能力它还达不到
[112:00] 那就是我们需要通过system2的部分来去补全这部分的价值
[112:05] 那我们补全这部分的价值所产生的成本
[112:09] 和用户愿意为此去付的费
[112:13] 这个东西到底它是一个赚钱的状态
[112:16] 还是一个亏钱的状态
[112:18] 就是关键问题其实是这个
[112:20] 因为我们没得选
[112:21] 就是机座模型它的能力今天就是在这里
[112:23] 它是在变化
[112:24] 我们也看到它在变化
[112:26] 但是这个事情我们既不能控制
[112:28] 也无法就是也着急不了
[112:31] 对就是不要去做模型能力边界之外的事情
[112:36] 就是今天只能这样
[112:38] 2025年大家都会说是agent的元年
[112:40] 或是产品爆发的元年
[112:41] 但是我觉得到已经到11月份了
[112:43] 好像进度不如我们年初的时候的预期
[112:46] 你觉得卡店在哪里
[112:48] 你有觉得时间线是在往后延迟的吗
[112:53] 我其实倒没有这么觉得
[112:55] 我其实倒没有这么觉得
[112:56] 因为其实有不少的产品已经证明了自己是有赚钱的能力了
[113:03] 对吧包括代码的agent
[113:06] 然后包括manus
[113:08] 然后包括
[113:10] 他们在不同的模态上面
[113:13] 然后在不同的工作场景上面
[113:16] 都证明了是可以赚到钱的
[113:18] 对所以我并不会觉得说是
[113:22] 我觉得这种低预期很多时候
[113:26] 产品公司是证明自己挣钱的能力
[113:29] 比模型公司快是吗
[113:30] 倒也不是
[113:32] 我说已经被证明是说
[113:35] 这件事情
[113:37] agent的这种方式
[113:39] 然后用agent的方式进入到某一个商业问题
[113:42] 它有价值
[113:43] 这件事情是可以被证明的
[113:45] 不管是用所谓壳的方式
[113:47] 是用workflow的方式
[113:48] 还是用所谓agent的方式
[113:50] 它都能够产生价值
[113:52] 它是有效的
[113:54] 问题其实在于说
[113:56] 大家可能觉得不够多
[113:58] 没有出现
[114:00] 勃勃生机万物进发的
[114:02] 这么一个状态对吧
[114:06] 你觉得有没有
[114:07] 我感觉没有
[114:09] 因为还有很多公司
[114:12] 它是在一种进水深流的状态
[114:15] 进水深流还是进水流生
[114:17] 进水流生
[114:18] 进水流生的状态
[114:20] 对
[114:21] 因为不同的领域
[114:24] 它对于模型能力的要求
[114:27] 然后包括对于这个领域的knowhow的梳理
[114:30] 然后把它变成system2
[114:32] 它的进度是不一样的
[114:35] 比如说语言
[114:38] 就是所谓文字这件事情
[114:40] 那很显然是模型能力最成熟的
[114:43] 那也不要去跟大模型公司卷了吧
[114:46] 但是其实也可以去做
[114:48] 也有一些更垂直的场景
[114:50] 他们能够赚到钱对吧
[114:52] 比如说像海卫
[114:53] 比如说像open evidence
[114:55] 在法律
[114:57] 然后在医疗的这些场景
[114:59] 他们也能够赚到钱
[115:00] 他们的生意也很大
[115:02] 法律跟医疗肯定是很大的赛道
[115:06] 也不是说模型厂商
[115:08] 不知道对吧
[115:09] 但是比如你看open evidence
[115:11] 它为什么能做好
[115:12] 是因为它有更好的system2的context
[115:15] 它做了大量的专库
[115:17] 它的数据质量就是更高
[115:18] 所以就还是回到刚才那个问题吧
[115:21] 就是每一个领域
[115:23] 它的条件都是不一样的
[115:26] 就是它对于模型能力的要求
[115:28] 就是今天模型能力的ready程度
[115:30] 然后包括说这个领域
[115:32] 要去梳理它的knowhow
[115:33] 比如说你要去建立所谓的这个专库
[115:36] 然后再叠加上
[115:38] 团队的状态资源
[115:40] 这些东西都不一样
[115:42] 但是这条路是有效的
[115:44] 这条路是指说
[115:46] 用以模型为核心的agent也好
[115:50] workflow也好
[115:51] 来去解决某一个商业问题
[115:54] 产生用户愿意买单的经济商品
[115:58] 这件事情是完全被验证的
[116:01] 刚才我们说了
[116:02] 模型公司和产品公司的编解问题
[116:04] 其实编解是越来越模糊的
[116:06] 大家都会相互渗透
[116:07] 那通用agent公司和垂类agent公司的
[116:10] 边界会在哪里
[116:11] 我觉得其实很难去说
[116:16] 今天有什么通用agent公司
[116:20] 就是垂直大家很好理解
[116:22] 但是通用agent公司似乎也不是
[116:27] 真正的通用
[116:30] 可能是有更多的垂直任务
[116:34] 或者说垂直领域问题
[116:36] 他们能够去解决
[116:38] 但是问题领域也不是无限的
[116:40] 我认为说今天的通用和垂直
[116:45] 它很像这么一个失描述的状态
[116:49] 千江有水千江月万里无云万里天
[116:53] 什么意思
[116:54] 千江水千江月
[116:55] 其实是我们这样的垂直的
[116:59] 其实我特别不喜欢用agent的词
[117:02] 为什么呢
[117:03] 因为我觉得
[117:06] 就是你不会去说一个互联网产品
[117:09] 是一个移动app产品
[117:11] 你会说这是一个app
[117:14] 你会说这是百度
[117:15] 这是今日头条
[117:17] 这是抖音
[117:18] 你不会说它是一个移动互联网的视频
[117:21] 那我可以说它是一个app对吧
[117:25] agent不是一个类似于app的概念吗
[117:28] 不是吗
[117:30] 我觉得agent是一个技术
[117:32] 就是它最终会被内化到所有的产品里面
[117:36] 就那个时候大家不会去
[117:39] 不会去说你是一个xxx agent
[117:42] 大家应该就是说它是
[117:44] 它的场景或者说就是这个产品的名字
[117:47] 就像今天我们不会说短视频app
[117:51] 不会说对吧
[117:52] 不会这么去描述抖音和tiktok
[117:55] 那是因为它这个名字占据这个品类
[117:59] 是
[118:00] 但是其实也有其他的类似的产品
[118:02] 但是agent我会认为它是一个技术
[118:05] 对不对
[118:06] 对回到
[118:08] 对回到刚才那个问题
[118:10] 就是像我们
[118:11] 像我们这样再去解决特定领域问题的公司
[118:15] 其实它里面有很多不同的agent
[118:20] 就是麻雀虽小但是五脏俱全
[118:23] 它里面有很多解决不同问题的agent
[118:27] 然后各种各样的tools
[118:29] 对
[118:30] 所以这个是所谓叫千江流水千江月
[118:34] 就是每一条
[118:35] 河里面
[118:37] 它其实都会有自己的
[118:40] 所谓的智慧
[118:41] 然后有自己的数据
[118:42] 然后有自己的商业价值
[118:44] 对
[118:45] 然后tomyo agent的竞争就万里无云万里天了
[118:49] 就是只能有一片天对吧
[118:51] 如果你是一个tomyo agent
[118:53] 我也是一个tomyo agent
[118:54] 那么最后一定只有一个tomyo agent
[118:56] 嗯
[118:58] 对
[118:59] 但是我觉得这其实只是一个今天发展到特定时间段的
[119:04] 一个很特殊的过渡的状态
[119:07] 因为垂直的agent
[119:12] 它也会慢慢去延伸自己的边界
[119:15] 对
[119:16] 比如说视频
[119:18] 视频它是很容易去降维成为其他的模态的
[119:23] 什么意思
[119:25] 比如视频
[119:27] 如果你把每一个画面都把它想象
[119:30] 就都把它变成一个图片
[119:33] 嗯
[119:34] 然后这个图片上面它可以
[119:36] 就是生成很结构化很漂亮的这些图和文字
[119:40] 然后甚至它还可以有图层
[119:42] 它其实就可以降维成为比如说PPT
[119:46] 嗯
[119:48] 对
[119:49] 只只不过说这个PPT它不是在office里面那样的一个东西
[119:53] 它可能是一个更
[119:55] 更
[119:57] 就是
[119:58] 就是有这样的展示效果
[119:59] 但是你可能没有办法去编辑里面具体的这种元素
[120:03] 嗯
[120:04] 但是这件事情其实今天来看
[120:06] 就是编辑这件事情它会变得越来越不那么重要
[120:09] 因为可能生产出来的东西它的质量就会越来越好
[120:12] 嗯
[120:13] 对
[120:14] 所以就是什么意思
[120:15] 就是说
[120:16] 其实今天在解决某个垂直问题的
[120:19] 这些应用这些公司
[120:21] 它的能力边界也是会慢慢去去拓展的
[120:25] 那么对于通用的这种公司来讲
[120:27] 大家去解决的那些问题一方面是会扩大
[120:30] 另外一方面也需要慢慢去做深
[120:32] 对因为每一个问题
[120:34] 就是用户最终是为效果买单的
[120:38] 是为效果和成本去买单的
[120:40] 就是我付出了多少钱
[120:41] 我一定希望拿到值得这个钱
[120:43] 甚至是高于这个钱的回报才对
[120:45] 嗯
[120:46] 那所以就是能够去完成的这个任务
[120:48] 能够去产生的东西
[120:49] 它的质量应该要越来越好才对
[120:51] 啊
[120:52] 所以就是通用的公司
[120:54] 他也需要去把特定的有价值的这些任务去做的更深
[120:58] 啊
[120:59] 那原本
[121:01] 这个范围窄的在扩大自己的范围
[121:04] 原本这个范围宽的公司
[121:06] 他要去做深自己的这个范围
[121:09] 嗯
[121:10] 所以最终
[121:11] 就是他
[121:12] 我觉得大家可能会殊途殊途同归啊
[121:15] 就是就是
[121:17] 啊
[121:18] 怎么说呢
[121:19] 就是最终还是会回到那个最朴实的道理
[121:21] 就是你到底在生产什么
[121:23] 你是在生产视频
[121:25] 还是在生产音乐
[121:26] 还是在生产PPT
[121:27] 那你生产的这些内容
[121:30] 到底用户需要花什么样的代价
[121:32] 来去得到一个什么样的效果
[121:34] 嗯
[121:35] 所以他就会变成
[121:36] 海上生平月天涯共死时
[121:40] 哈哈哈
[121:42] 最最爱念诗的房顶
[121:44] 嗯
[121:45] 哎
[121:46] 你之前说过一句话
[121:47] 我印象很深
[121:48] 你说AIS的公司最终都是生成系统公司
[121:50] 嗯
[121:51] 这个能不能解释一下
[121:52] 嗯
[121:53] 生成系统其实是一个我们
[121:55] 我们内部横造就
[121:57] 就从公司成立的第一天
[121:59] 就会和所有入众
[122:00] 会和所有入职的同事
[122:02] 大家去讲一个词
[122:03] 生成系统
[122:04] 对生成系统
[122:05] 嗯
[122:06] 这个其实跟
[122:07] 就是你的姚顺宇
[122:09] 姚顺宇的那期访谈就是
[122:11] 哎看完之后就会非常有
[122:13] 有共鸣啊
[122:14] 啊
[122:15] 非常会有这个这个有共鸣
[122:16] 他可能是更从算法的角度去思考
[122:18] 然后我们可能更多的是
[122:19] 在应用端去做这个时间
[122:21] 那什么是生成系统呢
[122:23] 嗯
[122:24] 就是你可以去
[122:26] 你可以去类比
[122:27] 比如推荐系统
[122:28] 嗯
[122:29] 推荐系统
[122:30] 它是一种方法
[122:32] 啊
[122:33] 它是一种方法
[122:34] 它是一种
[122:35] 呃
[122:36] 就是技术方法
[122:37] 用这种技术方法
[122:38] 你可以去
[122:39] 推荐各种东西
[122:40] 它是一种
[122:41] 通过对
[122:42] 信息商品和
[122:44] 用户的偏好
[122:46] 呃
[122:47] 经过算法去计算
[122:48] 嗯
[122:49] 来去进行关联
[122:50] 的这么一种技术的方法
[122:51] 那
[122:52] 你到底去推荐的是什么
[122:55] 这件事情是会有很多的
[122:57] 对
[122:58] 你可以推荐这个文章
[122:59] 哎
[123:00] 你可以去推荐视频
[123:01] 它会变成了抖音
[123:02] 对吧
[123:03] 嗯
[123:04] 你可以推荐段子
[123:05] 它会变成了皮皮虾和内涵段子
[123:06] 对
[123:07] 所以生成系统首先对我们来说
[123:08] 它是一个我们工作的方法
[123:10] 嗯
[123:11] 那
[123:12] 它可以生成系统里面
[123:13] 它可以生成各种各样的东西
[123:15] 嗯
[123:16] 对
[123:17] 今天我们做的可能是
[123:18] 这个视频啊
[123:19] 但是我们不是去
[123:21] 所谓叫generator视频
[123:22] 而是
[123:23] 包含generator的一个更广义的处理
[123:26] 嗯
[123:27] 对
[123:28] 那未来也可以用生成系统去做
[123:29] 其他的事情
[123:30] 啊
[123:31] 那到底生成系统它里面包含什么
[123:34] 我们认为它是由三个
[123:36] 三个模块构成的
[123:38] 第一个环节是
[123:39] 第一个环节是我们刚才讲的
[123:41] 其实整个生成系统它都是System2的部分
[123:44] 就是我们在做的System2就是一个
[123:46] 就是一个生成系统
[123:48] 它包含我们刚才提到有DSL
[123:51] 就是你的生成系统所要解决的那个问题
[123:56] 比如说是视频
[123:57] 所对应的底层的那个解决
[123:59] 就是DSL
[124:00] 就是视频到底该如何被准确的表达出来
[124:03] 视频的制作方法该如何被准确的表达出来
[124:06] 然后从DSL出发
[124:08] 其实我们刚才都已经
[124:09] 设计过了
[124:10] 都已经聊过了
[124:11] 就从DSL出发
[124:12] 你是可以再往上去构建整个
[124:16] 就是context的这个部分
[124:18] context它的范围
[124:20] 其实会更广
[124:21] 比如说
[124:22] 其实之前大家会有agent和workflow之争
[124:25] 对吧
[124:26] agent会觉得workflow
[124:28] 比较low
[124:29] 就是没有技术含量
[124:30] 然后workflow会说agent它不可控
[124:32] 然后它的成本太高
[124:34] 其实在我们内部是不会做这样的划分的
[124:38] 因为刚才已经提过了
[124:39] 就不管是agent的方式
[124:40] 还是workflow的方式
[124:41] 它本质上都是去产生
[124:43] 更多有效的context
[124:46] 产生更多有效的token
[124:48] 让System1的效果更好
[124:50] 这里面也包括
[124:53] 比如说领域knowhow的这种专库
[124:55] 这些其实本质上
[124:57] 就是刚才讲的
[124:58] 都是context
[125:00] 这些context它解决什么问题呢
[125:03] 其实我们在context之上还有一层抽象
[125:07] 就是我们去设想说
[125:09] 为什么需要这么多的context
[125:11] 为什么需要有效的context
[125:13] 其实本质上是在去解决
[125:16] 在去降低两种伤
[125:19] 一种伤是用户意图的伤
[125:22] 比如我很
[125:25] 很简单的一句话
[125:27] 一句指令
[125:29] 就是我要一个什么
[125:30] 对应到语言模型
[125:31] 我要一个什么什么样的报告
[125:33] 这是一个很模糊的一个指令
[125:35] 它代表的信息的范围是非常非常大的
[125:40] 对
[125:41] 在没有推理模型之前
[125:43] 其实它可能就写的
[125:44] 模型直接出的内容可能就不好
[125:46] 或者说模型它会有一种模式
[125:48] 叫反复跟你去确认说
[125:49] 你到底要写什么领域
[125:51] 你需要什么样的结构
[125:53] 有的模型可能会这么去做对吧
[125:55] 那推理模型
[125:56] 其实它就是去自动补了这些context
[126:00] 它有一个非常长的推理的过程
[126:02] 它提供了有效的context
[126:05] 它的结果就会变好
[126:08] 对
[126:10] 所以这个是对用户的意图
[126:13] 其实是通过这些context
[126:16] 来去把它的伤给降下来
[126:18] 然后另外其实还有一种伤
[126:20] 叫行动的伤
[126:22] 对
[126:23] 就是
[126:24] 你的
[126:25] 你的
[126:26] 系统
[126:27] 或者说你的这个智能体
[126:29] 它要去行动
[126:31] 它要去用工具
[126:33] 它去这个planning
[126:36] 对吧
[126:37] 那
[126:38] 它也需要更明确的这个信息
[126:41] 来去
[126:42] 这个让它做的更准确
[126:44] 嗯
[126:45] 为什么降低他们的伤
[126:46] 因为
[126:47] 它要做的是
[126:48] 就是你你的效果要能够足够可控
[126:52] 效果要足够好
[126:53] 一定意味着说
[126:54] 它去做的这个事情
[126:55] 要更明确
[126:56] 它是要精确
[126:57] 就精确让它要精确
[126:58] 要能够
[126:59] 让能够控制
[127:00] 就是你的
[127:01] 模糊指令
[127:02] 要能够转化成为精确行动的指令
[127:05] OK
[127:06] 并且这两件事情它是
[127:09] 它要能够
[127:10] 就是很好的去映射起来的
[127:12] 哦
[127:13] 这个是你们做的是吧
[127:14] 在system2上面做的
[127:16] 对它都是在
[127:17] 就是我们刚才讲说在context
[127:18] 这个范围之内
[127:19] 就是所有的context
[127:20] 我们认为它是在
[127:21] 一方面是在降低用户的意图intention的伤
[127:24] 然后另外一个作用是去降低
[127:27] 这个智能体活动的时候
[127:29] 它的行动的伤
[127:30] 嗯
[127:31] 对所以这是第二部分
[127:32] 然后第三部分
[127:34] 就是刚才也提到其实environment
[127:36] environment
[127:38] 它直观看上去是前面用户去活动的
[127:42] 这个软件的这个界面
[127:44] 但是可能和之前的软件
[127:49] 有一个很大的不同
[127:50] 就是
[127:51] 就是这个界面里面
[127:54] 它不光有人在活动
[127:56] 其实也有这个智能体在活动
[127:59] 甚至可能智能体活动的占比会越来越大
[128:02] 就是刚才讲了一个很模糊的指令
[128:05] 然后它其实可能对应的是很多的工作
[128:09] 嗯
[128:10] 但这些工作其实就并不是人在活动了
[128:12] 它是智能体在活动
[128:14] 嗯
[128:15] 对吧
[128:16] 那要能够实现这件事情
[128:18] 就一定意味着说
[128:20] 你的指令所转化成为的那些行动
[128:23] 嗯
[128:24] 它是能够在软件里面有对应的能力
[128:27] 是能够去对上的
[128:29] 嗯
[128:30] 对我要用我要用十个十个这个tools
[128:33] 那这些tools所对应的这些操作
[128:36] 啊
[128:37] 如果你要你要形成标注的能力
[128:40] 嗯
[128:41] 那人也是能够去介入到这件事情里面的
[128:44] 它可能对应的是按钮
[128:45] 然后它对应的可能是各种各样的goi的操作
[128:48] 嗯
[128:49] 对所以这些goi的操作
[128:51] 它依然会存在
[128:52] 但是它的主要的使用
[128:54] 主要使用者可能不是人了
[128:56] 嗯
[128:57] 啊它是它是为了一个就是这个智能体
[129:01] 更多的是去让智能体用的人
[129:03] 是通过这些goi来去
[129:06] 啊进行啊进行一些校验啊
[129:09] 或者说是进行一些这个这个微调的
[129:12] 嗯
[129:13] 并且这个环境
[129:15] 就是既然叫环境不叫软件
[129:18] 就意味着说它一定不是简简单单去记录
[129:20] 这些活动所产生的log
[129:22] 就是第一
[129:23] 它产生数据一定是可被学习的
[129:25] 嗯
[129:26] 嗯刚才讲的就是第一
[129:27] 这个环境里面
[129:28] 它一定要要能够和你整个的这个工作
[129:31] 工作方案能够映射上
[129:32] 对吧
[129:33] 呃
[129:34] 这个可能还得稍稍微再多讲点
[129:36] 因为跟你刚才讲的那个事情它就关联上了
[129:38] 嗯
[129:39] 就比如说你写的文章
[129:41] 比别人写的好
[129:42] 你说你有一些这个工作理由
[129:44] 你有些工作方法
[129:45] 嗯
[129:46] 那这个工作方法我们依然去
[129:48] 类比做菜这件事情
[129:50] 就说
[129:51] 呃
[129:52] 就今天的一些菜谱
[129:53] 尤其是中文的菜谱
[129:54] 它是非常不精确的
[129:55] 啊
[129:56] 就是盐少许
[129:57] 对吧
[129:58] 那这个东西你拿给另外一个人
[129:59] 他做菜的味道一定会不一样
[130:00] 嗯
[130:01] 但是如果说我对于一个做菜的过程
[130:03] 我把整个环境搭建的非常非常完善
[130:06] 完善到说
[130:08] 这个厨师他在第几分钟开始
[130:11] 他的动作
[130:13] 他下油的这个手臂的这个角度
[130:17] 然后这个油
[130:19] 他此时的温度
[130:20] 他的锅的温度
[130:21] 这些东西
[130:22] 就是在这个环境里面
[130:24] 他都是
[130:25] 呃
[130:26] 是有明确的这个信息的
[130:28] 嗯
[130:29] 并且可以被记录下来
[130:30] 并且是
[130:31] 呃
[130:32] 可以被另外一个系统所能够理解
[130:34] 并且能够去执行的
[130:35] 嗯
[130:36] 那就意味着说
[130:37] 你可以
[130:38] 把他的这个recipe
[130:40] 非常无损的传递出去
[130:42] 嗯
[130:43] 对
[130:44] 呃
[130:45] 对
[130:46] 所以这个是环境里面非常重要的一个环节
[130:48] 就是他必须得有一个这个编辑器
[130:50] 而且这个编辑器
[130:51] 他可能也会也会越来越复杂
[130:54] 但是他更多不是给人去使用的
[130:57] 嗯
[130:58] 呃
[130:59] 对这是
[131:00] 呃
[131:01] 当然就是还有更重要的一点是
[131:03] 就是一个环境
[131:04] 他里面已经需要有一个reward function
[131:07] 就刚才讲过
[131:08] 我们说
[131:09] 他是要有筛选出有效数据的能力的
[131:13] 那这件事情本身上就是一个
[131:15] 一个reward的一个一个概念
[131:17] 嗯
[131:18] 比如对于用户来说
[131:20] 你刚才说你不希望你的这个recipe
[131:23] 被别人这个拿走
[131:25] 但是你希望你自己用的时候
[131:26] 他是越来越好的
[131:27] 嗯
[131:28] 那这里就一定意味着说
[131:30] 模型是有第一他能够记录下来
[131:32] 第二他是有理解和筛选的这个能力
[131:35] 他把好的这个信息留下来
[131:37] 把你的好的方法记录下来
[131:39] 嗯
[131:40] 对所以他需要
[131:41] 他需要评价
[131:42] 然后他需要reward
[131:44] 嗯
[131:45] 对所以就是这三个
[131:47] 这是这是environment
[131:48] 然后他是就是整个这个事情
[131:50] 这个AI生成系统
[131:51] 他从DSL出发
[131:52] 然后去构建
[131:53] 所有的这些context相关的事情
[131:55] 然后最终以一个environment
[131:57] 来去呈现给用户和智能体
[132:01] 就是这整套东西
[132:03] 嗯
[132:04] 对我们来称为叫生成系统
[132:05] 嗯
[132:06] 我们这里讨论的是怎么搭建一个
[132:08] 特定领域的AI生成系统
[132:09] 是
[132:10] 你怎么评价一个
[132:11] 好的视频呢
[132:13] 嗯
[132:14] 好问题
[132:15] 好问题
[132:16] 嗯
[132:17] 这其实是一个非常典型的
[132:19] 开放域问题
[132:20] 嗯
[132:21] 对一个视频好不好
[132:22] 啊
[132:23] 那这里其实是
[132:25] 你是可以从
[132:27] 你可以从用户的这个行为
[132:29] 然后包括说
[132:32] 嗯
[132:33] 其实核心就是从这个用户的行为
[132:35] 你是可以抽象出
[132:36] 到底哪些视频是符合要求的
[132:39] 嗯
[132:40] 嗯
[132:41] 对比如
[132:43] 我们刚才讲说
[132:44] 有很多的这个活动是agent来去做的
[132:46] 那agent做完之后
[132:48] 对于一个用户来说
[132:49] 他没有做那么多的修改
[132:51] 那意味着说
[132:52] 对于这个水平的用户来说
[132:54] 这次的这个活动它是有效的
[132:57] 嗯
[132:58] 那这种方法对于这个用户来说
[133:00] 就应该被强化
[133:01] 啊
[133:02] 嗯
[133:03] 但是这里你看
[133:04] 这里看
[133:05] 它其实是
[133:06] 它是会区分人的
[133:08] 它的评判的方法是一样的
[133:11] 但是最后得到的
[133:13] 结果是不一样的
[133:15] 嗯
[133:16] 但是对于我们来说
[133:17] 我也讲过了
[133:18] 对于我们更有效的去提升整个系统
[133:23] 它的效果的方式是
[133:25] 我去做更专业的标注
[133:27] 我自己去做
[133:28] 嗯
[133:29] 我把这些know-how
[133:31] 我把这些方法
[133:32] 就是放到整个系统里面
[133:35] 让所有的这个用户
[133:36] 它都能够这个被动的去提升自己的这个能力
[133:40] 嗯
[133:41] 对所以
[133:42] 其实就是标注的那个环节
[133:44] 会更多的发生在我们内部
[133:46] 嗯
[133:47] 就像Meta Journey
[133:48] Meta Journey它内部是有所谓的艺术家这样一个角色的
[133:52] 你们有吗
[133:53] 当然有啊
[133:54] 叫什么
[133:55] 啊
[133:56] 你们的叫什么
[133:57] 你叫艺术家吗
[133:58] 我们还没有名字
[133:59] 哦
[134:00] 我们就叫PM
[134:01] 是PM去标注
[134:03] 呃
[134:04] PM要决定审美对吧
[134:06] 呃
[134:07] PM和那些有视频审美和制作能力的人
[134:12] 他们一起
[134:13] 嗯
[134:14] 嗯
[134:15] 你们审美制作能力是
[134:16] 是什么样的
[134:17] 人啊
[134:18] 我认为就是那些就是很会剪视频的人
[134:23] 你们是招进来的吗
[134:25] 呃有外部合作的也会有在内部的
[134:27] 就比如说你们要做的视频它是要为什么场景服务的吗
[134:32] 嗯
[134:33] 它是为哪一类的比如说B站的up主服务的
[134:36] 嗯
[134:37] 还是youtuber
[134:38] 这可能是一类啊
[134:39] 还是说导演
[134:40] 嗯
[134:41] 就是他的人群是什么样的
[134:42] 嗯
[134:43] 我们其实
[134:45] 就因为视频
[134:46] 因为视频它的这个内容会非常非常的广
[134:49] 对
[134:50] 对就是视频
[134:51] 有长的有短的
[134:52] 有娱乐的有严肃的
[134:53] 我们其实不会这么分
[134:54] 我们会把视频
[134:55] 我们会把视频认为是
[134:58] 它其实就是人
[135:01] 对于世界的一种信息化的构建
[135:05] 嗯
[135:06] 对就是比如物理世界
[135:08] 我用手机把它构建出来
[135:10] 嗯
[135:11] 它就变成了
[135:12] 就是我摄像头里面拍到的这个视频
[135:15] 嗯
[135:16] 这是物理世界的视频
[135:17] 我们面向的是另外一类视频
[135:18] 就从大的类型上面来说
[135:19] 我们面向的是理念世界的视频
[135:20] 啊
[135:21] 就梦里什么都有
[135:22] 对吧
[135:23] 就是理念世界
[135:24] 我们认为它是一个比物理世界
[135:25] 更广阔的一个一个世界
[135:26] 就是不是用手机
[135:27] 不是用摄像头能够拍出来的
[135:28] 啊
[135:29] 嗯
[135:30] 因为
[135:31] 不是大自然的视频
[135:32] 就叫物理世界吧
[135:33] 啊
[135:34] 不是物理世界的视频
[135:35] 哎
[135:36] 或者说不是用摄像头能够去解决的视频
[135:37] 啊
[135:38] 不是用摄像头能够去解决的视频
[135:39] 哦
[135:40] 嗯
[135:41] 因为
[135:42] 不是大自然的视频
[135:43] 就叫物理世界吧
[135:44] 哦
[135:45] 哎
[135:46] 为什么选这个这个角度
[135:47] 为什么从这里切入
[135:48] 因为物理视频
[135:50] 物理视频已经做的足够好了呀
[135:52] 哈哈
[135:53] 物理世界的视频已经有那么多的摄像头遍遍遍布在
[135:58] 到这个各种地方对吧
[136:00] 然后尤其是有手机
[136:02] 然后大家每个人都可以去把
[136:05] 某一部分的物理世界变成一个视频
[136:07] 啊
[136:08] 这个内容已经建设的足够好了
[136:10] 嗯
[136:11] 对
[136:12] 对
[136:13] 就就今天的
[136:14] 每个人有个手机就能做了
[136:16] 嗯
[136:17] 对
[136:18] 今天的短视频现在它是以物理世界的视频为为核心的
[136:20] 嗯
[136:21] 对
[136:22] 那理念世界的视频我们认为它还在非常早期的阶段
[136:26] 嗯
[136:27] 啊
[136:28] 理念世界的视频像什么呢
[136:29] 比如说
[136:31] 你去
[136:32] 你要去传递一个知识
[136:34] 你要去传递某种思想
[136:37] 比如说要把你们的文章变成一个视频
[136:40] 嗯
[136:41] 有两种方式一种方式你自己出来
[136:43] 让你去就是口播
[136:46] 嗯
[136:47] 这是一种方式
[136:48] 然后另外一种方式是讲到一个具体的知识点
[136:54] 然后讲到一个具体的这个理论
[136:58] 哎
[136:59] 它有对应的公式
[137:00] 然后它有对应的这个这个文字的动文字的动效
[137:04] 这个这个数字的动效
[137:07] 对吧
[137:08] 那它就和你真人出镜去说这个事情是不一样的
[137:12] 嗯
[137:13] 它代表的是你的理念
[137:14] 嗯
[137:15] 的视频化
[137:16] 对
