[00:03] 我思考所有的人类的经济史的时候
[52:04] 开始陆陆续续研发出来
[52:06] 所以他其实又进入到了一个
[52:08] 一个比较折腹的一个时期
[52:10] 就相对于是所有的C端的
[52:12] 流量都相对固定
[52:14] 那么这些
[52:15] 新的创新
[52:16] 无论是产品的创新还是技术的创新
[52:18] 实际上就进入到一个潜伏期
[52:20] 其实前面也是
[52:22] 也是一样的
[52:23] 你想整个
[52:24] 这个6年之后
[52:25] 爆发的这些
[52:27] 这些这个
[52:28] UEC产品实际上他们很多都是脱胎在这个
[52:31] 这个门门外
[52:32] 门户时代
[52:33] 门户时代他们就开始酝酿了
[52:35] 所以我现在越来越
[52:36] 倾向于是不是把它叫做某一种
[52:39] 折腹或者这个
[52:41] 集聚力量的这个时期
[52:42] 所以在那段时间
[52:44] 我认为全球的这个投资的市场包括中美两国
[52:47] 实际上在SaaS上是花了很大力气的
[52:49] 在云
[52:50] 在SaaS上是花了
[52:51] 很多力气的所以那段时间
[52:53] 我也
[52:54] 就做了不少这个SaaS就偏这方面的这个投资
[52:57] 另外一方面呢就是在那段时间我就开始思考
[53:01] 因为
[53:01] 当我第一次经历PC互联网的时期的时候呢
[53:05] 我就感觉很兴奋
[53:06] 这就是一个工作
[53:07] 到移动互联网的时候呢也很兴奋
[53:09] 觉得
[53:09] 从PC换到手机
[53:11] 我觉得这很自然
[53:12] 就很自然不需要想
[53:15] 可是等到
[53:16] 等到
[53:18] 这两个周期都结束的时候
[53:19] 然后我可能也到了一定年纪
[53:21] 然后可能也
[53:23] 回头看也十几年的这个投资成员当时
[53:26] 所以当时我就在想这下面会不会
[53:28] 有没有一些底层的规律
[53:31] 在人类整个
[53:31] 科技的进步史里面
[53:33] 就到底这些在什么位置
[53:36] 否则你就变成一个讲故事
[53:37] 今天
[53:38] 这个PC好那个
[53:39] 我在想然后我就把这个时间
[53:41] 再往前这个思考可能主要的这个认知形式
[53:45] 是这个电视
[53:47] 在PC之前
[53:48] 那我尝试再往前思考我发现
[53:50] 还容易想那前面就会有一个收音机
[53:52] 然后等我再把这个东西再
[53:54] 扩大化的时候我发现似乎这一切
[53:56] 其实这一切的密码的确是在流量
[53:59] 不光是线上
[54:01] 线下也在于流量
[54:03] 对不光是
[54:04] 这个线上的
[54:05] 电力产生之后的这种天台
[54:07] 电力产生之后你
[54:08] 收音机再往前就电报
[54:10] 在没有电的时候呢没有电的时候实际上信息的传输
[54:13] 就是沿着道路展开的
[54:14] 所以就是
[54:15] 公路
[54:16] 铁路
[54:17] 运河
[54:17] 所以当时我这个
[54:19] 想
[54:20] 这个
[54:21] 往上想之后呢我突然
[54:23] 觉得我似乎
[54:25] 有一个支点
[54:25] 这个支点就是我思考所有的人类的
[54:28] 经济史的时候
[54:30] 因为你可以找各种不一样的计划
[54:31] 我当时就选择流量作为我的
[54:32] 核心的支点
[54:33] 在我看来
[54:34] 所有的这个
[54:35] 人类这个历史
[54:37] 它本质上是一种
[54:39] 某种程度的
[54:40] 你叫它流量也好
[54:41] 然后叫它移动也好
[54:43] 叫它连接也好
[54:44] 其实它本质上就是这样一个历史
[54:46] 只是
[54:47] 人类历史在很长很长时间
[54:49] 里面
[54:50] 最大的
[54:51] 社交类产品
[54:53] 就是城镇
[54:54] 就是一个城市
[54:56] 就是为了城市展开的
[54:57] 这个城市有多少人
[54:59] 它就有多少人
[55:00] 它就有多少人
[55:01] 有多少DAU
[55:02] 所以这个城市老是在这种
[55:05] 道路的这个
[55:06] 汇集的地方或者是在
[55:08] 比如运河汇集的地方
[55:09] 或者是在港口
[55:12] 所以我建立这个观点之后
[55:14] 我倒过来想
[55:15] 那实际上我只能
[55:17] 就是人类每一次科技变革
[55:18] 最后推动的都是流量方式的革新
[55:22] 你无论是叫注意力经济
[55:24] 还是说你这里
[55:25] 诞生了一个新的繁华都市
[55:27] 实际上就是
[55:29] 你无论人住在哪好
[55:30] 注意力在哪也好
[55:31] 然后你就会产生商业形态
[55:33] 所以当时我就在想
[55:35] 因为已经穿越了两个周期
[55:36] 的确我也想不到
[55:38] 下一个2C的形态是什么
[55:39] 当时我认为
[55:40] 我的猜测就是下一个2C形态
[55:42] 就当时元宇宙也比较火
[55:43] 就是
[55:44] 当时我想
[55:45] 有可能是眼睛的某种形态
[55:46] 它相当于用眼睛替换了手机
[55:48] 对用眼睛部分
[55:50] 就当时
[55:50] 肯定是大家都不会认为眼睛的天使
[55:53] 能抢部分就不错了
[55:55] 抢一部分的手机
[55:56] 手机如果能抢到10%到20%
[55:58] 那也相当不错
[55:59] 所以谷歌当时第一次发
[56:01] 它的AI眼镜的时候
[56:02] 全世界还是很澎湃的
[56:04] 就去看能不能有一些新的流量形式
[56:08] 但的确我认为
[56:10] 历史总是在你
[56:11] 意想不到的地方
[56:12] 最后AI出来把流量形态给抢掉了
[56:15] 我觉得这个是很有意思的
[56:18] 所以是流量掌握这个世界的分配权
[56:21] 对
[56:22] 你想到了这些关于流量的理论以后
[56:25] 你有做什么吗
[56:26] 这个一方面就是
[56:27] 继续去找这些2C的投资
[56:29] 之外呢
[56:29] 就其实我还是尽量
[56:31] 因为我一定是一个
[56:33] 就是怎么说呢
[56:34] 一种理论一定要足够的
[56:36] General
[56:37] 就是它的解释力越强
[56:39] 其它越一般
[56:40] 它的解释力越强
[56:41] 就当你把这些东西抽象到一点的时候
[56:45] 其它解释力就强
[56:46] 后来我有一次
[56:47] 有些小的灵感
[56:49] 我觉得我有的时候会
[56:50] 让我比较兴奋
[56:51] 比如说
[56:52] 钢铁的大规模运用
[56:54] 钢铁的发明
[56:56] 跟流量有关系吗
[56:58] 看上去毫无关系
[56:59] 我就没有办法把材料
[57:01] 材料的革命和我这件事情
[57:03] 合在一起
[57:04] 但后来我突然想
[57:05] 铁路
[57:06] 对 铁路是一个
[57:07] 但更重要的是
[57:08] 有了钢铁的大规模使用之后
[57:11] 城市变得立体了
[57:12] 城市的DAU大幅度上升
[57:15] 在没有钢铁的时候
[57:16] 实际上绝大部分城市
[57:18] 它都是平的
[57:19] 我只能修个
[57:20] 几层楼
[57:21] 但是有了钢筋混凝土之后
[57:22] 所有的城市变得立体
[57:24] 上千万DAU的城市
[57:26] 才能够产生
[57:27] 所以我后来发现
[57:28] 其实很多都是
[57:29] 指向同一个方向
[57:32] 这个是让我在这个思考过程当中
[57:34] 一个乐趣的
[57:36] 流量会形成某一个超级节点
[57:38] 在各个事情
[57:39] 对 超级节点
[57:41] 最早的节点就是城市
[57:42] 城镇
[57:43] 现在的节点除了城市之外
[57:45] 还有互联网产品
[57:47] 这个超级节点需要有双边网络效应吗
[57:51] 超级节点不一定需要
[57:53] 就是你历史上这些门户
[57:55] 有双边网络效应的优秀产品
[57:57] 那一定是流量节点
[57:58] 一定是新的城镇
[57:59] 你可以认为现在所有的这个
[58:02] 优秀的互联网图类产品
[58:03] 它都是一个个巨大的城镇
[58:05] 甚至是巨大的市场
[58:08] 就是相当于大可敌国的市场
[58:11] 那在AI时代你觉得它会
[58:13] 怎么形成新的流量
[58:15] 入口 怎么有新的流量的分配
[58:17] 今天看得清楚吗
[58:19] 今天肯定这些模型公司
[58:21] 大模型公司如果胜出的肯定
[58:23] 已经
[58:24] 构成了这个流量的
[58:25] 新一代的入口
[58:26] 但现在的确
[58:28] 我们想看有没有
[58:31] AI原生的
[58:32] 这种无论是
[58:34] 有双边网络效应的
[58:35] 还是
[58:36] 还是比如说有一些
[58:39] 特别的像图像社区
[58:41] 有些特别优质内容产生的
[58:42] 这样一些平台
[58:45] 你觉得过去20年有哪些产品
[58:47] 是符合你说的
[58:49] 大的流量节点的
[58:51] 几乎出来这些都应该符合
[58:52] 全市是吗
[58:53] 对
[58:54] 能形成最大流量节点的这些产品
[58:56] 有共性吗
[58:58] 它的共性
[58:59] 我觉得
[59:00] 第一肯定是数字化
[59:02] 肯定是你把线下
[59:03] 当你作为一个先行者的时候
[59:05] 你越早把线下的某种
[59:08] 行为信息交易
[59:10] 线上化
[59:11] 那不像阿里
[59:12] 那这就构成了
[59:13] 一个节点
[59:14] 对另外一种
[59:15] 你形成了某种双边网络效应
[59:18] 双边网络效应是一种壁垒
[59:20] 对
[59:21] 因为双边网络效应的形成
[59:22] 它是需要一点点搭建
[59:24] 需要你在产品上
[59:25] 就是
[59:26] 非常精巧的一些
[59:28] 一些设计
[59:30] 你要初步搭建起来
[59:31] 所以在任何一个时代
[59:33] 如果你能找到一种
[59:34] 比较巧妙的双边网络效应
[59:36] 并把搭建起来
[59:37] 然后又突破了
[59:38] 一定量
[59:39] 跌优一定量
[59:40] 那远远的巨头实际上是比较
[59:42] 难马上就追短
[59:45] 所以AI时代来了
[59:46] 你就变得又兴奋回来了是吗
[59:48] 对AI时代对
[59:49] 有点黯然
[59:51] 倒也不能把你这么说
[59:52] 因为我对
[59:53] 就像我说我对2B的投资
[59:55] 对SaaS投资
[59:56] 因为毕竟我自己也干过这段时间
[59:58] 对所以这个可能
[59:59] 作为工作上的热情还有
[60:01] 但是的确
[60:03] 作为2C的投资
[60:04] 就可能是对我是更持久的一个
[60:06] 一个爱好
[60:08] 你是什么时候意识到
[60:10] 可能新的
[60:11] C端的流量
[60:12] 入口又开始
[60:13] 那当然就是这波人工智能开始
[60:15] 就ChashBT出来之后
[60:18] 因为之前
[60:19] 因为红杉在这个
[60:22] 二年差不多年中
[60:23] 开始我们就开始
[60:25] 进行了密集的这个
[60:26] 人工智能方面的调研
[60:27] 嗯
[60:28] 但我不得不承认就是说是在
[60:30] ChashBT出来之后
[60:31] 那么这个整个我感觉2C的应用的效果
[60:34] 如此之好
[60:36] 我觉得这个可能一下子会带动一大波
[60:39] AI应用的这个
[60:40] 发展
[60:41] 对就当时这个感觉还是非常明确
[60:43] 你觉得这个
[60:44] 以AI技术革命为驱动
[60:47] 之后产生的流量节点
[60:49] 相比互联网和移动互联网时代有可能有那些不同
[60:53] 我觉得有几个不同吧
[60:55] 其中我觉得
[60:56] 最大的一个不同是这样的
[60:57] 最大的一个不同是
[60:59] 就AI实际上这个网络
[61:00] 它不完全是一个
[61:03] 比如说经济学上说的这样一种
[61:04] 带有自然垄断性质的网络
[61:07] 它是自然垄断
[61:09] 但它的自然垄断有一个很大的
[61:11] 有一个特点不一样
[61:13] 就是说
[61:14] 它的编辑成本
[61:15] 不趋均为零
[61:17] 在所有的自然垄断的网络里
[61:18] 编辑成本的趋均
[61:19] 什么编辑就是等于说你每增加一个
[61:21] 新用户的成本
[61:23] 是零
[61:23] 就比如说你是电网
[61:25] 你今天多接了一户人家
[61:27] 跟你巨大的前提投资来说
[61:30] 这不算什么
[61:31] 对吧
[61:32] 互联网也是
[61:33] 你都已经100万DAU了
[61:34] 你100万01
[61:37] 那一个对你来说没啥成本
[61:38] 它几乎对吧
[61:39] 但是我觉得人工智能实在不错
[61:41] 因为有Token消耗的限制
[61:43] 对
[61:44] 所以这个在商业模式设计上
[61:46] 它就会变得不一样
[61:47] 你每增加一个
[61:48] 那就是一份钱
[61:50] 你得管它收这个电源费
[61:51] 当然你自己免费策略的
[61:52] 那是另说
[61:53] 所以我觉得这点
[61:55] 这点是不一样的
[61:56] 然后第二呢
[61:57] 我觉得这个
[61:58] 不一样就是说
[61:59] 在原来的情况下
[62:00] 本质上你发明一个产品
[62:03] 本质上你是提供了
[62:04] 某一种服务对吧
[62:05] 你
[62:06] 你是吸引用户来点击
[62:08] 然后或者你一步一步跟用户
[62:10] 无论是这个
[62:11] 享受这个过程还是一步步
[62:13] 帮助他走向这个结果
[62:15] 但是整个AIC块
[62:17] 尤其在效率
[62:18] 效率的AIC块相当于它是一个
[62:20] 直通结果
[62:21] 就相当于是结果导向
[62:24] 结果好不好
[62:25] 原来在那种情况下
[62:26] 你用APP
[62:27] 用的好不好
[62:28] 那个还是你自己的问题
[62:29] 或者一定程度是你自己的问题
[62:30] 那现在呢就是说可能
[62:32] 更多的是
[62:34] 这个
[62:34] 提供者
[62:35] 你在这个技术上能不能提供这样一个
[62:38] 结果导向的这样一个方案
[62:40] 我觉得这个也不一样
[62:42] 然后第三个我觉得很不一样的地方就是说
[62:45] 人类历史上这个技术革命从来没有过一次
[62:48] 在这个技术革命的原理层面还有黑箱的
[62:52] 原理是没有黑箱的
[62:54] 历史上从蒸汽机
[62:56] 时代
[62:57] 你是更早的农业革命的时代
[62:58] 从蒸汽机开始到这个电力到
[63:01] 我认为是没有黑箱的
[63:02] 对但这次实际上
[63:05] 就关于这个人工智能的涌现是如何发生的以及它会
[63:08] 有哪些
[63:10] 比如一些
[63:11] 变化的应用
[63:12] 实际上我觉得现在是不清楚的
[63:14] 对吧所以这次很有意思
[63:16] 比如哪怕大家写这个prompt
[63:18] 比如你会看一些写prompt的教材会告诉你
[63:21] 你看要往里面加点角动词
[63:24] 这个结果才更好
[63:25] 这个就很玄学了
[63:27] 对吧就这个东西已经变成
[63:29] 你这个科技产品的应用
[63:30] 它不是一个完全理性的这个过程
[63:33] 它有一些艺术的成分在里面
[63:35] 所以我这个东西到底能带来
[63:38] 哪些变化
[63:39] 是不是这些东西本身就是AI
[63:42] 原生的
[63:43] 怎么说呢就是它定义当中的一部分
[63:46] 我觉得这些都是很不一样的
[63:48] 你觉得萨尔伯同会带来什么
[63:50] 比如说它的商业模式
[63:51] 对
[63:52] token消耗就是它的成本比较高
[63:55] 这个我觉得还好这个就是一个商业模式
[63:57] 商业核算的问题
[63:58] 这跟你自己的定价
[63:59] 对吧跟你的定价跟人群有关系
[64:02] 我觉得这个倒还好
[64:04] margin cost的不同
[64:05] 我觉得就可能更多的是一个
[64:07] 商业设计的问题
[64:09] 像第二个就是说作为它更结果导向
[64:12] 那其实这个我反而是认为
[64:15] 可能到下一个时期
[64:16] 因为这个全世界总体对SaaS
[64:19] 这个PMF
[64:20] SaaS本身实际上是跑通的对吧
[64:21] 那在这种情况下
[64:23] 怎么叠加一个完全以结果为导向的
[64:27] 就超越了
[64:28] 特别是超越了我原来非常熟悉的流程
[64:31] 超越了结构化信息
[64:34] 它可能从原始信息可以直接导
[64:37] 导入到某种结果
[64:38] 这个会给整个2B的产业产生什么样的影响
[64:42] 这也是目前还未知
[64:45] 那最后一个黑箱也是
[64:46] 就黑箱刚才可能我聊过了
[64:48] 因为黑箱的存在因为涌现的存在
[64:50] 因为有一些
[64:51] 使用上的艺术性和玄学
[64:54] 这里面是不是
[64:55] AI Native的这个
[64:57] 就怎么说呢
[64:58] 就题中应有之一
[64:59] AI时代的超级节点会是大模型吗
[65:04] 我是觉得大模型肯定
[65:06] 肯定是其中一个
[65:08] 我现在
[65:09] 所有对吧
[65:10] 对
[65:11] 那我现在看到的
[65:12] 另外一个方向呢就是说
[65:15] 本质上在人物智能时代
[65:17] 它其实引发了一轮
[65:19] 新一轮的深层次的数字化
[65:22] 因为原来的这个数字化应该是这样
[65:24] 就是说它是一个
[65:25] 比较直白的数字化
[65:26] 就是我把容易统计的数据
[65:28] 甚至是
[65:29] 把人类线下原来
[65:31] 存储在纸张上的数据
[65:33] 原来你已经结构化了
[65:35] 我把你翻到网上
[65:36] 翻到网上之后
[65:37] 我再进一步结构化
[65:39] 它是这样一个过程
[65:40] 那什么叫做深层次
[65:42] 的结构化呢
[65:43] 就为什么现在
[65:44] 很多做录音的创新
[65:46] 它可以被
[65:48] 给予很高的估值而且表现非常好
[65:51] 包括很多
[65:52] 说我可以把一天都拍下来的事
[65:54] 因为这些东西没有人工智能
[65:56] 你是无法处理这些信息的
[65:57] 这些线上化对你来说没有意义
[66:00] 你无论是录一个
[66:01] 你个人
[66:02] 录一个这个100小时的录音
[66:05] 你怎么整理
[66:05] 无法整理
[66:07] 你个人
[66:08] 带着一个自动
[66:09] 这个
[66:10] 拍摄装置
[66:11] 最早的时候其实
[66:12] 我记得微软的一个实验室
[66:14] 其实做过一个自动拍摄装置
[66:15] 它就
[66:16] 它是根据光圈变化
[66:17] 光线变化
[66:19] 就每次这个
[66:20] 你把它带在胸前每次只要光线变化
[66:22] 它就会自动拍一张
[66:24] 但你一直带着这样一个相机
[66:26] 一个月产生几万张照片你如何处理你无法处理
[66:29] 所以这种数字化是没有意义的
[66:31] 在当年的
[66:32] 技术手段下是没有意义的
[66:33] 但今天为什么才变得有意义了
[66:35] 因为有人工智能可以把这些全部给你处理成一个有意义的
[66:38] 线上内容
[66:39] 所以在这种情况下
[66:41] 深层次的数字化
[66:42] 我认为会带来
[66:44] 新的硬件机会
[66:46] 其实本质上这些机会都应该是因为
[66:49] 深层次的数字化带来的
[66:51] 而这个深层次的数字化实际上是人工智能提供的
[66:54] 是智能驱动了另一轮数字化
[66:56] 但是
[66:56] 所以回到那个问题
[66:57] 每次我解释一下
[66:59] 回到这个问题
[67:00] 所以我认为
[67:01] 极有可能提供这些深层次数字化的硬件
[67:04] 就包括咱们
[67:05] 讨论过的这些
[67:07] 实际上它有可能是新的一些
[67:10] 数据的一些信息的一些节点
[67:12] 流量的节点
[67:15] 它从线下获取了还没有的信息增量数据增量
[67:19] 对原来不会被统计的在非智能时代
[67:22] 那些信息就飘散在空中了
[67:25] 所以大模型
[67:26] 可能会是一个节点
[67:27] 然后这样的软硬一体的设备有可能会成为新的信息节点
[67:32] 这个设备当它能够从线下获取互联网以外的数据
[67:36] 进行有意义的加工和整理
[67:39] 之后呢
[67:40] 它能带来什么呀
[67:42] 它能对于它的设备本身形成某种壁垒
[67:46] 因为这里面肯定也会叠加玩法对吧
[67:48] 那我们
[67:48] 不好预测是什么
[67:49] 但是我们能看到的是那你肯定会有大量的信息
[67:53] 大量的使用习惯
[67:54] 都会积累在你这里
[67:56] 我觉得这可能是一个
[67:58] 有意思的东西
[67:59] 而且我们现在也无法判断
[68:01] 如果有这种巨量信息
[68:03] 如果这个深层次的数字化实现的话
[68:05] 其实每个人都会
[68:07] 整个的这个信息用途量
[68:10] 就成百上千上万倍的反
[68:12] 那在这种情况下结合了
[68:13] 非常先进的人工智能
[68:15] 又迭代了几代人工智能之后
[68:17] 它会产生什么
[68:19] 我觉得这个就值得想象了
[68:21] 软硬一体重要的本质是因为它获取了更多的数据和信息吗
[68:26] 重要的本质是它更深入的
[68:30] 在线下世界里面获取了更多原来
[68:33] 不那么重要的或者完全不重要的信息
[68:35] 会随同飘散的信息
[68:37] 你会看整个
[68:38] 人类最快发展过程就是每个人
[68:41] 每个组织每个机构每个公司
[68:43] 它拥有更多信息的一个过程
[68:45] 对吧
[68:46] 就今天
[68:47] 这个所有的全世界的古书
[68:49] 比如在
[68:50] 在这个比如1800年以前的古书
[68:53] 它可能这个量是很小
[68:54] 我记得有一个统计但不记得多少
[68:56] 很小一个量
[68:57] 这也解释了为什么这一波软硬一体的公司今年格外受到关注
[69:02] 对我认为本质最深层的原因它是一个人工声带来的更深层次的数字化
[69:07] 为什么手机不能做这个事情
[69:11] 你想录音的转录手机也可以做
[69:14] 飞书也可以做
[69:15] 但深层数字化最重要的是你要一直在场
[69:20] 对吧
[69:20] 比如我现在我都不知道我手机的这个录音功能还在不在录我可能隔夜会看一下
[69:25] 对吧我对它
[69:26] 并不完全有这个信心
[69:27] 它不是干这个的
[69:28] 但如果我有各种形态我身上放一个手机后贴一个会干嘛
[69:32] 我可能就更有信心我相信它一直在录
[69:35] 那这个隐私问题怎么办
[69:36] 这可能是人类要面对的一个问题
[69:38] 刚才咱俩也讨论这个问题
[69:40] 就说如果我在公共场合发表了一个演讲
[69:44] 然后
[69:46] 那是不是我适同于
[69:48] 我已经允许你把录下来
[69:49] 否则我不会在公开场合演讲
[69:51] 那如果不是一个演讲呢
[69:52] 我在公开场合说了一句
[69:54] 周围所有人都能听到的话那是不是
[69:56] 所以这个可能的确
[69:57] 需要无论是法律啊或者是社会习惯
[70:00] 或者是大家这个普遍的社会的心态的
[70:03] 一次革新
[70:04] 但这个肯定也包括在了
[70:06] 也就很类似于当年
[70:08] 我可以刷短视频对吧
[70:11] 我认为是一样的就最后人的行为习惯它会随着科技最后
[70:16] 全社会范围内会改变
[70:18] 在互联网移动互联网时代这些流量节点的流量入口的产品
[70:22] 其实都有双边网络效应为什么AI时代的双边网络效应还没有形成呢?
[70:26] AI时代我也想过这个问题
[70:28] 我觉得可能第一点是
[70:31] 在AI时代首先大模型本身它有一个隐含双边网络效应
[70:35] 对吧它本账用了这么多数据
[70:37] 包括
[70:38] 它跟更多的人说话越多
[70:40] 它可能再反馈新的一个用户就说的越好
[70:43] 这是隐含双边网络效应我觉得是有的
[70:47] 但第二点就是在显性层面
[70:50] 因为原来的这个
[70:51] 双边网络效应它必须需要
[70:54] 你说话要有人听对吧
[70:55] 你卖东西要有人买
[70:57] 它需要一点点来凑
[70:59] 但现在不需要现在
[71:00] 在跟大模型的时候就相当于大家都是多对一的关系
[71:03] 所有人跟大模型聊
[71:05] 在这种情况下所以我们看第一波
[71:08] 美国第一波出来的这个
[71:10] 偏社交类的公司
[71:11] 并没有很成功
[71:13] 对吧就本质上它没有双边网络效应
[71:15] 一旦模型质量下降
[71:16] 一旦它进入对手的模型质量上升
[71:18] 它就会处在一个商业的一个不利的局面
[71:21] 那到底应该比如说在双边网络
[71:24] 效应中间
[71:25] AI以什么方式插进去
[71:27] 还是以什么一个其他的方式
[71:30] 还是说OK大模型的隐藏的双边网络效应是够用的
[71:33] 你需要把这个大模型
[71:35] 调得更优
[71:36] 当然我们都一直在拿社交举例
[71:39] 对所以我觉得是
[71:40] 目前看是不清楚的
[71:42] 你看OpenAI现在也做了群聊的功能
[71:44] 你觉得它有可能
[71:45] 冲击Meta吗
[71:47] 我觉得目前可能
[71:49] 应该说逻辑上还有一个断层吧
[71:53] 就包括可能包括你我用这个
[71:55] AI你可能也会认为
[71:58] 跟你聊天那个人是
[71:59] 是不存在虚拟的
[72:00] 是模型算出来的
[72:02] 可能你心理上是
[72:04] 有影响的
[72:05] 但会不会未来的人就不会了
[72:07] 未来人类
[72:08] 认为跟你聊天背后人是不是
[72:10] 比如说
[72:10] 有没有这个
[72:11] 有没有自主意识有没有灵魂不太重要
[72:15] 那就可能整个全人群的认知会变化
[72:17] 就跟今天全人群的认知
[72:19] 跟PC时代跟PC之前的时代已经是区别了
[72:23] 所以我觉得AI会导致全人群的认知变化
[72:25] 而且新的网络其实也不一定都是人和人的网络
[72:29] 也有人和agent
[72:30] 共同的网络
[72:32] 和链接
[72:33] 但这些就看怎么能建立起
[72:35] 某种
[72:36] 双边网络我觉得这个还是
[72:38] 得探讨
[72:38] 这个东西如果不建立
[72:40] 我认为那这个世界总体上是模型的世界
[72:43] 这也可能是不可预测的
[72:45] 那个部分
[72:47] 你觉得现在AI产品有数据飞轮了吗
[72:49] 其实我觉得目前还是有的
[72:52] 因为我是觉得
[72:53] AI产品这一波的商业化
[72:55] 实际上是比
[72:56] 前面的移动互联网互联网都做得好的
[72:59] 毕竟经过了这么长时间的SaaS的
[73:01] 寻讨大家对订阅制的了解
[73:04] 我是觉得反而是做得好的
[73:07] 只是现在因为技术在高速的发展
[73:11] 基础设施的投入还是很巨大
[73:13] 相比下来看这个收入和成本还不是那么匹配
[73:17] 但是我是觉得如果人类达到某一种满意的边缘
[73:21] 那实际上是有可能的
[73:23] 所以我对这个还是乐观的
[73:25] 在这个大模型时代到来以后
[73:28] 你投了Keyme
[73:28] 投了Minimax
[73:29] 投了Minus等等
[73:30] 这些都是2C的产品
[73:32] 你觉得真正最后的价值会沉淀在应用公司
[73:36] 还是沉淀在模型公司
[73:38] 对这个问题其实
[73:39] 也是
[73:41] 我一直思考的问题
[73:42] 这个问题其实在上一个时代就只要说
[73:44] 有没有新的应用产生
[73:45] 还是都是巨头的时代
[73:47] 对吧
[73:47] 上个时代也会在讨论这个问题是吧
[73:49] 对上个时代就不是模型嘛
[73:50] 是巨头嘛
[73:51] 那这个时代
[73:52] 当然很多巨头公司本身也是大模型公司的
[73:55] 我是那么想
[73:56] 就是说我这个
[73:57] 可能这跟我做早期有关
[73:59] 就我对这个还是
[74:00] 乐观的
[74:01] 我乐观的意思是我总是坚信
[74:04] 新的创新能够在一波周期里面最终成为巨头
[74:08] 它会在巨头的名单上
[74:09] 再增加几个
[74:11] 只是说是
[74:13] 这个
[74:14] 5个以上呢
[74:14] 还是5个以下
[74:15] 还是可能只有3个以下
[74:17] 这轮我觉得肯定会增加
[74:19] 但是
[74:20] 当然大模型公司已经加上去了
[74:21] 就是说
[74:22] 到底能增加的是什么形态
[74:24] 就这个的确
[74:25] 就要
[74:25] 老板说我们
[74:26] 我们不知道
[74:27] 但是呢
[74:27] 从我个人的这个
[74:29] 相信的角度
[74:30] 就我还是会
[74:32] 相信新的产品会诞生
[74:34] 这个只能用
[74:35] 信念来
[74:36] 而且历史的周期里面
[74:38] 每一代周期里面都产生了新的东西
[74:40] 哪怕巨头再牛
[74:42] 你看上去巨头已经把控了一切
[74:44] 但
[74:45] 几乎都是产生了新的东西
[74:48] 你觉得
[74:48] 对于大模型公司和对于这种应用型公司
[74:52] 对于你们来说考核的指标是不一样的吗
[74:54] 他们最后
[74:54] 对
[74:55] 现在还是不一样
[74:56] 因为我觉得模型公司今天还在这个不断的技术演进的过程当中
[75:00] 所以这个也是咱们刚才讨论说这次
[75:03] 科技周期最大的一个不同
[75:05] 就技术与产品同时演进
[75:09] 但是
[75:09] 所以说这个模型公司更重要的是他技术
[75:12] 怎么演进的对吧
[75:13] 然后但是对产品公司情况就更复杂
[75:16] 因为你可能基于目前这种技术形态
[75:19] 你做了你的产品
[75:20] 然后这个人家这个
[75:21] 技术有变化
[75:23] 所以这一代模型
[75:24] 公司我是觉得
[75:25] 要面临会面临更强的这个
[75:28] 不确定性或者是更多的变量
[75:30] 需要他去解
[75:31] 但是他的好处是
[75:33] 变现似乎看上去
[75:35] 比上两个周期要清楚
[75:38] 上两个周期几乎上来
[75:39] 反正先把这规模烧大
[75:41] 然后也没有太多收入
[75:42] 但现在多多少少大家几乎都有收入
[75:44] 所以经常开玩笑说
[75:45] 大家都会比别
[75:46] 对啊
[75:47] 就几乎都有些收入
[75:49] 他们处在
[75:50] 处在这样一个
[75:52] 博弈的状态
[75:53] 有一种说法是
[75:54] 未来可能没有模型公司和应用公司的区别
[75:57] 因为模型公司都会做
[75:58] 应用公司也都会选自己的模型
[76:00] 我认为这是有可能
[76:02] 但最后可能会比拼一件事情
[76:03] 就是说
[76:04] 到底技术上升
[76:07] 会多大程度抵消掉
[76:09] 非技术的产品优势
[76:11] 就今天我们说比如像OpenAI
[76:14] 说
[76:14] 可能像GivenEye
[76:16] 对它形成一些挑战
[76:18] 但是其实OpenAI已经具有了很浓厚的
[76:21] 产品公司的特点
[76:22] 大量人的大量数据已经沉浸在上面
[76:24] 很多人已经习惯于
[76:26] 打开OpenAI去说话
[76:28] 对所以我觉得这个是
[76:30] 这个其实就是一个最后看技术会止步到哪里
[76:34] 就有些地方
[76:35] 就不是技术
[76:37] 前进能解决的问题
[76:38] 可能那就是产品公司
[76:40] 能够守住的一个
[76:41] 一个边界吧
[76:42] 最大的模型公司成为一个产品公司
[76:45] 这是产品公司
[76:46] 那你会投产品的时候感觉到很绝望吗
[76:49] 不会我是觉得比原来可能还更有意思
[76:52] 对
[76:52] 因为到移动后量的时候
[76:54] 就你找说明欧了
[76:54] 因为在PC互动的时候也是这样的
[76:56] 但这个时代你不知道这个答案是什么
[76:59] 你还得去找这个答案是什么
[77:01] 这个是很有意思
[77:02] 而且这个时代又是线上线下
[77:04] 更加紧密的一体化
[77:06] 软硬一体化的时代
[77:07] 所以你就觉得变得越来越多
[77:10] 原来你可能是解个
[77:12] 二元一次方程
[77:13] 三元一次方程
[77:14] 现在你可能
[77:15] 你可能要看着这个方向去解个五元方程六元方程
[77:19] 这个过程
[77:20] 这个还是很有挑战也有乐趣吧
[77:22] 今天创业的难度变得更高了对吧
[77:24] 相比时间前
[77:25] 我认为是的
