[00:05] Hello 大家好,我是小骏
[00:07] AI 业界有两个尧舜宇
[00:09] 一个从OpenAI跳槽到了腾讯
[122:02] 还是故意选择的
[122:03] 你要让我猜我肯定会觉得是随机逝找的
[122:07] 纯技术的原因
[122:09] 是有某个人做了某个事情
[122:11] 是确实有某一个团队做了某个事情
[122:16] 是自上而下还是自下而上
[122:20] 我觉得最开始可能
[122:22] 是自下而上的
[122:23] 但是后来就变成了一个自上而下的事
[122:25] 就是
[122:26] 就是要快速捕捉到一些内部和市场的信号
[122:30] 对对
[122:30] 然后要赶快要铺上去
[122:32] 对对我觉得这是Anthropy非常非常强的一点
[122:35] 他非常非常的reactive
[122:37] 反应非常快
[122:38] 他执行来自于哪里
[122:39] 来自于Doro这个人
[122:41] 来自于他的某种特质
[122:43] 我感觉就是
[122:45] Anthropy作为一个公司来说
[122:47] 他能够
[122:49] 实现这种
[122:50] 就是比较top-down的机制
[122:51] 是一个很独特的事
[122:53] 为什么呀
[122:54] 因为实现top-down其实有
[122:56] 有一个很难的点
[122:58] 就是你
[122:59] 做技术的
[123:01] 决策人
[123:02] 必须也得是公司本身的决策人
[123:06] 首先就是你技术上
[123:08] 得
[123:08] 能服众
[123:09] 那
[123:10] 下面的研究员才会
[123:12] 你才能够就是信服下面的研究员去做这个事
[123:16] 另一方面就是你得是公司的决策人
[123:18] 你得能为这个公司负这个责任
[123:21] Anthropy有这个条件就是说他的
[123:23] 技术上的
[123:24] leader
[123:25] 的领导人
[123:26] 其实
[123:27] 是公司口方的
[123:29] 你指的是谁
[123:30] 不是Daryl
[123:31] 就是JR
[123:32] JR Kaplan和Sam
[123:35] 然后
[123:35] 像他们俩就是
[123:37] 公司口方的
[123:37] 他们自己做这个决定
[123:39] 那是人家的公司
[123:40] 所以他有权利做这top-down的事
[123:42] 那Daryl作为CEO他会say yes和no吗
[123:45] 我不知道
[123:47] 他们
[123:48] 决策层的讨论里面
[123:51] Daryl起到了什么样的作用
[123:53] 我只能说
[123:54] 就技术leader
[123:55] 是有决定权的
[123:57] 我只能说对我
[123:59] 当时的工作来说我接触的最多就是JR的
[124:04] 可是这对其他模型公司很难吗
[124:06] 很难
[124:06] 比如说OpenAI
[124:07] 就干不了
[124:09] 伊莱亚赛的时候难道不行吗
[124:10] 伊莱亚赛的时候有可能可以
[124:11] 但是伊莱亚后来
[124:13] 一方面
[124:14] 我也不知道因为什么原因
[124:15] 就是
[124:16] 失去了这个
[124:17] 做决策的能力
[124:19] 然后就走了
[124:19] 所以就
[124:22] 其他公司呢
[124:23] 其他公司我觉得都
[124:24] 比较难
[124:26] 就是Gemini也比较难
[124:27] 但是我觉得Gemini就是另外一套打法
[124:30] 不太一样
[124:31] 我觉得就是打公司和
[124:33] 和startup
[124:35] 打法本来就不一样
[124:36] 因为
[124:37] startup重要的是make bet
[124:39] 就是我得
[124:41] 我得赌一件事
[124:43] 我如果想要赌就意味着有风险
[124:46] 所以
[124:47] 就意味着
[124:48] 我能够
[124:50] 去很快的做一些决策
[124:51] 然后很强力的推进一些决策
[124:53] 那可能
[124:54] 在这种情况下
[124:55] 套不当我觉得是一个很
[124:56] 很有优势的事
[124:57] 所以我觉得
[124:58] 从组织上来说是比欧凯还更有优势
[125:01] 但是作为大公司来说可能就是另外一套想法
[125:03] 因为大公司的想法可能是
[125:06] 我不仅
[125:07] 能
[125:07] 尽量减少做赌的成分
[125:09] 而是我能在方方面面都有储备
[125:13] 然后任何一个事成了我都能跟上
[125:16] 然后如果有事我自己做成了我可能还能领先
[125:19] 这可能大公司应该
[125:21] 所以说在Gemini
[125:22] Google是一个很传统的就很bottom up的组织
[125:25] 就是公司层面可能
[125:27] 有一些比较良好定义的框架来
[125:30] 来看你的工作是好是坏
[125:32] 来引导你
[125:34] 做一些公司需要的事
[125:35] 但是本质上还是你自己来决定自己做什么
[125:38] 所以你觉得Anthropic能make best
[125:41] 是因为它的独特的文化
[125:44] 组织和文化对
[125:47] 这个听起来其实应该是其他公司也能做的但是
[125:51] 却非常
[125:52] 奇怪的发现其他公司很难做
[125:54] 而Anthropic可以做到
[125:56] 对我觉得还是
[125:58] 需要
[125:59] 技术的
[126:00] 或者公司的leader有公信力吧
[126:02] 这个其实挺难的我觉得
[126:04] 你说的还不是CEO有公信力是技术的一号位有公信力
[126:08] 对我对我来说我觉得技术的一号位有公信力很重要
[126:12] 但是与此同时CEO可能没有成为一个阻力
[126:17] 这个难吗
[126:18] 这个我觉得就得看你
[126:21] 这个Cofunding的这个team
[126:23] 有没有足够的互相信任
[126:27] 这个也很关键
[126:28] 我觉得Anthropic这点也是
[126:30] 在STARTUP也很强啊就是他Cofunding team没有一个人离开公司
[126:35] 他们
[126:36] 如果你看他们过去距离那就是那是一群真正一起打过仗的人
[126:40] 就过去他们源自于
[126:42] 他们都是以前OpenAI的一个群
[126:44] 对然后
[126:45] 像
[126:47] 他们甚至好多人都是
[126:48] 就是在一系列关键的
[126:50] 文章
[126:50] 上的合著者
[126:52] 因为你像
[126:53] Skinning Law这个paper是主要是Copland
[126:56] 然后SAN
[126:57] 然后当然还有W
[126:58] 然后还有一些可能Tom Brown也在吧
[127:00] 我不太记得Tom Brown在不在
[127:02] 然后CPT3的paper就是Tom Brown在
[127:05] 然后Ben
[127:05] Ben Lyon在
[127:06] 然后
[127:07] Jerard和Sam也都在W也都在
[127:09] 他们是一块
[127:11] 趴过战壕的人
[127:12] 我觉得
[127:13] 互相之间的信任还是很关键
[127:15] 有很多公司可能就是
[127:17] 干着干着
[127:19] 连这个小集体都团结不住了
[127:21] 那你怎么能指望这个大公司能团结住呢
[127:25] 你在说我不是说
[127:26] 我们来是吧
[127:30] 你加入Anthropic公司正在做的
[127:32] 最重要的项目是什么
[127:33] 你参与到那个大项目里面吗
[127:34] 对当时就是为了做大
[127:37] 能做大尺度的强化学习
[127:39] 然后
[127:40] 能够用它来提高
[127:42] coding的能力
[127:43] 这个就是当时最重要的事
[127:45] 然后
[127:45] 我们当时做这个组
[127:48] 当时的研究重心就是这个
[127:51] 这个组为什么后来就慢慢变大然后变得越来越重要的原因
[127:55] 然后
[127:55] 最终带来的结果就是
[127:57] 就是
[127:58] 大家一块混了这个3.7
[127:59] Cloud 3.7这个模型
[128:02] 你说内部叫有一个3.6这个是
[128:04] 不是内部叫就是外界的Cloud 3.5其实有两个版本
[128:08] 一个可能是6月的版本另外一个10月版本
[128:11] 然后
[128:13] 你也可以看出Anthropic这个公司曾经
[128:15] 也是
[128:16] 没啥产品能力的
[128:18] 居然管两个模型叫一个名字
[128:20] 所以后来外面人为了区分
[128:24] 管
[128:25] 那个3.5后面那个版本叫3.6
[128:27] 所以Anthropic跟随着外面人的这个习惯
[128:31] 就叫3.6了
[128:31] 管这个
[128:32] 再新的模型叫做3.7
[128:36] 所以就是你去看实际的这个公司的产品实现象其实3.5
[128:40] 3.5 new
[128:41] 3.7
[128:42] 怎么会有一个3.5 new这个是怎么想的
[128:46] 你就
[128:46] 不能说那个时候的Anthropic可能真的是没有什么产品上的
[128:51] 想法
[128:52] 所以你第一个项目是3.7还是3.5
[128:54] 3.7
[128:55] 还是3.5 new
[128:56] 3.5 new其实我
[128:58] 没参与
[128:59] 几乎没参与
[129:00] 因为他
[129:00] 3.5 new就已经看到了coding的迹象是吗
[129:03] 你刚才刚开始的
[129:05] 3.5 new的时候已经看出Anthropic的模型在agenture coding会比别的模型强了
[129:09] 这个是为什么
[129:16] 所以你进去的时候刚刚好就是他们有
[129:18] 他们知道了这件事情
[129:19] 就是管理层也知道这个迹象
[129:22] 然后他们要make best的时候你这个运气很好
[129:24] 我觉得我觉得对
[129:25] 我觉得我进去的时候是大家肯定已经看到这个事
[129:29] 能做成且重要
[129:31] 但是不太清楚怎么去
[129:33] 把它做成
[129:34] 然后我去的时候是跟大家一起去研究怎么把它做成
[129:38] 所以方法是大尺度的强化学习
[129:41] 对这是
[129:42] 从大的角度来说是
[129:43] 但是当然就是有很多技术细节
[129:46] 是需要去研究的
[129:48] 这里面有什么know-how啊
[129:52] 有好多NDA的内容呢
[129:55] NDA社会学的中国小学
[129:57] 我记得吗
[129:59] væ
[130:00] Punkte
[130:03] 年的是
[130:03] 不能在
[130:05] 在这些年和离职后脱了任何跟公司内部相关的背叛
[130:19] 这个
[130:20] Mol
[130:21] 我
[130:24] 把简单事
[130:25] 最干净
[130:26] G
[130:27] 什么叫干净啊
[130:29] 你刚才也用过这个词
[130:30] 对就是
[130:30] 就是我觉得有很多
[130:32] 花里胡哨的技巧
[130:34] 比如说做强化学习
[130:36] 最简单的algorithm
[130:38] 就是policy gradient
[130:40] 但是不代表这是唯一的algorithm
[130:42] 它还有别的算法
[130:44] 比如说各种复杂的
[130:45] 这种搜索算法之类的东西
[130:46] 但是
[130:47] 是不是这些复杂性是必须的
[130:51] 然后这些复杂性
[130:52] 可能给你带来的一些
[130:54] 一些efficient
[130:56] 也就是效率上的提升
[130:58] 它可能给你带来一些
[131:00] 比如说基建infra上的困难
[131:02] 那你怎么去trade off这些事
[131:04] 这些是其实
[131:06] 做研究需要去理解的
[131:09] 就是怎么去balance
[131:11] 这种不同的因素
[131:12] 然后选择最好的内耗
[131:13] 最稳定的那条路
[131:14] 对
[131:15] 然后我觉得很多的know how
[131:17] 其实都是在这些细节里面
[131:20] 怎么去处理这方方面面细节里面
[131:23] 对
[131:23] 那那个时候
[131:24] 怎么来描述coding很重要呢
[131:26] 对
[131:26] 我觉得
[131:27] 他认为是大圆模型的一个分支
[131:30] 一个重要的分支还是什么呢
[131:32] 我觉得每个人可能想法不一样
[131:33] 对我来说
[131:35] 对我来说
[131:36] 它重要的原因有二
[131:37] 一个原因就是
[131:39] 一个原因
[131:40] 大使兰曹北一直在讲的事
[131:42] 就是说coding本身也是
[131:43] 做圆模型研究的一部分
[131:46] 如果你能够把coding做得很好
[131:48] 那可能会让你的研究效率
[131:50] 有翻倍的提升
[131:50] 就形成一个研究上的飞轮了
[131:54] 这是一方面的原因
[131:56] 对我来说
[131:56] 另一方面的原因
[131:57] 是因为coding其实是模型使用工具
[132:00] 和环境交互的一个很好的抽象
[132:02] 首先这个抽象
[132:04] 刚刚已经说过的
[132:06] 就是这个抽象的好处
[132:07] 比如回归信号清晰
[132:09] 然后数据充分
[132:11] 然后其实你是很难
[132:15] 在别的场景下
[132:16] 找到能同时有这两个特质的
[132:19] 使用工具的场景
[132:20] 所以对我来说
[132:22] 这是一个好抽象
[132:23] 在这里面做的一些研究
[132:25] 可能是对
[132:26] 更通用的那些使用工具
[132:28] 和环境交互的能力的一些有用的
[132:32] 有用的lesson
[132:33] 有用的课
[132:33] 那时候Cursor是什么状态
[132:36] 那时候Cursor还是一个
[132:39] 纯产品公司
[132:40] 我觉得从某种意义上来说
[132:43] 好像在我去演奏
[132:46] 之前的那段时间里
[132:49] Cloud和Cursor都属于
[132:52] 比较underdog的状态
[132:53] 然后
[132:56] 刚好在3.5 new
[132:58] 就是3.6
[132:59] 外界的3.6
[133:00] 这一代的时候
[133:03] 首先是模型能力上去
[133:04] 然后Cursor又发现模型真的能够做这种agent coding的工具了
[133:10] 它是一个壳
[133:11] 对
[133:12] 但是这个壳包着一个模型
[133:14] 一下子让公众体会到了
[133:16] 不是公众
[133:16] 就是公众设计
[133:17] 就是软件工程那个圈子
[133:18] 当时体会到了
[133:21] 这事好像是真的是效率工具了
[133:23] 所以后来一下就起来了
[133:25] 所以那时候他就
[133:26] Undropping就意识到Cursor是未来的亲战对手
[133:29] 那就不知道
[133:30] 该问Darryl
[133:33] 3.7是怎么做出来的
[133:36] 这个是一个分水岭
[133:37] 对于Undropping来说是一个分水岭式的模型
[133:40] 我觉得对于Undropping的后训练来说是一个分水岭
[133:43] 就是在3.7之前
[133:46] 后训练都是处于一个比较
[133:50] 比较小规模
[133:51] 然后可能就是修修补补模型的这种一个状态
[133:56] 大家不重视后训练是吗
[133:58] 也不是不重视
[133:58] 就是一开始大家其实很长时间
[134:00] 大家都没有搞明白后训练该怎么skill up
[134:04] 但是在那个阶段
[134:06] 不管是OpenAI还是Sophia
[134:07] 还是包括像中国的DeepSeq
[134:10] 意识到了这个事该怎么去skill up
[134:13] 就是你得找到合适的环境
[134:16] 这个环境它的回馈信号足够的清晰
[134:19] 然后这个环境本身也是一个很强的数据源
[134:23] 然后在这个上面其实
[134:27] 能让这个训练非常稳定
[134:29] 这事就能做成
[134:32] 对我记得那个时候
[134:33] 其实大家都不知道OpenAI的保密项目是什么
[134:36] 就知道它草莓叫Strawberry
[134:38] 然后大家觉得会带来一个新的范式
[134:41] 新的范式就是后训练强化学习
[134:43] 但是更多的就不知道了
[134:46] 对其实
[134:49] 其实我觉得我去Strawberry的时候
[134:53] 大家已经比较清楚
[134:55] 这个事该
[134:57] 大概该怎么做
[134:58] 就是大概的这个方向是怎么做
[135:01] 然后当然后来就是后来
[135:05] 随着我对这个领域知道越来越多之后
[135:07] 就发现其实那个时刻
[135:08] 其实OpenAI做的方式和Strawberry
[135:10] 其实还是差别挺大的
[135:12] 怎么说
[135:13] 就具体这种算法呀
[135:14] 和使用数据的方式其实不太一样
[135:18] 虽然都叫后训练和强化学习
[135:20] 虽然都叫这个
[135:21] 但是当然就是我觉得那些不是不是本质区别
[135:24] 就是大的方向来说
[135:26] 他们是同一个
[135:27] 就是找了一些找一些这种很回馈信号
[135:30] 非常清楚非常客观
[135:31] 然后数据本身又比较干净
[135:34] 然后对于模型来说是可学习的
[135:36] 然后在上面做稳定的强化学习训练
[135:39] 大的方向来说都是这个方向
[135:41] 但具体实现其实是差别比较大
[135:43] 但后来事实也证明就是具体实现
[135:45] 其实每家方向都不一样
[135:47] 但是都能做成
[135:49] 而且当时OpenAI的目标也不是coding
[135:52] 当时我了解到的叙事是说
[135:55] 预训练作为第一个范式
[135:56] 已经进入了新的模型了
[135:57] 金矿快挖完了
[135:58] 所以我们现在开启第二个金矿
[136:01] 就是后训练和强化学习
[136:02] 然后来让skin law继续
[136:05] 对
[136:05] 我觉得很长时间OpenAI都是这个这个想法
[136:09] 我不知道他们现在想法有没有变
[136:12] 我觉得对我来说
[136:13] 我的想法经历过摇摆
[136:16] 在三转星那个时代
[136:18] 我其实觉得我当时也抱着这个预训练已经快party is over
[136:24] 这种感觉
[136:25] 然后
[136:26] 就在你
[136:26] 要入职的时候
[136:27] 我刚入职
[136:29] 然后当时在做这种参加其相关的这种实验的时候
[136:32] 我当时也曾经抱过这个想法
[136:36] 但是后来随着了解越来越深
[136:38] 我就觉得发现就是其实还有错的空间的
[136:43] 然后预训练
[136:46] 预训练skin law这个事
[136:49] 他也不是告诉你你要一直变大
[136:52] 他其实本质上是一个很系统的框架
[136:55] 能够告诉你做什么样的事情
[136:56] 这样的事是更有效的
[136:58] 对
[137:00] 然后
[137:02] 最后来就发现其实还有还有很多做事
[137:04] 让事实情况是后来暗骚别和这么大的运训练也一直在不断的进展
[137:10] 我本来自己卡了很久
[137:12] 他现在又重视于训练了吗
[137:14] 他应该已经重视运训练挺久了
[137:17] 就是最近可能刚刚有点进展啊
[137:21] 所以预训练和后训练作为两个范式都没有达到他的内容了
[137:25] 所以预训练和后训练作为两个范式都没有达到他的内容了
[137:25] 所以预训练和后训练作为两个范式都没有达到他的内容了
[137:25] 所以预训练和后训练作为两个范式都没有达到他的内容了
[137:28] 我觉得都没有
[137:29] 但是你说要去预测到了多少这个做不到
[137:34] 我觉得到达平台期有两种可能性
[137:42] 一种可能性是技术本身到达
[137:44] 就是你明明还有想让模型要干的事
[137:47] 但是这俩技术就死活消不讳了
[137:50] 另一种可能性是你想干的事到平台期了
[137:53] 我觉得现在是复制了
[137:54] 就是我们现在知道了
[137:55] 就是我们现在知道了
[137:55] 有一个Chatbot你可以教他干这个
[137:58] 然后又有一个Coding你可以教他干这个
[138:00] 后面就不知道了
[138:01] 对就不知道该教点啥啥好
[138:04] 就是说模型还是一个非常聪明的小孩
[138:08] 你其实可以教他很多东西
[138:09] 但是我们人类作为老师
[138:11] 现在还不知道下一个东西该教什么
[138:13] 或者说该怎么去合理地教他
[138:15] 用现在的一些范式
[138:17] 说到3.7
[138:20] 还有什么know how
[138:21] 这是几个月做出来的
[138:25] 这个最后零零总总从开始训练到发布
[138:31] 可能花了四五个月的样子吧
[138:33] 就是从你刚进去
[138:36] 就是从开始大家为了这个事做研究
[138:40] 那可能花了两三个月
[138:42] 然后后来开始训练
[138:43] 到训练结束中间磕磕绊绊
[138:45] 很多事情要处理
[138:46] 然后有很多新的技术设施
[138:49] 其实技术设施真的是很重要
[138:50] 很花时间
[138:51] 然后又可能花了可能两个月这样子
[138:55] 你在几个月内
[138:55] 做的重要的工作是什么
[138:57] 我觉得我也没什么重要的
[138:59] 我觉得我对我个人的贡献
[139:04] 我觉得我个人对任何一个模型的贡献
[139:09] 我的陈述都是
[139:11] 我觉得我自己对那个事没那么重要
[139:14] 我觉得我更多的是
[139:15] 我很幸运
[139:16] 有机会在那个时候
[139:18] 加入了一个重要的项目
[139:20] 做了一些事
[139:22] 因为从某种意义上来说
[139:25] 我觉得AI
[139:27] 现在最近这几年
[139:28] 这个事本身是一个不可阻挡的事
[139:31] 它不在于你这个人去干或者不干
[139:35] 你不干也有别人一样能干出来的
[139:38] 所以我觉得在这个时代
[139:40] 其实所有给个人贴金的事
[139:43] 其实都有点炒作的嫌疑
[139:45] 但是确实我觉得对我来说
[139:47] 我是很幸运
[139:48] 能在那个阶段加入一个重要的事
[139:51] 然后学习了一些知识
[139:52] 好的
[139:53] 那你在幸运的在那个阶段
[139:55] 在多少年了
[139:57] 在Graphic这家公司的大尺度强化学习的这个团队里
[140:02] 做了什么
[140:03] 我觉得3.7那个时候
[140:04] 可能主要做的还是就是在AO里做这个agent coding
[140:09] 这件事
[140:09] 这件事怎么把它skew off
[140:11] 或者怎么去准备各样
[140:13] 就是怎么去制备各种各样的环境和data
[140:16] 然后包括算法上会遇到什么样的问题
[140:18] 当时主要的研究都在这部分
[140:20] 这里面有什么tips吗
[140:25] 现在来看没啥特别有用的tips
[140:27] 我觉得我觉得我觉得
[140:29] 说到说技术的tips
[140:31] 其实这个事是一个大家一方面很愿意听
[140:35] 公司又不让你说
[140:36] 但实际又没啥用的事
[140:38] 为什么
[140:39] 因为很多算法设计其实并不独立算法
[140:43] 它是非常强的依赖于你技术设施
[140:46] 举个简单的例子
[140:47] 就是有些公司它可能
[140:50] 就大家经常讨论一个问题
[140:51] 就是说在强化学习时候
[140:53] 这个sample就是给你产生这些trace
[140:57] 这些token的那个
[140:58] 那个
[140:58] 那个机器和trainer用来实际训练这个模型
[141:02] 然后改变模型权重的这个机器
[141:04] 这样的机器可能会有不一样
[141:08] 但是不一样
[141:08] 有一些原因是因为数值上的不一样
[141:11] 有些原因是因为使用这种异步的训练架构
[141:14] 所以说它自然就是就是从根本上来说就不一样
[141:17] 那你不同公司可能这个不一样程度是不一样
[141:22] 所以你算法上设计也会不一样
[141:24] 有些公司它可能这个这两个difference
[141:27] 这两个区别非常非常大
[141:28] 那你算法可能最大的部分就是在于怎么控制这个
[141:32] 然后怎么让这个训练稳定
[141:33] 对于训练的这个实际的效果之类的权重就会稍微小一点
[141:39] 但有可能有的公司它的基础设施建设就特别特别好
[141:43] 这两个差别没那么大
[141:45] 那可能就可以花更多精力在这个训练效果上
[141:48] 所以说很多这种小的tips是其实是没有什么用的
[141:52] 就很多knowhow其实是没什么用
[141:53] 我是因为我确实也
[141:58] 我发现了就是很多别的lab就不是在这三家lab里的人
[142:03] 可能很想知道SRB怎么做这个或者JMI怎么做那个
[142:08] 但其实我有时候不愿意回答一个主要原因是因为我觉得
[142:12] 本质上我回答这个问题也是在误导它
[142:15] 就是现代的AI训练是一个大系统
[142:18] 你其实要把要了解这个系统的方方面面
[142:22] 才能有一个全局的认识什么事是因为什么而变得有用了
[142:26] 而不是说这个事本身有用
[142:28] 从3.7到4.5又发生什么呢
[142:31] 这个预选联合会议上都有
[142:34] 然后当然就是一个就是skill up上做的更多了
[142:39] 然后data不管是data还是训练的这个算力都更大的尺度
[142:46] 但是我觉得从范式上来说就没有特别特别大的改变
[142:51] 到你离开Anthropic的时候他已经多少人了
[142:58] 接近2000人了
[142:59] 扩了一倍多
[143:01] 所以你在Anthropic时期刚好是他最具变转变的一个时期
[143:07] 我可能就是踩在了他还是个小公司的尾巴
[143:10] 其实我觉得进去之后过了可能三四个月
[143:16] 这个公司就已经开始人一下就变多了
[143:19] 文化有变化吗
[143:20] 还是经历一些比较混沌的阶段吧
[143:23] 然后尤其可能就是在我离开的那段快离开的那段时间
[143:28] 我觉得文化上还是经历了一些混沌
[143:31] 因为从外面来了一些人
[143:33] 然后可能跟本来的文化有一些冲突
[143:36] 对
[143:37] 然后
[143:37] 之前的文化是
[143:39] 我觉得之前就是
[143:41] 很简单
[143:41] 对就很简单
[143:42] 就是他更像是一个小作坊
[143:45] 大家都是朋友
[143:46] 然后大家都知道对方在干嘛
[143:48] 然后也没有人特别特别会就是做过多的这种个人宣传
[143:56] 还是怎么就是做一些没有用的事
[143:57] 也没有人做这个没有用的事
[143:59] 大家都是有很多事要处理
[144:01] 然后公司那时候紧可能紧迫感也更强一些吧
[144:04] 然后后来可能就觉得这样人多了
[144:07] 这样的文化肯定会受到一些冲击
[144:11] 带来的什么风气
[144:14] 我觉得确实有一些人
[144:17] 我个人不是很喜欢
[144:20] 当然你不代表他们真的不好
[144:22] 就是我个人不是很喜欢
[144:23] 就是可能我不太喜欢在这个领域里面说很多话的人
[144:29] 就是那个
[144:31] 我觉得idea is cheap
[144:33] 想法是便宜的
[144:35] 很多想法其实很显然
[144:36] 所有人都知道
[144:37] 难的是怎么把它实现
[144:38] 怎么把它变成一个一个小的可实现的步骤
[144:41] 把它做出来
[144:42] 我觉得我不太喜欢那些
[144:45] 一天中很多时间花在slack
[144:49] 就是slack是美国用的一个办公的这种软件
[144:51] 然后在slack上花很多时间在那讲一些大道理
[144:56] 我觉得就是没啥用
[145:01] 你后来为什么突然离职了
[145:05] 你是完成了什么阶段性的工作吗
[145:07] 当时预料了多久
[145:10] 我觉得可能预料了
[145:14] 一两个月一个多月吧
[145:15] 一个月多一点
[145:16] 然后对
[145:18] 对我觉得一个方面是就是是我其实
[145:25] 不是太别特别认同大陆反华这个事啊
[145:29] 我觉得他
[145:31] 作为一个公司的CEO来说
[145:34] 对他个人来说
[145:35] 他做什么样的观点
[145:36] 我觉得都无所谓
[145:37] 但是作为一个公司的CEO来说
[145:39] 我觉得把这个观点推到这么极端的地步
[145:43] 是一个非常情绪化的体现
[145:45] 对
[145:46] 然后这是一个一个比较小的原因
[145:48] 但是大方面有很多公司
[145:49] 像刚才说的公司的文化上有些冲击啊
[145:52] 然后包括自己可能也想去学习不一样的事情
[145:57] 就说艾萨贝他毕竟非常的专注
[146:00] 然后
[146:01] 你可能做
[146:02] 如果你还想做和语言文性相关的方面面
[146:04] 然后做这种呃使用工具啊
[146:08] 这种agentic
[146:08] 然后coding这种事
[146:09] 那在艾萨贝其实很好
[146:11] 能学到很多东西
[146:12] 但是艾萨贝有很多不做的事
[146:14] 比如说艾萨贝完全没有人做这种东北台生成
[146:18] 你想学没地儿学
[146:19] 然后艾萨贝可能也没有花太多的精力
[146:21] 在这种更底层的工程的啊
[146:25] 技术家技术设施上
[146:27] 对所以可能想要学习呃更多的东西
[146:30] 也是我当时厉害的一个动因
[146:32] 嗯对
[146:34] 访华占百分之多少比例
[146:37] 因为他有个人原因
[146:38] 我在公开场合说百分之四十
[146:40] 但是这个数字反正就是听听就好
[146:43] 这个数字就是告诉你他不是主要原因
[146:45] 但他确实是一个很大的原因
[146:47] 对就没有控股
[146:49] 不是控股原因
[146:49] 对不是个控股原因
[146:51] 但是是一个
[146:53] majority holder的原因
[146:54] 哈哈哈
[146:56] 嗯你这个选择也很神奇
[146:59] 因为大多数人在
[147:00] 呃一个
[147:02] 他还是一个 underdog 的时候加入会更有感情
[147:05] 然后会愿意陪公司走更长时间
[147:08] 但你反反而跳去了谷狗
[147:11] 因为很多研究员一进去谷狗
[147:13] 他会觉得谷狗给的scope不够
[147:17] 嗯他所以他会反而想跳去像
[147:19] XCI或者anthropic这样的更小一点的组织
[147:22] 你这个反行动好像也是反的
[147:25] 对我觉得其实取决于你自己想要的是什么
[147:29] 嗯如果你很想要的是
[147:30] 我有一个很明确的像你说的很明确的scope
[147:34] 然后这个事和我的最后产品的模型息息相关
[147:38] 我一定要把我其中的一个想法
[147:40] 送到这个模型里去
[147:42] 嗯那可能谷狗是一个很差的地方
[147:45] 嗯因为毕竟有那么多的研究员有那么多已经成熟的组织
[147:49] 做这件事情是很有很有很复杂的这个过程
[147:54] 但是我觉得Gemini很如果你想要的是你有研究的自由
[148:00] 有探索的自由
[148:02] 然后想去能从更广泛的人类学习
[148:06] 我觉得这个世界上可能找不到第二个比Gemini更强的地方
[148:11] 所以所以就是我觉得本质上还是取决于你要自己想要什么
[148:17] 嗯啊但是我觉得很多人离职不管从哪离职换到另外一家之后
[148:22] 可能会觉得不开心的主要原因是因为没想明白自己想要什么
[148:26] 比如说你二十到了谷狗
[148:29] 你可能开始
[148:30] 如果说你刚开始想的是我要要有研究自由
[148:32] 然后学更多的动机是学习
[148:35] 然后你去了之后发现还是想要有产品impact
[148:39] 那你可能就会很难受
[148:42] 你不追求impact吗
[148:44] 你在你也有个说这个现在这个AI是一个非常大的系统
[148:48] 然后是一个很大量的人写作的一个东西
[148:53] 你在里面追求什么
[148:54] 我觉得分阶段就是我觉得在Answer Bay经历了太多这个
[149:00] 和产品息息相关的事之后
[149:03] 我可能也想给自己换个脑子
[149:06] 去学习一些不一样的东西
[149:08] 但是你说有没有哪一天我可能又换回这个脑子
[149:10] 又想去产生一些产品的影响也不可能的
[149:14] 产品影响力怎么量化
[149:16] 这个内部都很清晰是吗
[149:19] 不好量化
[149:20] 就是我觉得因为发论文的时候他还是有一座这种作者主导作者
[149:26] 现在现在呢
[149:27] 其实没有办法量化
[149:28] 实际情况就是没有办法量化
[149:30] 这也是为什么我觉得在这个时代其实谈每一个个人个体的影响是一个很很虚无缥缈的事情
[149:39] 我觉得本质上还是这个组织做了这样这样一件事
[149:44] 或者这个世界需要这样的
[149:45] 所以产生产品impact是个主观感受
[149:47] 在模型测试上是这样
[149:49] 在模型测试上这样
[149:50] 对
[149:51] 然后当然实际上你可以
[149:53] 我觉得可以细节谈的是说
[149:55] 你
[149:56] 自己做过哪些事情具体的技术的贡献
[150:00] 然后他在技术上产生的效果
[150:02] 这个是可以客观的去谈论的
[150:04] 但是比较主观的事儿是你说这个效果在最后的产品里占了多大的比重
[150:09] 这个没有人能说清楚
[150:11] 对
[150:11] 在3.7上你能描述一下吗
[150:14] 我觉得什么样的技术性的工作对模型是产生影响
[150:18] 主要还是根本也在那个coding的环境有关的工作
[150:22] 然后有也有一些算法上算法上
[150:25] 主要是怎么
[150:26] 让这个训练变得更更就更稳定
[150:29] 说实话
[150:30] 就是
[150:31] 但是我觉得算法上肯定是有一些提升
[150:35] 但是也没有达到特别理想的效果
[150:37] 说实话
[150:38] 比之前的算法肯定是要好的
[150:41] 对
[150:41] 但是那个我觉得也不是我个人的贡献
[150:44] 我觉得也是大家集体的贡献
[150:47] 对
[150:47] 我每次问你
[150:48] 你都会说这是集体的贡献
[150:51] 不是一个个人英雄主义的时代
[150:54] 我觉得个人英雄主义时代
[150:56] 对于Language model来说可能过去了
[150:59] 什么时候是
[151:00] 就是在transformer那个时刻
[151:02] 对
[151:03] 就是在那个技术还没到skill up那个点之前
[151:06] 那找到了那个技术的人可能是一个英雄
[151:09] 或者找到那个技术的一个小团体可能是个英雄
[151:12] 找到那个技术之后
[151:13] 可能很长一段时间从模型测验来说都是
[151:15] 我觉得更多的是集体主义
[151:16] 就是这个集体能不能一起工作
